# path_x; path_y
-0.04396; -0.06535
-0.03594; -1.05307
-0.02849; -2.04162
-0.02159; -3.03098
-0.01522; -4.02113
-0.00938; -5.01204
-0.00405; -6.00370
0.00079; -6.99607
0.00516; -7.98914
0.00907; -8.98289
0.01254; -9.97729
0.01557; -10.97232
0.01820; -11.96795
0.02042; -12.96417
0.02227; -13.96095
0.02374; -14.95827
0.02487; -15.95610
0.02566; -16.95443
0.02614; -17.95323
0.02630; -18.95248
0.02618; -19.95215
0.02579; -20.95223
0.02514; -21.95269
0.02425; -22.95350
0.02314; -23.95465
0.02181; -24.95612
0.02029; -25.95787
0.01859; -26.95989
0.01672; -27.96216
0.01471; -28.96465
0.01256; -29.96734
0.01030; -30.97021
0.00794; -31.97323
0.00549; -32.97638
0.00297; -33.97964
0.00040; -34.98299
-0.00221; -35.98641
-0.00485; -36.98986
-0.00749; -37.99333
-0.01013; -38.99681
-0.01274; -40.00025
-0.01532; -41.00365
-0.01784; -42.00697
-0.02029; -43.01020
-0.02265; -44.01331
-0.02491; -45.01629
-0.02706; -46.01910
-0.02907; -47.02173
-0.03093; -48.02415
-0.03263; -49.02634
-0.03416; -50.02828
-0.03548; -51.02995
-0.03660; -52.03131
-0.03749; -53.03236
-0.03814; -54.03307
-0.03853; -55.03341
-0.03865; -56.03336
-0.03848; -57.03290
-0.03801; -58.03201
-0.03722; -59.03066
-0.03610; -60.02884
-0.03466; -61.02657
-0.03293; -62.02388
-0.03092; -63.02078
-0.02866; -64.01732
-0.02615; -65.01350
-0.02344; -66.00937
-0.02052; -67.00494
-0.01743; -68.00025
-0.01418; -68.99531
-0.01079; -69.99016
-0.00728; -70.98482
-0.00367; -71.97932
0.00001; -72.97369
0.00376; -73.96795
0.00754; -74.96212
0.01134; -75.95624
0.01515; -76.95034
0.01893; -77.94442
0.02268; -78.93853
0.02636; -79.93270
0.02997; -80.92693
0.03348; -81.92128
0.03687; -82.91575
0.04012; -83.91037
0.04321; -84.90518
0.04613; -85.90020
0.04885; -86.89545
0.05135; -87.89096
0.05361; -88.88677
0.05562; -89.88288
0.05736; -90.87934
0.05880; -91.87616
0.05992; -92.87338
0.06070; -93.87102
0.06114; -94.86910
0.06119; -95.86766
0.06086; -96.86672
0.06011; -97.86630
0.05892; -98.86644
0.05728; -99.86715
0.05517; -100.86847
0.05257; -101.87042
0.04945; -102.87303
0.04580; -103.87632
0.04160; -104.88032
0.03682; -105.88507
0.03146; -106.89057
0.02548; -107.89687
0.01887; -108.90398
0.01162; -109.91193
0.00369; -110.92076
-0.00493; -111.93048
-0.01426; -112.94112
-0.02432; -113.95271
-0.03513; -114.96528
-0.04670; -115.97884
-0.05907; -116.99344
-0.07204; -118.00902
-0.08459; -119.02523
-0.09545; -120.04165
-0.10339; -121.05786
-0.10713; -122.07342
-0.10544; -123.08791
-0.09706; -124.10090
-0.08073; -125.11198
-0.05520; -126.12070
-0.01922; -127.12664
0.02847; -128.12939
0.08911; -129.12851
0.16397; -130.12357
0.25430; -131.11415
0.36134; -132.09983
0.48635; -133.08017
0.63060; -134.05475
0.79532; -135.02315
0.98177; -135.98494
1.19121; -136.93968
1.42489; -137.88696
1.68406; -138.82636
1.96998; -139.75743
2.28389; -140.67976
2.62706; -141.59292
