# path_x; path_y
2.08707; -0.32843
2.07675; -0.96269
2.08566; -2.04615
2.09481; -3.01148
2.10427; -4.00951
2.11368; -4.99970
2.12311; -5.99289
2.13255; -6.98616
2.14198; -7.98025
2.15142; -8.97495
2.16086; -9.97027
2.17030; -10.96620
2.17975; -11.96269
2.18919; -12.95975
2.19864; -13.95733
2.20808; -14.95542
2.21753; -15.95400
2.22698; -16.95304
2.23643; -17.95253
2.24588; -18.95243
2.25533; -19.95273
2.26478; -20.95340
2.27422; -21.95442
2.28367; -22.95577
2.29312; -23.95743
2.30257; -24.95937
2.31202; -25.96156
2.32146; -26.96400
2.33091; -27.96664
2.34035; -28.96948
2.34980; -29.97248
2.35925; -30.97563
2.36869; -31.97890
2.37814; -32.98226
2.38758; -33.98570
2.39703; -34.98919
2.40647; -35.99271
2.41591; -36.99624
2.42536; -37.99974
2.43480; -39.00321
2.44425; -40.00661
2.45369; -41.00992
2.46314; -42.01312
2.47258; -43.01619
2.48203; -44.01910
2.49148; -45.02182
2.50092; -46.02435
2.51037; -47.02665
2.51982; -48.02870
2.52927; -49.03047
2.53872; -50.03195
2.54817; -51.03311
2.55762; -52.03392
2.56707; -53.03437
2.57652; -54.03443
2.58597; -55.03408
2.59542; -56.03330
2.60487; -57.03206
2.61432; -58.03034
2.62377; -59.02811
2.63322; -60.02541
2.64267; -61.02231
2.65212; -62.01883
2.66156; -63.01500
2.67101; -64.01085
2.68046; -65.00640
2.68990; -66.00168
2.69935; -66.99672
2.70879; -67.99155
2.71824; -68.98618
2.72768; -69.98066
2.73712; -70.97500
2.74657; -71.96923
2.75601; -72.96339
2.76545; -73.95748
2.77489; -74.95156
2.78433; -75.94563
2.79378; -76.93972
2.80322; -77.93387
2.81266; -78.92810
2.82210; -79.92243
2.83155; -80.91690
2.84099; -81.91153
2.85044; -82.90634
2.85988; -83.90137
2.86933; -84.89664
2.87878; -85.89217
2.88822; -86.88799
2.89767; -87.88414
2.90712; -88.88063
2.91657; -89.87750
2.92602; -90.87477
2.93547; -91.87246
2.94493; -92.87061
2.95438; -93.86924
2.96383; -94.86838
2.97329; -95.86806
2.98274; -96.86830
2.99219; -97.86913
3.00164; -98.87058
3.01109; -99.87267
3.02054; -100.87544
3.02999; -101.87891
3.03944; -102.88311
3.04888; -103.88806
3.05832; -104.89379
3.06776; -105.90034
3.07719; -106.90773
3.08662; -107.91599
3.09604; -108.92514
3.10546; -109.93522
3.11487; -110.94625
3.12427; -111.95826
3.13366; -112.97129
3.14304; -113.98535
3.15241; -115.00048
3.16177; -116.01671
3.17112; -117.03407
3.18047; -118.05053
3.18987; -119.06362
3.19932; -120.07280
3.20881; -121.07758
3.21832; -122.07747
3.22785; -123.07204
3.23744; -124.06088
3.25290; -125.04358
3.27426; -126.01974
3.30362; -126.98894
3.34930; -127.95038
3.40852; -128.90366
3.46723; -129.84949
3.53765; -130.78696
3.63159; -131.71454
3.74163; -132.63254
3.86499; -133.54117
4.00666; -134.43962
4.16765; -135.32758
4.34872; -136.20482
4.55057; -137.07121
4.77458; -137.92648
5.02173; -138.77053
5.29501; -139.60258
5.59612; -140.42216
5.92346; -141.23016
6.27812; -142.02667
6.66282; -142.81102
7.07812; -143.58354
7.52360; -144.34539
8.00075; -145.09623
8.51963; -145.82498
9.06861; -146.53283
9.64603; -147.21477
10.24512; -147.87035
10.85883; -148.50079
11.49017; -149.09816
12.13606; -149.66025
12.79862; -150.17848
13.47472; -150.65002
14.16323; -151.06910
14.85958; -151.43567
15.55932; -151.75221
16.26189; -152.01561
16.96376; -152.23469
17.67933; -152.40297
18.41708; -152.54080
19.17989; -152.63095
19.96531; -152.67410
20.77025; -152.66884
21.59089; -152.61479
22.42244; -152.50916
23.25823; -152.34567
24.09397; -152.13208
24.92393; -151.86842
25.74229; -151.55565
26.54503; -151.19965
27.32582; -150.80031
28.08291; -150.36743
28.81728; -149.90744
29.53069; -149.41946
30.22261; -148.90079
30.90332; -148.36419
31.58765; -147.82481
32.27817; -147.28035
32.97679; -146.72879
33.68486; -146.16844
34.40321; -145.59796
35.13224; -145.01639
35.87201; -144.42314
36.62227; -143.81795
37.38254; -143.20090
38.15216; -142.57238
38.93032; -141.93303
39.71611; -141.28373
40.50851; -140.62558
41.30647; -139.95984
42.10890; -139.28791
42.91465; -138.61129
43.72256; -137.93160
44.53149; -137.25047
45.34025; -136.56957
46.14766; -135.89059
46.95257; -135.21517
47.75383; -134.54488
48.55028; -133.88123
49.34084; -133.22561
50.12443; -132.57926
50.90030; -131.94293
51.66797; -131.31695
52.42691; -130.70162
53.17673; -130.09703
53.91721; -129.50305
54.64831; -128.91926
55.37024; -128.34500
56.08350; -127.77935
56.78889; -127.22110
57.48762; -126.66878
58.18129; -126.12071
58.87200; -125.57498
59.57908; -125.05392
60.30582; -124.56143
61.05448; -124.10061
61.82460; -123.66732
62.61889; -123.26756
63.43124; -122.89671
64.26287; -122.56536
65.10665; -122.26534
65.96089; -122.00038
66.82245; -121.77037
67.68917; -121.57837
68.55708; -121.41989
69.42396; -121.29556
70.28757; -121.20523
71.14606; -121.15070
71.99715; -121.11962
72.84051; -121.12239
73.67910; -121.16247
74.51629; -121.24127
75.35303; -121.34783
76.18776; -121.49124
77.02131; -121.66410
77.85090; -121.87467
78.67397; -122.12566
79.49027; -122.41219
80.29822; -122.73392
81.09472; -123.09334
81.87712; -123.49084
82.64774; -123.91772
83.40520; -124.37348
84.14150; -124.86699
84.85780; -125.39189
85.55667; -125.94144
86.23578; -126.51599
86.89067; -127.11781
87.52420; -127.74085
88.14264; -128.37716
