# path_x; path_y
2.50940; -0.38057
2.55170; -0.94237
2.57513; -2.04720
2.58003; -3.00701
2.58156; -4.00689
2.58314; -4.99697
2.58458; -5.99055
2.58584; -6.98405
2.58696; -7.97840
2.58796; -8.97333
2.58890; -9.96888
2.58981; -10.96500
2.59072; -11.96169
2.59166; -12.95892
2.59262; -13.95667
2.59359; -14.95492
2.59457; -15.95364
2.59556; -16.95281
2.59655; -17.95241
2.59755; -18.95242
2.59854; -19.95282
2.59954; -20.95357
2.60053; -21.95467
2.60152; -22.95609
2.60251; -23.95781
2.60351; -24.95980
2.60450; -25.96203
2.60549; -26.96450
2.60648; -27.96718
2.60747; -28.97003
2.60846; -29.97305
2.60945; -30.97621
2.61044; -31.97948
2.61143; -32.98284
2.61242; -33.98627
2.61341; -34.98975
2.61440; -35.99326
2.61539; -36.99676
2.61638; -38.00024
2.61737; -39.00368
2.61836; -40.00706
2.61935; -41.01034
2.62035; -42.01351
2.62135; -43.01654
2.62234; -44.01942
2.62334; -45.02211
2.62434; -46.02461
2.62535; -47.02687
2.62635; -48.02888
2.62736; -49.03063
2.62837; -50.03208
2.62938; -51.03321
2.63039; -52.03400
2.63141; -53.03442
2.63242; -54.03446
2.63344; -55.03410
2.63446; -56.03330
2.63548; -57.03205
2.63650; -58.03032
2.63752; -59.02810
2.63857; -60.02541
2.63961; -61.02232
2.64066; -62.01885
2.64171; -63.01504
2.64276; -64.01092
2.64380; -65.00650
2.64485; -66.00181
2.64589; -66.99688
2.64693; -67.99174
2.64797; -68.98642
2.64901; -69.98093
2.65005; -70.97531
2.65109; -71.96958
2.65213; -72.96377
2.65317; -73.95791
2.65421; -74.95202
2.65525; -75.94612
2.65629; -76.94025
2.65734; -77.93442
2.65838; -78.92868
2.65943; -79.92303
2.66049; -80.91752
2.66154; -81.91215
2.66260; -82.90697
2.66366; -83.90200
2.66473; -84.89725
2.66580; -85.89277
2.66687; -86.88857
2.66795; -87.88469
2.66904; -88.88114
2.67013; -89.87796
2.67122; -90.87517
2.67232; -91.87280
2.67342; -92.87087
2.67453; -93.86941
2.67564; -94.86845
2.67676; -95.86802
2.67788; -96.86813
2.67900; -97.86883
2.68012; -98.87013
2.68125; -99.87206
2.68237; -100.87465
2.68350; -101.87792
2.68463; -102.88191
2.68575; -103.88664
2.68688; -104.89214
2.68800; -105.89843
2.68912; -106.90555
2.69024; -107.91351
2.69135; -108.92236
2.69246; -109.93211
2.69356; -110.94280
2.69465; -111.95445
2.69572; -112.96709
2.69677; -113.98075
2.69777; -114.99546
2.69867; -116.01124
2.69927; -117.02814
2.69931; -118.04439
2.69917; -119.05787
2.69924; -120.06808
2.70020; -121.07455
2.70279; -122.07685
2.70784; -123.07451
2.71747; -124.06712
2.73299; -125.05425
2.75365; -126.03553
2.78406; -127.01047
2.83004; -127.97837
2.88633; -128.93903
2.94712; -129.89265
3.02021; -130.83853
3.11516; -131.77539
3.22646; -132.70338
3.35142; -133.62272
3.49503; -134.53259
3.65838; -135.43266
3.84225; -136.32269
4.04742; -137.20252
4.27531; -138.07185
4.52696; -138.93053
4.80540; -139.77774
5.11237; -140.61292
5.44632; -141.43689
5.80836; -142.24967
6.20124; -143.05049
6.62552; -143.83958
7.07960; -144.61871
7.56846; -145.38524
8.09750; -146.13107
8.65984; -146.85425
9.25051; -147.55236
9.86354; -148.22458
10.49350; -148.87083
11.14135; -149.48538
11.80703; -150.06293
12.49055; -150.59741
13.18976; -151.08499
13.90374; -151.51973
14.62810; -151.90131
15.35854; -152.23188
16.09386; -152.50998
16.83257; -152.73787
17.58426; -152.91866
18.35837; -153.05747
19.15517; -153.15036
19.97282; -153.19405
20.80823; -153.18745
21.65765; -153.13079
22.51623; -153.02063
23.37761; -152.85204
24.23743; -152.63190
25.09027; -152.36110
25.93057; -152.04083
26.75400; -151.67582
27.55495; -151.26742
28.33130; -150.82426
29.08426; -150.35370
29.81514; -149.85475
30.52340; -149.32498
31.21339; -148.76956
31.89318; -148.19708
32.57072; -147.61424
33.25266; -147.02507
33.94201; -146.42949
34.64038; -145.82651
35.34883; -145.21533
36.06786; -144.59528
36.79754; -143.96597
37.53765; -143.32723
38.28765; -142.67923
39.04685; -142.02234
39.81434; -141.35719
40.58910; -140.68461
41.37003; -140.00560
42.15597; -139.32136
42.94568; -138.63314
43.73789; -137.94233
44.53128; -137.25032
45.32453; -136.55856
46.11630; -135.86848
46.90528; -135.18148
47.69018; -134.49892
48.46975; -133.82204
49.24282; -133.15199
50.00835; -132.48982
50.76563; -131.83611
51.51414; -131.19095
52.25338; -130.55438
52.98305; -129.92625
53.70304; -129.30616
54.41352; -128.69350
55.11501; -128.08747
55.80842; -127.48709
56.49512; -126.89129
57.17776; -126.29985
57.86394; -125.71842
58.56324; -125.15656
59.28373; -124.62415
