# path_x; path_y
-0.08287; 0.78092
1.06083; 0.80251
2.03503; 0.85384
3.04534; 0.91570
4.03333; 0.97999
5.01978; 1.04443
6.00182; 1.10886
6.98287; 1.17329
7.96415; 1.23770
8.94715; 1.30219
9.93310; 1.36682
10.92317; 1.43169
11.91862; 1.49686
12.92081; 1.56237
13.93136; 1.62806
14.95214; 1.69319
15.97993; 1.75683
17.00926; 1.81962
18.03854; 1.88203
19.06574; 1.94421
20.08859; 2.00621
21.10474; 2.06810
22.11185; 2.12996
23.10773; 2.19184
24.09047; 2.25377
25.05860; 2.31579
26.01120; 2.37792
26.94794; 2.44248
27.86880; 2.51506
28.77242; 2.61298
29.66168; 2.72012
30.54851; 2.83536
31.44430; 2.96106
32.35238; 3.09434
33.27578; 3.23197
34.21580; 3.37388
35.17272; 3.52035
36.14599; 3.67144
37.13437; 3.82702
38.13603; 3.98675
39.14874; 4.15009
40.16991; 4.31631
41.19675; 4.48451
42.22634; 4.65372
43.25572; 4.82288
44.28189; 4.99105
45.30122; 5.15704
46.30923; 5.31913
47.30195; 5.47610
48.27590; 5.62730
49.22836; 5.77270
50.15768; 5.91276
51.06462; 6.04477
51.95159; 6.16359
52.82126; 6.26687
53.67673; 6.35920
54.52430; 6.43913
55.37203; 6.48340
56.22484; 6.48300
57.08784; 6.43310
57.96405; 6.33691
58.83842; 6.17828
59.68668; 5.94226
60.47984; 5.61522
61.21041; 5.23617
61.85936; 4.80578
62.40430; 4.32436
62.87499; 3.83788
63.29580; 3.31806
63.66428; 2.72752
63.98038; 2.07327
64.17911; 1.35049
64.28701; 0.59226
64.30077; -0.18102
64.25740; -0.95121
64.16369; -1.71695
64.00525; -2.48301
63.78308; -3.25131
63.45629; -4.00207
63.05692; -4.73985
62.56596; -5.44534
61.99311; -6.11181
61.35540; -6.74007
60.68599; -7.35044
59.99156; -7.94617
59.28368; -8.53680
58.56555; -9.12427
57.83834; -9.70738
57.09072; -10.26468
56.31414; -10.77068
55.52695; -11.24517
54.71851; -11.66861
53.90731; -12.07909
53.09358; -12.48560
