# track_x; track_y
0.02685; 0.04715
0.01939; 1.03420
0.01274; 2.02264
0.00686; 3.01241
0.00173; 4.00347
-0.00270; 4.99574
-0.00646; 5.98917
-0.00958; 6.98371
-0.01209; 7.97929
-0.01404; 8.97585
-0.01544; 9.97335
-0.01635; 10.97172
-0.01679; 11.97090
-0.01679; 12.97083
-0.01640; 13.97147
-0.01563; 14.97274
-0.01454; 15.97459
-0.01315; 16.97697
-0.01149; 17.97981
-0.00961; 18.98306
-0.00753; 19.98666
-0.00529; 20.99055
-0.00292; 21.99467
-0.00046; 22.99897
0.00206; 24.00338
0.00461; 25.00786
0.00715; 26.01234
0.00964; 27.01676
0.01206; 28.02106
0.01437; 29.02520
0.01653; 30.02910
0.01852; 31.03271
0.02029; 32.03598
0.02181; 33.03885
0.02305; 34.04125
0.02398; 35.04313
0.02455; 36.04444
0.02475; 37.04510
0.02452; 38.04508
0.02385; 39.04430
0.02270; 40.04273
0.02112; 41.04043
0.01914; 42.03746
0.01680; 43.03388
0.01415; 44.02975
0.01124; 45.02515
0.00809; 46.02014
0.00476; 47.01479
0.00129; 48.00915
-0.00228; 49.00330
-0.00592; 49.99730
-0.00956; 50.99121
-0.01318; 51.98511
-0.01673; 52.97905
-0.02017; 53.97311
-0.02346; 54.96734
-0.02655; 55.96182
-0.02940; 56.95660
-0.03197; 57.95176
-0.03422; 58.94735
-0.03610; 59.94345
-0.03757; 60.94012
-0.03860; 61.93743
-0.03913; 62.93543
-0.03913; 63.93420
-0.03855; 64.93381
-0.03735; 65.93431
-0.03549; 66.93577
-0.03292; 67.93825
-0.02961; 68.94183
-0.02551; 69.94657
-0.02058; 70.95254
-0.01477; 71.95979
-0.00805; 72.96839
-0.00038; 73.97842
0.00830; 74.98992
0.01802; 76.00298
0.02883; 77.01766
0.04077; 78.03402
0.05323; 79.05188
0.06378; 80.07038
0.06966; 81.08855
0.06810; 82.10538
0.05632; 83.11990
0.03156; 84.13112
-0.00895; 85.13804
-0.06798; 86.13969
-0.14829; 87.13508
-0.25265; 88.12322
-0.38384; 89.10312
-0.54461; 90.07381
-0.73774; 91.03428
-0.96600; 91.98356
-1.23215; 92.92065
-1.53897; 93.84458
-1.88921; 94.75435
-2.28565; 95.64898
-2.73106; 96.52748
-3.22820; 97.38887
-3.77864; 98.23029
-4.38078; 99.04404
-5.03251; 99.82159
-5.73171; 100.55443
-6.47629; 101.23405
-7.26411; 101.85193
-8.09308; 102.39956
-8.96108; 102.86841
-9.86599; 103.24998
-10.80570; 103.53576
-11.77633; 103.72089
-12.76961; 103.80962
-13.77659; 103.80756
-14.78832; 103.72034
-15.79588; 103.55357
-16.79030; 103.31289
-17.76266; 103.00391
-18.70400; 102.63225
-19.60540; 102.20355
-20.46131; 101.72283
-21.27418; 101.19376
-22.04760; 100.61983
-22.78517; 100.00451
-23.49048; 99.35126
-24.16713; 98.66357
-24.81872; 97.94490
-25.44885; 97.19874
-26.06110; 96.42855
-26.65907; 95.63781
-27.24637; 94.82999
-27.82658; 94.00857
-28.40330; 93.17702
-28.98013; 92.33881
-29.56066; 91.49742
-30.14849; 90.65632
-30.74721; 89.81899
-31.36043; 88.98890
-31.99173; 88.16953
-32.64470; 87.36434
-33.32162; 86.57660
-34.02189; 85.80917
-34.74457; 85.06480
-35.48868; 84.34629
-36.25327; 83.65641
-37.03738; 82.99794
-37.84005; 82.37366
-38.66032; 81.78635
-39.49723; 81.23878
-40.34982; 80.73375
-41.21713; 80.27402
-42.09820; 79.86237
-42.99207; 79.50159
-43.89778; 79.19445
-44.81437; 78.94374
-45.74089; 78.75222
-46.67637; 78.62269
-47.61985; 78.55791
-48.57036; 78.56067
-49.52614; 78.63207
-50.48380; 78.76999
-51.43978; 78.97190
-52.39049; 79.23530
-53.33239; 79.55766
-54.26189; 79.93646
-55.17543; 80.36920
-56.06945; 80.85334
-56.94036; 81.38637
-57.78461; 81.96578
-58.59863; 82.58905
-59.37884; 83.25365
-60.12167; 83.95708
-60.82357; 84.69681
-61.48096; 85.47033
-62.09027; 86.27512
-62.64794; 87.10866
-63.15039; 87.96843
-63.59406; 88.85191
-63.97541; 89.75660
-64.29422; 90.68027
-64.55620; 91.62120
-64.76769; 92.57776
-64.93504; 93.54829
-65.06457; 94.53113
-65.16264; 95.52464
-65.23557; 96.52717
-65.28971; 97.53707
-65.33139; 98.55268
-65.36695; 99.57236
-65.40274; 100.59445
-65.44509; 101.61731
-65.50033; 102.63928
-65.57482; 103.65871
-65.67488; 104.67395
-65.80685; 105.68336
-65.97708; 106.68527
-66.19191; 107.67805
-66.45763; 108.66000
-66.77830; 109.62763
-67.15420; 110.57436
-67.58525; 111.49334
-68.07139; 112.37770
-68.61253; 113.22059
-69.20862; 114.01515
-69.85957; 114.75451
-70.56530; 115.43184
-71.32576; 116.04026
-72.14081; 116.57294
-73.00691; 117.02493
-73.91516; 117.39423
-74.85618; 117.67906
