# traj_x; traj_y
-0.08855; 0.88856
1.06716; 0.87100
2.03612; 0.89881
3.04587; 0.94844
4.03323; 1.00258
5.01955; 1.05701
6.00174; 1.11153
6.98316; 1.16606
7.96492; 1.22057
8.94844; 1.27515
9.93482; 1.32987
10.92518; 1.38487
11.92066; 1.44023
12.92253; 1.49602
13.93234; 1.55191
14.95188; 1.60658
15.97812; 1.65826
17.00594; 1.70827
18.03388; 1.75753
19.06003; 1.80623
20.08229; 1.85440
21.09845; 1.90209
22.10632; 1.94938
23.10391; 1.99638
24.08949; 2.04327
25.06178; 2.09031
26.02004; 2.13806
26.96414; 2.18846
27.89338; 2.25623
28.80629; 2.35393
29.70450; 2.46993
30.59844; 2.60060
31.49709; 2.75116
32.40443; 2.91330
33.32479; 3.07903
34.26007; 3.24754
35.21098; 3.41886
36.17740; 3.59294
37.15840; 3.76976
38.15239; 3.94920
39.15729; 4.13101
40.17059; 4.31481
41.18957; 4.50008
42.21134; 4.68620
43.23295; 4.87248
44.25148; 5.05831
45.26338; 5.24287
46.26451; 5.42451
47.25124; 5.60204
48.22042; 5.77491
49.16966; 5.94321
50.09777; 6.10731
51.00522; 6.26718
51.89729; 6.40846
52.77771; 6.51970
53.64621; 6.61612
54.50835; 6.69864
55.37189; 6.73305
56.23947; 6.71264
57.11779; 6.66166
58.01175; 6.57387
58.90507; 6.41935
59.77146; 6.17759
60.58810; 5.85186
61.33756; 5.45723
62.00720; 5.00988
62.59043; 4.52574
63.08831; 4.01415
63.52094; 3.45747
63.90348; 2.83671
64.22789; 2.15289
64.48067; 1.41230
64.64765; 0.62815
64.71783; -0.18093
64.68890; -0.99322
64.56812; -1.79546
64.36218; -2.58624
64.07308; -3.36242
63.70312; -4.11963
63.25622; -4.85328
62.73830; -5.55950
62.15737; -6.23607
61.52329; -6.88317
60.84754; -7.50402
60.14278; -8.10534
59.42255; -8.69779
58.70043; -9.29592
57.97725; -9.90109
57.23311; -10.48222
56.45359; -11.00453
55.64916; -11.47065
54.83127; -11.89811
54.00737; -12.30446
53.18295; -12.70911
52.35438; -13.11349
51.51786; -13.51655
50.66524; -13.89870
49.78653; -14.22023
48.88333; -14.47037
47.95961; -14.64590
47.01892; -14.74157
46.06983; -14.78713
45.11749; -14.81027
44.16355; -14.82762
43.20815; -14.85023
42.25042; -14.87564
