# delta; F_drive; F_brake; gamma_y
0.20518; 130.11479; -0.00004; -57.16104
0.17105; 142.39114; -0.00003; -69.82815
0.01667; 192.44799; -0.00002; -88.09335
-0.02183; 205.66103; -0.00002; -89.73337
-0.08710; 225.61855; -0.00002; -91.00070
-0.10612; 230.48976; -0.00002; -91.03948
-0.11317; 231.25999; -0.00002; -90.87089
-0.11825; 230.95059; -0.00002; -90.60358
-0.12294; 230.05990; -0.00002; -90.24891
-0.12775; 228.75013; -0.00002; -89.80671
-0.13289; 227.09435; -0.00002; -89.27247
-0.13847; 225.13306; -0.00002; -88.63862
-0.14459; 222.89262; -0.00002; -87.89470
-0.15130; 220.39308; -0.00002; -87.02714
-0.15869; 217.65257; -0.00002; -86.01876
-0.16685; 214.69074; -0.00002; -84.84818
-0.17587; 211.53253; -0.00002; -83.48895
-0.18592; 208.21364; -0.00002; -81.90860
-0.19719; 204.78976; -0.00002; -80.06747
-0.20999; 201.35022; -0.00002; -77.91738
-0.09353; 158.70693; -0.00003; -72.81487
0.08742; 105.23164; -0.00005; -47.87861
-0.02307; 132.13037; -0.00004; -65.63108
-0.20390; 181.97816; -0.00002; -71.48086
-0.19322; 170.69552; -0.00003; -67.78142
-0.01128; 108.18362; -0.00005; -50.11747
0.08354; 91.50098; -0.00005; -29.01876
-0.03871; 115.14341; -0.00004; -53.64857
-0.13581; 139.16705; -0.00003; -58.34270
0.04643; 88.54585; -0.00006; -27.59363
0.03059; 90.71170; -0.00006; -32.16194
-0.12557; 129.21645; -0.00004; -53.09365
0.05499; 85.51149; -0.00006; -18.66187
0.04269; 86.83776; -0.00006; -24.22371
-0.01720; 95.97030; -0.00005; -37.16425
-0.02026; 94.17471; -0.00005; -34.45247
-0.05389; 99.23214; -0.00005; -36.58177
0.00854; 84.84470; -0.00006; -19.67378
0.03185; 83.35423; -0.00006; -14.08062
0.00026; 86.00679; -0.00006; -22.14191
-0.02047; 88.19507; -0.00006; -24.64025
0.03835; 82.80332; -0.00006; -9.39047
0.02990; 83.21444; -0.00006; -13.72809
-0.03302; 90.77582; -0.00006; -27.61786
