# track_x; track_y
495.24582; -0.12260
495.12314; 0.94356
494.96220; 1.98848
494.76407; 3.01253
494.52978; 4.01612
494.26041; 4.99963
493.95698; 5.96346
493.62055; 6.90798
493.25218; 7.83360
492.85291; 8.74071
492.42379; 9.62969
491.96587; 10.50093
491.48021; 11.35483
490.96785; 12.19178
490.42984; 13.01216
489.86723; 13.81636
489.28107; 14.60478
488.67242; 15.37781
488.04231; 16.13584
487.39181; 16.87925
486.72196; 17.60844
486.03382; 18.32380
485.32842; 19.02571
484.60683; 19.71458
483.87009; 20.39078
483.11925; 21.05471
482.35536; 21.70676
481.57947; 22.34732
480.79263; 22.97678
479.99590; 23.59553
479.19032; 24.20396
478.37694; 24.80246
477.55681; 25.39142
476.73098; 25.97124
475.90035; 26.54225
475.06517; 27.10469
474.22555; 27.65870
473.38160; 28.20448
472.53343; 28.74218
471.68114; 29.27199
470.82483; 29.79406
469.96462; 30.30859
469.10060; 30.81573
468.23289; 31.31567
467.36159; 31.80856
466.48681; 32.29459
465.60866; 32.77392
464.72723; 33.24674
463.84264; 33.71320
462.95500; 34.17349
462.06440; 34.62777
461.17096; 35.07622
460.27478; 35.51901
459.37596; 35.95630
458.47462; 36.38829
457.57087; 36.81512
456.66479; 37.23698
455.75651; 37.65405
454.84613; 38.06648
453.93375; 38.47446
453.01949; 38.87815
452.10344; 39.27773
451.18571; 39.67337
450.26642; 40.06525
449.34566; 40.45352
448.42354; 40.83838
447.50016; 41.21995
446.57554; 41.59831
445.64970; 41.97347
444.72265; 42.34548
443.79441; 42.71435
442.86500; 43.08012
441.93442; 43.44283
441.00270; 43.80249
440.06985; 44.15915
439.13588; 44.51283
438.20081; 44.86356
437.26465; 45.21137
436.32743; 45.55630
435.38915; 45.89837
434.44983; 46.23762
433.50948; 46.57407
432.56813; 46.90776
431.62578; 47.23871
430.68244; 47.56696
429.73815; 47.89253
428.79291; 48.21546
427.84673; 48.53578
426.89963; 48.85352
425.95163; 49.16871
425.00274; 49.48137
424.05297; 49.79155
423.10235; 50.09926
422.15088; 50.40455
421.19858; 50.70743
420.24548; 51.00795
419.29157; 51.30613
418.33688; 51.60200
417.38142; 51.89560
416.42520; 52.18695
415.46825; 52.47608
414.51058; 52.76302
413.55220; 53.04781
412.59313; 53.33048
411.63338; 53.61105
410.67296; 53.88955
409.71190; 54.16603
408.75021; 54.44050
407.78790; 54.71300
406.82499; 54.98355
405.86149; 55.25219
404.89742; 55.51896
403.93279; 55.78387
402.96763; 56.04696
402.00193; 56.30826
401.03573; 56.56781
400.06902; 56.82562
399.10184; 57.08173
398.13419; 57.33618
397.16609; 57.58899
396.19756; 57.84019
395.22860; 58.08982
394.25924; 58.33790
393.28949; 58.58446
392.31936; 58.82954
391.34888; 59.07317
390.37804; 59.31537
389.40688; 59.55618
388.43540; 59.79562
387.46363; 60.03373
386.49157; 60.27054
385.51923; 60.50607
384.54663; 60.74034
383.57377; 60.97334
382.60064; 61.20509
381.62724; 61.43559
380.65359; 61.66485
379.67967; 61.89286
378.70550; 62.11965
377.73107; 62.34521
376.75639; 62.56954
375.78145; 62.79266
374.80626; 63.01457
373.83083; 63.23527
372.85514; 63.45477
371.87921; 63.67308
370.90304; 63.89020
369.92662; 64.10614
368.94996; 64.32090
367.97306; 64.53449
366.99592; 64.74691
366.01855; 64.95817
365.04094; 65.16828
364.06310; 65.37724
363.08503; 65.58505
362.10672; 65.79172
361.12820; 65.99726
360.14944; 66.20168
359.17046; 66.40497
358.19126; 66.60715
357.21183; 66.80821
356.23219; 67.00817
355.25232; 67.20703
354.27225; 67.40480
353.29195; 67.60148
352.31145; 67.79708
351.33073; 67.99159
350.34980; 68.18504
349.36867; 68.37742
348.38733; 68.56874
347.40578; 68.75901
346.42403; 68.94822
345.44208; 69.13639
344.45993; 69.32353
343.47758; 69.50963
342.49504; 69.69470
341.51230; 69.87875
340.52937; 70.06179
339.54625; 70.24381
338.56293; 70.42483
337.57943; 70.60486
336.59575; 70.78388
335.61188; 70.96192
334.62782; 71.13898
333.64358; 71.31506
332.65917; 71.49016
331.67457; 71.66431
330.68980; 71.83749
329.70486; 72.00971
328.71974; 72.18099
327.73445; 72.35132
326.74899; 72.52072
325.76337; 72.68918
324.77757; 72.85671
323.79161; 73.02333
322.80549; 73.18902
321.81921; 73.35381
320.83277; 73.51769
319.84617; 73.68068
318.85941; 73.84276
317.87250; 74.00397
316.88544; 74.16428
315.89822; 74.32373
314.91085; 74.48230
313.92334; 74.64000
312.93568; 74.79684
311.94787; 74.95283
310.95993; 75.10797
309.97184; 75.26227
308.98361; 75.41573
307.99524; 75.56835
307.00673; 75.72015
306.01810; 75.87113
305.02932; 76.02129
304.04042; 76.17064
303.05139; 76.31919
302.06223; 76.46693
301.07294; 76.61389
300.08353; 76.76005
299.09399; 76.90543
298.10433; 77.05004
297.11456; 77.19387
296.12466; 77.33694
295.13465; 77.47925
294.14452; 77.62081
293.15428; 77.76161
292.16393; 77.90167
291.17347; 78.04100
290.18290; 78.17959
289.19222; 78.31745
288.20144; 78.45459
287.21056; 78.59102
286.21957; 78.72674
285.22849; 78.86175
284.23731; 78.99606
283.24603; 79.12968
282.25465; 79.26262
281.26318; 79.39486
280.27162; 79.52644
279.27997; 79.65734
278.28824; 79.78757
277.29641; 79.91715
276.30450; 80.04607
275.31251; 80.17434
274.32043; 80.30197
273.32828; 80.42896
272.33605; 80.55532
271.34374; 80.68105
270.35136; 80.80617
269.35890; 80.93066
268.36637; 81.05455
267.37377; 81.17783
266.38110; 81.30051
265.38837; 81.42260
264.39557; 81.54410
263.40271; 81.66502
262.40979; 81.78536
261.41680; 81.90513
260.42376; 82.02433
259.43066; 82.14298
258.43751; 82.26107
257.44431; 82.37861
256.45105; 82.49560
255.45773; 82.61205
254.46437; 82.72795
253.47095; 82.84330
252.47748; 82.95811
251.48396; 83.07237
250.49038; 83.18609
249.49676; 83.29926
248.50308; 83.41190
247.50935; 83.52399
246.51557; 83.63554
245.52174; 83.74655
244.52786; 83.85702
243.53393; 83.96696
242.53995; 84.07635
241.54591; 84.18521
240.55183; 84.29353
239.55770; 84.40131
238.56352; 84.50856
237.56929; 84.61528
236.57501; 84.72146
235.58068; 84.82711
234.58630; 84.93223
233.59188; 85.03681
232.59741; 85.14087
231.60288; 85.24439
230.60831; 85.34739
229.61370; 85.44985
228.61903; 85.55179
227.62432; 85.65320
226.62956; 85.75409
225.63476; 85.85445
224.63990; 85.95428
223.64501; 86.05359
222.65006; 86.15238
221.65507; 86.25064
220.66003; 86.34839
219.66495; 86.44561
218.66982; 86.54231
217.67465; 86.63849
216.67943; 86.73415
215.68417; 86.82929
214.68886; 86.92391
213.69351; 87.01802
212.69812; 87.11161
211.70268; 87.20469
210.70719; 87.29725
209.71167; 87.38930
208.71610; 87.48083
207.72048; 87.57185
206.72483; 87.66236
205.72913; 87.75236
204.73338; 87.84185
203.73760; 87.93082
202.74177; 88.01929
201.74590; 88.10725
200.74999; 88.19470
199.75404; 88.28165
198.75805; 88.36809
197.76201; 88.45402
196.76594; 88.53945
195.76982; 88.62438
194.77367; 88.70880
193.77747; 88.79272
192.78123; 88.87614
191.78496; 88.95906
190.78864; 89.04147
189.79228; 89.12339
188.79589; 89.20481
187.79945; 89.28573
186.80298; 89.36615
185.80647; 89.44608
184.80992; 89.52551
183.81333; 89.60444
182.81670; 89.68288
181.82004; 89.76083
180.82333; 89.83828
179.82659; 89.91524
178.82981; 89.99171
177.83300; 90.06769
176.83615; 90.14318
175.83926; 90.21818
174.84234; 90.29269
173.84537; 90.36671
172.84838; 90.44024
171.85134; 90.51329
170.85428; 90.58585
169.85717; 90.65793
168.86003; 90.72952
167.86286; 90.80063
166.86565; 90.87126
165.86840; 90.94140
164.87113; 91.01106
163.87381; 91.08024
162.87647; 91.14894
161.87909; 91.21717
160.88167; 91.28491
159.88422; 91.35217
158.88674; 91.41896
157.88923; 91.48527
156.89168; 91.55111
155.89410; 91.61647
154.89649; 91.68136
153.89885; 91.74577
152.90117; 91.80971
151.90346; 91.87318
150.90572; 91.93618
149.90795; 91.99870
148.91015; 92.06076
147.91231; 92.12235
146.91445; 92.18347
145.91656; 92.24412
144.91863; 92.30430
143.92068; 92.36402
142.92269; 92.42327
141.92467; 92.48206
140.92663; 92.54038
139.92856; 92.59824
138.93045; 92.65564
137.93232; 92.71257
136.93416; 92.76905
135.93597; 92.82506
134.93775; 92.88062
133.93950; 92.93571
132.94123; 92.99035
131.94293; 93.04453
130.94460; 93.09825
129.94624; 93.15151
128.94786; 93.20432
127.94945; 93.25668
126.95101; 93.30858
125.95254; 93.36003
124.95405; 93.41102
123.95554; 93.46157
122.95699; 93.51166
121.95842; 93.56130
120.95983; 93.61050
119.96121; 93.65924
118.96257; 93.70754
117.96390; 93.75538
116.96520; 93.80279
115.96648; 93.84974
114.96774; 93.89625
113.96897; 93.94232
112.97018; 93.98794
111.97137; 94.03312
110.97253; 94.07785
109.97367; 94.12215
108.97478; 94.16600
107.97587; 94.20942
106.97694; 94.25239
105.97799; 94.29493
104.97902; 94.33702
103.98002; 94.37868
102.98100; 94.41991
101.98196; 94.46069
100.98289; 94.50105
99.98381; 94.54096
98.98471; 94.58045
97.98558; 94.61950
96.98643; 94.65812
95.98727; 94.69631
94.98808; 94.73406
93.98887; 94.77139
92.98965; 94.80829
91.99040; 94.84475
90.99113; 94.88079
89.99185; 94.91641
88.99254; 94.95160
87.99322; 94.98636
86.99388; 95.02069
85.99452; 95.05460
84.99514; 95.08809
83.99574; 95.12116
82.99633; 95.15380
81.99689; 95.18602
80.99744; 95.21783
79.99798; 95.24921
78.99849; 95.28017
77.99899; 95.31071
76.99947; 95.34084
75.99994; 95.37055
75.00039; 95.39984
74.00082; 95.42872
73.00124; 95.45718
72.00164; 95.48523
71.00203; 95.51286
70.00240; 95.54008
69.00276; 95.56689
68.00310; 95.59329
67.00343; 95.61928
66.00374; 95.64486
65.00404; 95.67003
64.00432; 95.69479
63.00460; 95.71914
62.00485; 95.74309
61.00510; 95.76663
