# delta; F_drive; F_brake; gamma_y
0.10711; 126.40912; -0.00007; 53.73579
0.10328; 118.04897; -0.00007; 47.68463
0.09944; 110.02220; -0.00008; 40.72005
0.09553; 102.65069; -0.00009; 32.86478
0.09162; 96.32710; -0.00009; 24.33878
0.08771; 91.38316; -0.00010; 15.46641
0.08382; 87.99072; -0.00010; 6.65552
0.07994; 86.12318; -0.00010; -1.69533
0.07610; 85.57325; -0.00010; -9.28979
0.07229; 86.02972; -0.00010; -15.97482
0.06851; 87.16641; -0.00010; -21.72365
0.06477; 88.70201; -0.00010; -26.59111
0.06107; 90.42241; -0.00009; -30.67120
0.05739; 92.17854; -0.00009; -34.06946
0.05372; 93.87383; -0.00009; -36.88661
0.05004; 95.44833; -0.00009; -39.20746
0.04633; 96.86337; -0.00009; -41.09667
0.04258; 98.09111; -0.00008; -42.60069
0.03879; 99.10936; -0.00008; -43.75222
0.03495; 99.90106; -0.00008; -44.57557
0.03107; 100.45531; -0.00008; -45.09039
0.02717; 100.76757; -0.00008; -45.31316
0.02325; 100.83945; -0.00008; -45.25827
0.01933; 100.67865; -0.00008; -44.93908
0.01542; 100.29875; -0.00008; -44.36870
0.01153; 99.71883; -0.00009; -43.56071
0.00767; 98.96272; -0.00009; -42.52951
0.00386; 98.05792; -0.00009; -41.29031
0.00011; 97.03387; -0.00009; -39.85788
-0.00358; 95.91977; -0.00009; -38.24404
-0.00723; 94.74215; -0.00010; -36.45559
-0.01084; 93.52368; -0.00010; -34.49385
-0.01444; 92.28434; -0.00010; -32.35683
-0.01804; 91.04338; -0.00010; -30.04235
-0.02164; 89.82113; -0.00011; -27.54920
-0.02526; 88.63969; -0.00011; -24.87755
-0.02889; 87.52259; -0.00011; -22.02941
-0.03254; 86.49449; -0.00011; -19.00911
-0.03622; 85.58078; -0.00011; -15.82360
-0.03992; 84.80705; -0.00012; -12.48269
-0.04365; 84.19830; -0.00012; -8.99908
-0.04739; 83.77835; -0.00012; -5.38825
-0.05116; 83.56907; -0.00011; -1.66812
-0.05496; 83.58980; -0.00011; 2.14175
-0.05877; 83.85772; -0.00011; 6.02063
-0.06279; 0.00002; -376.35114; 11.95751
-0.06714; 0.00001; -533.65112; 17.34153
-0.07190; 0.00001; -530.34718; 21.63778
-0.07720; 0.00001; -526.84871; 25.26427
-0.08259; 0.00098; -0.00228; 23.52876
-0.08807; 0.00088; -0.00106; 25.72046
-0.09363; 0.00089; -0.00059; 28.31157
-0.09927; 0.00103; -0.00037; 30.98094
-0.10499; 0.00137; -0.00025; 33.55529
-0.11078; 0.00227; -0.00018; 35.94520
-0.11663; 0.00568; -0.00014; 38.10747
-0.12255; 0.03384; -0.00011; 40.02375
-0.12838; 98.51651; -0.00005; 40.84714
-0.13418; 72.60256; -0.00005; 42.61974
-0.13989; 105.47917; -0.00004; 44.18588
-0.14546; 142.46937; -0.00003; 45.71129
-0.15086; 151.13240; -0.00002; 47.61392
-0.15586; 349.91890; -0.00001; 48.04007
-0.16028; 611.75826; -0.00000; 48.13278
-0.16424; 603.96794; -0.00000; 50.53353
-0.16781; 592.13612; -0.00000; 53.85608
-0.17109; 577.99571; -0.00000; 57.48813
-0.16796; 557.23789; -0.00000; 62.38075
-0.16487; 535.77614; -0.00001; 66.98547
-0.16173; 513.43986; -0.00001; 71.36277
-0.15851; 490.34565; -0.00001; 75.50431
-0.15514; 255.21542; -0.00002; 80.11820
-0.15162; 173.32883; -0.00003; 84.34966
-0.14793; 147.39667; -0.00003; 87.89193
-0.14403; 0.00129; -0.00012; 91.19953
-0.13992; 0.00062; -0.00016; 93.79698
-0.13558; 0.00041; -0.00025; 95.79865
-0.13103; 0.00032; -0.00059; 97.33120
-0.12615; 0.00004; -196.40586; 101.04415
-0.12091; 0.00004; -183.98623; 101.84306
-0.11523; 0.00005; -176.20719; 102.27179
-0.10899; 0.00005; -173.41029; 102.34161
-0.10197; 0.00005; -177.68137; 101.91247
-0.09371; 0.00005; -197.10067; 100.31473
-0.08279; 0.00003; -272.94868; 92.95633
-0.07435; 593.38088; -0.00001; 54.43681
-0.06742; 624.41645; -0.00001; 45.02879
-0.06142; 627.29613; -0.00001; 44.54755
-0.05604; 623.81076; -0.00001; 46.23979
-0.05113; 618.20152; -0.00001; 48.52073
-0.04657; 611.73644; -0.00001; 50.92700
-0.04230; 604.91926; -0.00001; 53.29655
-0.03826; 597.99216; -0.00001; 55.56726
-0.03426; 148.53959; -0.00006; 59.41877
-0.03027; 119.42415; -0.00008; 61.92522
-0.02630; 122.65055; -0.00007; 63.48006
-0.02234; 124.73626; -0.00007; 64.35481
-0.01841; 125.87815; -0.00007; 64.70737
-0.01449; 126.23470; -0.00007; 64.63842
-0.01059; 125.93338; -0.00007; 64.21309
-0.00670; 125.07794; -0.00007; 63.47353
-0.00284; 123.75429; -0.00007; 62.44642
0.00102; 122.03530; -0.00007; 61.14774
0.00486; 119.98449; -0.00007; 59.58594
0.00870; 117.65906; -0.00007; 57.76431
0.01252; 115.11233; -0.00008; 55.68264
0.01634; 112.39565; -0.00008; 53.33878
0.02015; 109.55980; -0.00008; 50.72983
0.02395; 106.65591; -0.00008; 47.85325
0.02775; 103.73595; -0.00008; 44.70801
0.03154; 100.85289; -0.00009; 41.29566
0.03534; 98.06035; -0.00009; 37.62137
0.03913; 95.41201; -0.00009; 33.69486
0.04292; 92.96047; -0.00010; 29.53106
0.04670; 90.75587; -0.00010; 25.15056
0.05049; 88.84442; -0.00010; 20.57967
0.05428; 87.26680; -0.00010; 15.85060
0.05214; 85.15446; -0.00011; 9.84079
0.04835; 83.62450; -0.00011; 3.89985
0.04456; 82.84844; -0.00011; -1.40174
0.04077; 82.63340; -0.00011; -6.01610
0.03698; 82.79905; -0.00011; -9.94601
0.03320; 83.19419; -0.00011; -13.22554
0.02942; 83.70137; -0.00011; -15.90387
0.02564; 84.23440; -0.00011; -18.03460
0.02186; 84.73322; -0.00011; -19.66963
0.01808; 85.15823; -0.00011; -20.85608
0.01431; 85.48548; -0.00011; -21.63521
0.01053; 85.70277; -0.00011; -22.04238
0.00675; 85.80674; -0.00011; -22.10757
0.00297; 85.80065; -0.00011; -21.85615
-0.00081; 85.69292; -0.00011; -21.30970
-0.00459; 85.49588; -0.00011; -20.48677
-0.00836; 85.22495; -0.00011; -19.40364
-0.01214; 84.89794; -0.00011; -18.07500
-0.01592; 84.53452; -0.00011; -16.51444
-0.01970; 84.15565; -0.00011; -14.73503
-0.02347; 83.78317; -0.00011; -12.74963
-0.02725; 83.43923; -0.00011; -10.57101
-0.02412; 82.51756; -0.00011; -6.80736
-0.02035; 81.91937; -0.00011; -3.41285
-0.01658; 81.61308; -0.00011; -0.57894
-0.01281; 81.50167; -0.00011; 1.71542
-0.00904; 81.50882; -0.00011; 3.50205
-0.00528; 81.57810; -0.00011; 4.81705
-0.00151; 81.67029; -0.00011; 5.69680
0.00225; 81.76024; -0.00011; 6.17574
0.00599; 81.83377; -0.00011; 6.28469
0.00968; 81.88389; -0.00011; 6.04606
0.01071; 81.77966; -0.00011; 4.95073
0.00723; 81.53202; -0.00011; 2.90955
0.00381; 81.41571; -0.00011; 1.33881
0.00082; 81.38132; -0.00011; 0.27606
-0.00053; 81.38013; -0.00011; -0.09615
-0.00024; 81.37978; -0.00011; 0.01918
0.00006; 81.37985; -0.00011; 0.10070
0.00013; 81.37988; -0.00011; 0.10307
0.00011; 81.37982; -0.00011; 0.07845
0.00008; 81.37978; -0.00011; 0.05552
0.00005; 81.37976; -0.00011; 0.03976
0.00004; 81.37975; -0.00011; 0.02923
0.00003; 81.37975; -0.00011; 0.02180
0.00002; 81.37975; -0.00011; 0.01630
0.00002; 81.37975; -0.00011; 0.01217
0.00001; 81.37974; -0.00011; 0.00908
0.00001; 81.37974; -0.00011; 0.00677
0.00001; 81.37974; -0.00011; 0.00506
0.00000; 81.37974; -0.00011; 0.00379
0.00000; 81.37974; -0.00011; 0.00284
0.00000; 81.37974; -0.00011; 0.00214
0.00000; 81.37974; -0.00011; 0.00161
0.00000; 81.37974; -0.00011; 0.00122
0.00000; 81.37974; -0.00011; 0.00093
0.00000; 81.37974; -0.00011; 0.00071
0.00000; 81.37974; -0.00011; 0.00055
0.00000; 81.37974; -0.00011; 0.00042
0.00000; 81.37974; -0.00011; 0.00033
0.00000; 81.37974; -0.00011; 0.00026
0.00000; 81.37974; -0.00011; 0.00021
0.00000; 81.37974; -0.00011; 0.00017
0.00000; 81.37974; -0.00011; 0.00014
0.00000; 81.37974; -0.00011; 0.00011
0.00000; 81.37974; -0.00011; 0.00010
0.00000; 81.37974; -0.00011; 0.00008
0.00000; 81.37974; -0.00011; 0.00007
0.00000; 81.37974; -0.00011; 0.00006
0.00000; 81.37974; -0.00011; 0.00005
0.00000; 81.37974; -0.00011; 0.00005
0.00000; 81.37974; -0.00011; 0.00004
0.00000; 81.37974; -0.00011; 0.00003
0.00000; 81.37974; -0.00011; 0.00003
0.00000; 81.37974; -0.00011; 0.00003
0.00000; 81.37974; -0.00011; 0.00002
0.00000; 81.37974; -0.00011; 0.00002
0.00000; 81.37974; -0.00011; 0.00002
0.00000; 81.37974; -0.00011; 0.00002
0.00000; 81.37974; -0.00011; 0.00001
0.00000; 81.37974; -0.00011; 0.00001
0.00000; 81.37974; -0.00011; 0.00001
0.00000; 81.37974; -0.00011; 0.00001
0.00000; 81.37974; -0.00011; 0.00000
0.00000; 81.37974; -0.00011; 0.00000
0.00000; 81.37974; -0.00011; -0.00000
0.00000; 81.37974; -0.00011; -0.00000
0.00000; 81.37974; -0.00011; -0.00000
0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; -0.00002
0.00000; 81.37974; -0.00011; -0.00002
0.00000; 81.37974; -0.00011; -0.00002
0.00000; 81.37974; -0.00011; -0.00002
0.00000; 81.37974; -0.00011; -0.00002
0.00000; 81.37974; -0.00011; -0.00003
0.00000; 81.37974; -0.00011; -0.00003
0.00000; 81.37974; -0.00011; -0.00003
0.00000; 81.37974; -0.00011; -0.00003
0.00000; 81.37974; -0.00011; -0.00004
0.00000; 81.37974; -0.00011; -0.00004
0.00000; 81.37974; -0.00011; -0.00004
0.00000; 81.37974; -0.00011; -0.00005
0.00000; 81.37974; -0.00011; -0.00005
0.00000; 81.37974; -0.00011; -0.00005
0.00000; 81.37974; -0.00011; -0.00006
0.00000; 81.37974; -0.00011; -0.00006
0.00000; 81.37974; -0.00011; -0.00007
0.00000; 81.37974; -0.00011; -0.00008
0.00000; 81.37974; -0.00011; -0.00008
-0.00000; 81.37974; -0.00011; -0.00009
-0.00000; 81.37974; -0.00011; -0.00010
-0.00000; 81.37974; -0.00011; -0.00009
-0.00000; 81.37974; -0.00011; -0.00010
-0.00000; 81.37974; -0.00011; -0.00012
-0.00000; 81.37974; -0.00011; -0.00013
-0.00000; 81.37974; -0.00011; -0.00001
0.00000; 81.37974; -0.00011; 0.00034
0.00000; 81.37974; -0.00011; 0.00070
-0.00000; 81.37974; -0.00011; -0.00098
-0.00005; 81.37975; -0.00011; -0.00947
-0.00015; 81.37977; -0.00011; -0.02600
-0.00019; 81.37978; -0.00011; -0.01994
0.00042; 81.38011; -0.00011; 0.12533
0.00232; 81.38776; -0.00011; 0.47521
0.00481; 81.40875; -0.00011; 0.75323
0.00348; 81.38918; -0.00011; -0.00666
0.00066; 81.38671; -0.00011; -0.90067
-0.00124; 81.39877; -0.00011; -1.28504
-0.00148; 81.39583; -0.00011; -1.12644
-0.00113; 81.38873; -0.00011; -0.83756
-0.00079; 81.38435; -0.00011; -0.60289
-0.00055; 81.38214; -0.00011; -0.43801
