# traj_x; traj_y
-0.05869; 0.32277
0.98886; 0.02413
2.00849; -0.23638
3.02300; -0.46839
4.04109; -0.68951
5.05575; -0.89902
6.06900; -1.09270
7.07853; -1.26693
8.08336; -1.41889
9.08215; -1.54658
10.07406; -1.64875
11.05873; -1.72478
12.03642; -1.77454
13.00811; -1.79829
13.97557; -1.79673
14.94151; -1.77131
15.91574; -1.72343
16.90556; -1.65144
17.90973; -1.55376
18.92624; -1.42964
19.95234; -1.27885
20.98462; -1.10151
22.01920; -0.89815
23.05181; -0.66984
24.07798; -0.41818
25.09328; -0.14538
26.09347; 0.14587
27.07484; 0.45242
28.03446; 0.77093
28.97041; 1.09841
29.88195; 1.43321
30.77393; 1.77538
31.65491; 2.12360
32.52991; 2.47683
33.40309; 2.83475
34.27776; 3.19705
35.15658; 3.56319
36.04160; 3.93235
36.93443; 4.30339
37.83624; 4.67482
38.74791; 5.04489
39.67002; 5.41149
40.60294; 5.77230
41.54680; 6.12472
42.50153; 6.46603
43.46681; 6.79347
44.44286; 7.10398
45.42922; 7.39317
46.42409; 7.65665
47.42535; 7.89022
48.43022; 8.09108
49.43643; 8.25501
50.44196; 8.37655
51.44430; 8.45131
52.44078; 8.47577
53.42879; 8.44701
54.40610; 8.36252
55.37102; 8.21986
56.32257; 8.01760
57.26073; 7.75287
58.18275; 7.42337
59.07432; 7.03159
59.91770; 6.58354
60.69780; 6.09165
61.40428; 5.57321
62.03148; 5.04340
62.57941; 4.51382
63.05640; 3.98778
63.49166; 3.43934
63.91052; 2.83992
64.31451; 2.18075
64.69784; 1.45681
65.04866; 0.66806
65.35326; -0.18080
65.59996; -1.08191
65.77558; -2.02983
65.86730; -3.02155
65.86440; -4.04872
65.75739; -5.09804
65.53592; -6.15085
65.19441; -7.18642
64.73605; -8.18694
64.16786; -9.13724
63.50040; -10.02599
62.74836; -10.84783
61.93344; -11.60864
61.11957; -12.37438
60.27522; -13.10550
59.38460; -13.76945
58.45796; -14.36548
57.50597; -14.89632
56.53534; -15.36653
55.55077; -15.78062
54.55585; -16.14259
53.55249; -16.45357
52.54258; -16.71502
51.52851; -16.93078
50.51212; -17.10442
49.49475; -17.23908
48.47746; -17.33763
47.46102; -17.40269
46.44603; -17.43673
45.43294; -17.44208
44.42211; -17.42101
43.41380; -17.37579
42.40802; -17.30868
41.40459; -17.22178
40.40331; -17.11725
39.40392; -16.99732
38.40610; -16.86428
37.40949; -16.72046
36.41369; -16.56825
35.41826; -16.41010
34.42275; -16.24853
33.42671; -16.08611
32.42969; -15.92550
31.43128; -15.76939
30.43107; -15.62063
29.42883; -15.48178
28.42546; -15.35461
27.42183; -15.23980
26.41791; -15.13785
25.41376; -15.04910
24.40944; -14.97368
23.40499; -14.91153
22.40046; -14.86242
21.39590; -14.82595
20.39136; -14.80158
19.38687; -14.78866
18.38248; -14.78638
17.37823; -14.79385
16.37413; -14.81005
15.37023; -14.83385
14.36653; -14.86404
13.36306; -14.89930
12.35982; -14.93821
11.35683; -14.97929
