# delta; F_drive; F_brake; gamma_y
-0.00036; 101.85808; -0.00005; -0.52077
0.00145; 101.85241; -0.00005; 0.00580
0.00050; 101.85168; -0.00005; -0.35779
0.00078; 101.85173; -0.00005; -0.32350
0.00095; 101.85196; -0.00005; -0.32820
0.00065; 101.85253; -0.00005; -0.47904
0.00085; 101.85268; -0.00005; -0.47149
0.00070; 101.85334; -0.00005; -0.57276
0.00035; 101.85480; -0.00005; -0.73177
0.00039; 101.85511; -0.00005; -0.75582
-0.00073; 101.86182; -0.00005; -1.12490
-0.00141; 101.86770; -0.00005; -1.31932
-0.00417; 101.90736; -0.00005; -2.09773
-0.01034; 102.08517; -0.00005; -3.76886
-0.02431; 102.93599; -0.00005; -7.44929
0.01174; 102.14714; -0.00005; 4.23885
0.10087; 117.88060; -0.00004; 26.61909
0.19261; 145.18315; -0.00003; 36.77327
0.26006; 165.15367; -0.00003; 37.72314
0.26122; 162.80690; -0.00003; 33.96886
0.26150; 160.11872; -0.00003; 29.57756
0.26161; 157.45806; -0.00003; 24.58762
0.23158; 144.86695; -0.00003; 16.09817
0.13676; 116.51486; -0.00004; -9.97565
0.04231; 118.57980; -0.00004; -44.71261
-0.05143; 147.73578; -0.00003; -65.44096
-0.14414; 181.00516; -0.00003; -73.63725
-0.21367; 204.95561; -0.00002; -76.06230
-0.21650; 207.05351; -0.00002; -76.58609
-0.21852; 208.41669; -0.00002; -76.90088
-0.22044; 209.30254; -0.00002; -77.03688
-0.22249; 209.81263; -0.00002; -77.00996
-0.22479; 210.00533; -0.00002; -76.82744
-0.22743; 209.91652; -0.00002; -76.49047
-0.23046; 209.57038; -0.00002; -75.99577
-0.23412; 134.24502; -0.00004; -75.52474
-0.26166; 0.00469; -0.05129; -75.16293
-0.17565; 0.00001; -358.94738; -68.28942
-0.17834; 0.00001; -362.94644; -67.27441
-0.18161; 0.00001; -367.85698; -65.99439
-0.18556; 0.00001; -373.68021; -64.42082
-0.19029; 0.00001; -380.40261; -62.51945
-0.19592; 0.00001; -387.99279; -60.24988
-0.20257; 0.00001; -396.38904; -57.56555
-0.21040; 0.00001; -405.48324; -54.41452
-0.21960; 0.00001; -415.09965; -50.74205
-0.23039; 0.00001; -424.97106; -46.49549
-0.24303; 0.00001; -434.71712; -41.63216
-0.25784; 0.00001; -443.83582; -36.13040
-0.26180; 0.00001; -455.95358; -29.84161
-0.26180; 0.00001; -468.60341; -22.71201
-0.26180; 0.00001; -480.04967; -14.73484
-0.26180; 0.00001; -489.79333; -5.83662
-0.26180; 0.00001; -497.24359; 4.14315
-0.26180; 0.00001; -501.30543; 15.45916
-0.26180; 0.00001; -499.71025; 28.27625
-0.26180; 0.00001; -489.05751; 42.19580
-0.26180; 0.00029; -0.04714; 46.02335
-0.26180; 0.00030; -0.00150; 57.64330
-0.26180; 0.00028; -0.00094; 67.47475
-0.26180; 0.00025; -0.00087; 75.36262
-0.26180; 0.00022; -0.00104; 81.50582
-0.26180; 0.00020; -0.00181; 86.22239
-0.26180; 0.00005; -76.69800; 91.62577
-0.26180; 0.00001; -258.66716; 98.72489
-0.12894; 0.00002; -167.77479; 103.07504
0.00263; 0.00004; -131.09125; 102.93802
0.13655; 0.00004; -123.17963; 100.78180
0.26180; 0.00004; -131.32980; 97.27650
0.26180; 0.00004; -130.03306; 97.40312
0.26180; 0.00004; -129.39665; 97.47139
0.26180; 0.00004; -129.43531; 97.48064
0.26180; 0.00004; -130.15314; 97.43064
0.26180; 0.00004; -131.54922; 97.32111
0.26180; 0.00004; -133.63593; 97.15019
0.26180; 0.00004; -136.47512; 96.91112
0.26180; 0.00003; -140.28012; 96.58293
-0.01492; 261.88197; -0.00002; 103.83909
-0.08400; 237.56906; -0.00002; 104.08893
-0.26180; 247.74147; -0.00002; 100.13044
-0.22953; 431.92007; -0.00001; 81.22608
0.01245; 539.25125; -0.00001; 72.25510
0.09645; 583.18030; -0.00000; 67.57547
0.13737; 599.49507; -0.00000; 66.25664
0.16094; 607.69875; -0.00000; 65.73135
0.17480; 613.12143; -0.00000; 65.24655
0.17980; 616.97678; -0.00000; 64.55255
0.16933; 618.21039; -0.00000; 63.43189
0.13115; 615.83729; -0.00000; 61.20894
0.09221; 617.02996; -0.00000; 57.87018
0.06761; 621.59442; -0.00000; 54.53531
0.05148; 626.79058; -0.00000; 51.54594
0.04005; 631.64533; -0.00000; 48.93984
0.03144; 635.88996; -0.00000; 46.69407
0.02467; 639.49398; -0.00000; 44.77154
0.01911; 642.50647; -0.00000; 43.13328
0.01439; 644.99790; -0.00000; 41.74280
0.01024; 647.03803; -0.00000; 40.56787
0.00645; 648.68808; -0.00000; 39.58109
