# delta; F_drive; F_brake; gamma_y
-0.00000; 81.38032; -0.00006; 0.00000
-0.00000; 81.37969; -0.00006; -0.00002
-0.00000; 81.37968; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; 0.00000
-0.00000; 81.37970; -0.00006; 0.00003
-0.00000; 81.37970; -0.00006; 0.00005
-0.00000; 81.37970; -0.00006; 0.00009
-0.00000; 81.37970; -0.00006; 0.00014
-0.00001; 81.37970; -0.00006; 0.00021
-0.00001; 81.37970; -0.00006; 0.00030
-0.00001; 81.37970; -0.00006; 0.00043
-0.00002; 81.37970; -0.00006; 0.00061
-0.00002; 81.37970; -0.00006; 0.00085
-0.00003; 81.37970; -0.00006; 0.00117
-0.00004; 81.37970; -0.00006; 0.00163
-0.00005; 81.37970; -0.00006; 0.00224
-0.00007; 81.37970; -0.00006; 0.00305
-0.00010; 81.37970; -0.00006; 0.00414
-0.00013; 81.37970; -0.00006; 0.00560
-0.00018; 81.37971; -0.00006; 0.00754
-0.00024; 81.37973; -0.00006; 0.01012
-0.00031; 81.37976; -0.00006; 0.01356
-0.00042; 81.37982; -0.00006; 0.01810
-0.00055; 81.37991; -0.00006; 0.02394
-0.00095; 81.38042; -0.00006; -0.01460
-0.00485; 81.40903; -0.00006; -0.76470
0.07079; 88.86906; -0.00006; 15.29903
0.24769; 136.80623; -0.00003; 31.29480
0.17273; 106.94077; -0.00005; 13.83469
-0.00144; 91.87361; -0.00005; -33.01558
0.03265; 86.58716; -0.00006; -24.26382
0.14941; 97.59401; -0.00005; -0.33183
0.05716; 90.39335; -0.00006; -30.92189
-0.00969; 102.62046; -0.00005; -45.47265
0.11076; 90.97363; -0.00005; -18.88870
0.23523; 118.37787; -0.00004; -1.19476
0.05361; 107.93752; -0.00005; -52.73986
-0.12913; 160.31817; -0.00003; -70.38443
-0.21567; 180.36486; -0.00003; -69.41719
-0.22846; 176.87549; -0.00003; -66.13759
-0.23931; 172.14153; -0.00003; -62.09244
-0.24775; 166.22289; -0.00003; -57.17186
-0.25117; 158.56125; -0.00003; -51.21256
-0.24249; 147.22510; -0.00003; -43.82438
-0.19932; 125.27333; -0.00004; -32.82623
-0.11334; 93.67411; -0.00005; -10.59323
-0.08511; 86.54497; -0.00006; 4.64912
-0.07874; 86.16806; -0.00006; 13.07119
-0.09782; 88.56360; -0.00006; 14.98073
-0.11740; 91.68667; -0.00005; 18.12165
0.07608; 126.00520; -0.00004; 57.53645
-0.11717; 92.17034; -0.00005; 20.61995
-0.11202; 94.29859; -0.00005; 29.78875
0.07964; 137.07072; -0.00003; 63.91384
-0.11133; 94.98903; -0.00005; 31.34859
-0.26180; 125.12951; -0.00004; 6.93084
-0.26180; 124.62240; -0.00004; 21.87774
-0.26180; 127.69666; -0.00004; 37.26676
-0.26180; 135.08437; -0.00003; 51.26772
-0.26180; 146.30750; -0.00003; 62.73354
-0.26180; 160.06111; -0.00003; 71.58635
-0.26180; 175.08946; -0.00003; 78.27478
-0.26180; 190.52269; -0.00002; 83.31535
-0.26180; 205.80988; -0.00002; 87.13276
-0.26180; 14.04226; -0.00026; 90.65357
-0.26180; 0.00193; -0.00091; 93.44265
-0.26180; 0.00098; -0.00231; 95.53293
-0.26180; 0.00002; -216.31184; 102.31555
-0.26180; 0.00002; -200.60457; 103.40420
-0.26180; 0.00002; -188.02254; 104.19894
-0.26180; 0.00002; -178.06873; 104.78129
-0.26178; 0.00003; -170.44588; 105.20058
-0.26179; 0.00003; -164.98796; 105.48771
-0.26180; 0.00003; -161.68526; 105.65744
-0.12311; 240.01664; -0.00002; 103.29087
-0.11469; 252.75200; -0.00002; 102.65078
-0.09924; 272.61092; -0.00002; 101.62134
-0.07583; 301.47066; -0.00001; 99.98570
-0.04460; 339.39094; -0.00001; 97.54930
-0.00856; 382.49196; -0.00001; 94.35296
0.02691; 423.60196; -0.00001; 90.85913
0.05736; 456.73529; -0.00001; 87.73330
0.08119; 480.25450; -0.00001; 85.38005
0.09906; 495.70015; -0.00001; 83.81988
0.11239; 505.44642; -0.00001; 82.87830
0.12266; 511.51491; -0.00001; 82.35804
