# traj_x; traj_y
-0.08856; 0.88872
1.06718; 0.87115
2.03613; 0.89895
3.04587; 0.94857
4.03323; 1.00269
5.01955; 1.05711
6.00174; 1.11161
6.98315; 1.16612
7.96492; 1.22062
8.94843; 1.27518
9.93482; 1.32989
10.92518; 1.38485
11.92066; 1.44019
12.92253; 1.49592
13.93235; 1.55175
14.95188; 1.60632
15.97811; 1.65788
17.00592; 1.70776
18.03385; 1.75689
19.06000; 1.80551
20.08226; 1.85369
21.09843; 1.90154
22.10632; 1.94915
23.10391; 1.99658
24.08949; 2.04383
25.06177; 2.09076
26.02009; 2.13683
26.96421; 2.18738
27.89338; 2.25623
28.80636; 2.35337
29.70442; 2.47040
30.59844; 2.60060
31.49603; 2.75538
32.39711; 2.93878
33.30474; 3.14161
34.21769; 3.36848
35.12824; 3.63836
36.03367; 3.95217
36.93861; 4.29342
37.84552; 4.65353
38.75567; 5.02756
39.67054; 5.41037
40.59195; 5.79614
41.52207; 6.17825
42.46334; 6.54923
43.41800; 6.90139
44.38689; 7.23093
45.36803; 7.53739
46.35868; 7.81911
47.35717; 8.07162
48.36243; 8.28801
49.36822; 8.47653
50.37200; 8.63852
51.37586; 8.75995
52.37610; 8.85125
53.37326; 8.91466
54.37149; 8.92562
55.37064; 8.86417
56.36741; 8.72165
57.35757; 8.49207
58.33364; 8.17293
59.27764; 7.76708
60.16933; 7.28203
60.99001; 6.73037
61.72446; 6.12986
62.36158; 5.49912
62.89623; 4.85658
63.33199; 4.21550
63.68899; 3.56153
63.98724; 2.87495
64.22789; 2.15289
64.40597; 1.39699
64.51455; 0.61490
64.54782; -0.18097
64.50246; -0.97506
64.39363; -1.76159
64.23800; -2.55032
64.03495; -3.34781
63.78215; -4.15727
63.47566; -4.97818
63.11006; -5.80576
62.67958; -6.63114
62.18022; -7.44310
61.61158; -8.23037
60.97698; -8.98337
60.28254; -9.69478
59.53609; -10.35932
58.74630; -10.97349
57.92221; -11.53510
57.07290; -12.04298
56.20578; -12.49757
55.32446; -12.90195
54.43134; -13.25936
53.52764; -13.57114
52.61469; -13.83918
51.69427; -14.06718
50.76771; -14.25859
49.83597; -14.41672
48.89976; -14.54477
47.95961; -14.64591
47.01589; -14.72332
46.06887; -14.78035
45.11872; -14.82052
44.16555; -14.84766
43.20944; -14.86608
42.25074; -14.88054
41.28936; -14.89628
40.32474; -14.91937
39.35621; -14.95273
38.38294; -14.98236
37.40493; -14.99786
36.42251; -15.00773
35.43582; -15.01692
34.44503; -15.02605
33.45037; -15.03515
32.45215; -15.04420
31.45071; -15.05324
30.44639; -15.06237
29.43970; -15.07183
28.43229; -15.08189
27.42532; -15.09223
26.41869; -15.10263
25.41242; -15.11305
24.40649; -15.12349
23.40087; -15.13395
22.39557; -15.14442
21.39057; -15.15490
20.38586; -15.16540
19.38142; -15.17590
18.37725; -15.18641
17.37334; -15.19692
16.36968; -15.20744
15.36625; -15.21797
14.36305; -15.22850
13.36008; -15.23903
12.35732; -15.24956
11.35476; -15.26010
