# delta; F_drive; F_brake; gamma_y
-0.00000; 81.38032; -0.00006; -0.00010
-0.00000; 81.37969; -0.00006; -0.00011
-0.00000; 81.37968; -0.00006; -0.00007
-0.00000; 81.37969; -0.00006; 0.00002
-0.00000; 81.37970; -0.00006; 0.00019
-0.00000; 81.37970; -0.00006; 0.00042
-0.00000; 81.37970; -0.00006; 0.00069
0.00000; 81.37970; -0.00006; 0.00094
0.00000; 81.37970; -0.00006; 0.00103
0.00001; 81.37970; -0.00006; 0.00073
0.00001; 81.37970; -0.00006; -0.00026
0.00002; 81.37970; -0.00006; -0.00231
0.00002; 81.37970; -0.00006; -0.00570
0.00002; 81.37970; -0.00006; -0.01047
0.00002; 81.37970; -0.00006; -0.01605
-0.00001; 81.37970; -0.00006; -0.02086
-0.00005; 81.37971; -0.00006; -0.02192
-0.00013; 81.37974; -0.00006; -0.01455
-0.00023; 81.37982; -0.00006; 0.00757
-0.00035; 81.37994; -0.00006; 0.05142
-0.00045; 81.38006; -0.00006; 0.12237
-0.00046; 81.38007; -0.00006; 0.22027
-0.00029; 81.38007; -0.00006; 0.33382
0.00019; 81.38095; -0.00006; 0.43595
0.00118; 81.38611; -0.00006; 0.48898
0.00336; 81.41399; -0.00006; 0.53403
0.01143; 81.75375; -0.00006; 1.42608
0.08396; 103.11222; -0.00005; 17.43873
0.09406; 99.29709; -0.00005; -9.43929
0.02808; 91.71036; -0.00005; -51.14022
0.03981; 86.59113; -0.00006; -39.17343
0.03849; 86.49725; -0.00006; -40.21025
-0.00803; 95.37363; -0.00005; -53.15749
-0.01970; 91.19564; -0.00005; -39.35004
-0.02029; 86.20486; -0.00006; -24.11786
-0.01692; 83.29699; -0.00006; -12.30066
-0.01236; 82.00316; -0.00006; -4.40491
-0.00772; 81.54292; -0.00006; 0.23824
-0.00403; 81.43432; -0.00006; 2.34237
-0.00161; 81.41724; -0.00006; 2.81558
-0.00031; 81.40779; -0.00006; 2.46755
0.00010; 81.39525; -0.00006; 1.83254
-0.00010; 81.38534; -0.00006; 1.24353
-0.00061; 81.38131; -0.00006; 0.86865
-0.00112; 81.38173; -0.00006; 0.77248
-0.00123; 81.38276; -0.00006; 0.93058
-0.00050; 81.38489; -0.00006; 1.23222
0.00156; 81.40436; -0.00006; 1.49684
0.00522; 81.48140; -0.00006; 1.43240
0.00824; 81.54787; -0.00006; 0.16958
-0.00840; 81.95220; -0.00006; -6.46563
-0.01560; 82.19924; -0.00006; -3.56642
-0.07627; 99.06481; -0.00005; -15.07714
-0.08598; 96.40844; -0.00005; 8.32697
-0.03224; 89.23472; -0.00006; 44.99729
-0.03413; 86.44953; -0.00006; 38.86575
-0.02708; 86.26913; -0.00006; 39.71173
-0.08849; 94.51484; -0.00005; 18.53435
-0.18390; 145.94618; -0.00003; 8.38832
-0.26178; 198.47973; -0.00002; 26.43553
-0.26180; 190.11772; -0.00002; 82.88922
-0.26180; 196.36103; -0.00002; 123.99458
-0.26180; 209.77787; -0.00002; 151.95224
-0.26180; 225.06700; -0.00002; 171.43363
-0.26180; 240.17761; -0.00002; 185.66550
-0.26180; 254.52336; -0.00002; 196.55975
-0.26180; 268.06284; -0.00002; 205.29093
-0.26180; 280.98748; -0.00001; 212.60467
-0.26180; 293.55855; -0.00001; 218.96496
-0.26180; 305.98556; -0.00001; 224.63380
-0.26180; 318.35584; -0.00001; 229.73923
-0.26180; 330.64902; -0.00001; 234.35045
-0.12019; 449.37642; -0.00001; 265.25763
-0.02029; 513.92070; -0.00001; 269.11470
0.00576; 507.59410; -0.00001; 265.47551
0.02422; 494.58947; -0.00001; 261.01957
0.04090; 479.65302; -0.00001; 255.91909
0.05754; 463.73665; -0.00001; 250.05572
0.07500; 447.08548; -0.00001; 243.22715
0.09388; 429.82728; -0.00001; 235.17722
0.11469; 412.16248; -0.00001; 225.60287
0.13791; 394.46905; -0.00001; 214.15965
0.16406; 377.39249; -0.00001; 200.47328
0.19371; 361.93850; -0.00001; 184.16182
0.22749; 349.56636; -0.00001; 164.87078
0.26168; 338.43168; -0.00001; 142.23691
0.21398; 256.70489; -0.00002; 111.14954
0.04214; 92.57585; -0.00005; 31.35661
-0.13013; 131.77060; -0.00004; -30.41353
-0.13228; 112.75508; -0.00004; 20.44551
-0.08786; 100.51988; -0.00005; 66.66811
0.01637; 133.01310; -0.00004; 101.70209
0.03582; 117.17215; -0.00004; 77.42908
0.02850; 96.54264; -0.00005; 48.40828
0.00937; 84.50627; -0.00006; 25.60800
-0.09453; 103.98953; -0.00005; -8.28731
-0.26176; 222.07546; -0.00002; -26.16845
-0.16289; 128.83074; -0.00004; 73.31391
-0.23650; 170.56570; -0.00003; 72.54396
-0.14982; 161.29604; -0.00003; 142.73421
0.03141; 259.65935; -0.00002; 185.51031
0.21256; 355.34864; -0.00001; 172.22888
0.26156; 341.63777; -0.00001; 143.14376
0.23930; 275.90032; -0.00001; 109.13356
0.05771; 95.89272; -0.00005; 25.13309
0.03742; 85.67957; -0.00006; 4.26536
0.02112; 82.61913; -0.00006; -6.84489
0.00377; 82.22110; -0.00006; -12.13841
-0.00674; 82.30546; -0.00006; -10.40230
-0.01445; 82.40175; -0.00006; -6.46295
-0.01642; 82.07146; -0.00006; -0.59961
-0.00500; 81.59369; -0.00006; 6.89913
-0.00044; 81.60029; -0.00006; 6.82504
0.00150; 81.53143; -0.00006; 5.17946
0.00209; 81.46162; -0.00006; 3.39933
0.00206; 81.41791; -0.00006; 1.94699
0.00170; 81.39443; -0.00006; 0.87248
0.00116; 81.38387; -0.00006; 0.15449
0.00065; 81.38082; -0.00006; -0.22361
0.00028; 81.38033; -0.00006; -0.34833
0.00005; 81.38023; -0.00006; -0.33608
-0.00007; 81.38008; -0.00006; -0.26208
-0.00011; 81.37991; -0.00006; -0.17347
-0.00011; 81.37979; -0.00006; -0.09610
-0.00008; 81.37973; -0.00006; -0.03999
-0.00006; 81.37970; -0.00006; -0.00542
