# traj_x; traj_y
-0.08856; 0.88880
1.06719; 0.87124
2.03613; 0.89906
3.04587; 0.94869
4.03323; 1.00283
5.01955; 1.05727
6.00173; 1.11179
6.98315; 1.16631
7.96491; 1.22083
8.94842; 1.27541
9.93481; 1.33014
10.92517; 1.38514
11.92065; 1.44051
12.92252; 1.49630
13.93234; 1.55220
14.95188; 1.60687
15.97812; 1.65854
17.00595; 1.70853
18.03388; 1.75776
19.06004; 1.80644
20.08230; 1.85459
21.09846; 1.90229
22.10633; 1.94964
23.10391; 1.99674
24.08949; 2.04375
25.06177; 2.09087
26.02003; 2.13858
26.96412; 2.18865
27.89338; 2.25623
28.80627; 2.35403
29.70448; 2.47004
30.59844; 2.60060
31.49711; 2.75107
32.40448; 2.91314
33.32491; 3.07866
34.26028; 3.24693
35.21130; 3.41803
36.17780; 3.59196
37.15886; 3.76867
38.15291; 3.94802
39.15787; 4.12972
40.17129; 4.31329
41.19047; 4.49813
42.21260; 4.68348
43.23475; 4.86857
44.25396; 5.05281
45.26660; 5.23556
46.26830; 5.41558
47.25510; 5.59247
48.22349; 5.76674
49.17099; 5.93932
50.09778; 6.10730
51.00518; 6.26734
51.89729; 6.40846
52.77745; 6.52122
53.64622; 6.61612
54.50827; 6.70000
55.37186; 6.77128
56.24616; 6.81775
57.13752; 6.81234
58.04274; 6.72781
58.94184; 6.55236
59.81162; 6.28907
60.63097; 5.94556
61.38161; 5.53381
62.05030; 5.06938
62.63010; 4.56866
63.12184; 4.04185
63.54534; 3.47258
63.91634; 2.84258
64.22789; 2.15289
64.46769; 1.40964
64.62269; 0.62567
64.68989; -0.18094
64.67321; -0.99169
64.57308; -1.79642
64.38991; -2.59426
64.12436; -3.38206
63.77763; -4.15512
63.35221; -4.90792
62.85247; -5.63513
62.28471; -6.33241
61.65702; -6.99716
60.97909; -7.62908
60.26187; -8.23068
59.51728; -8.80761
58.75787; -9.36901
57.99599; -9.92721
57.23311; -10.48222
56.45278; -11.00315
55.64916; -11.47065
54.83062; -11.89680
54.00732; -12.30434
53.18309; -12.70947
52.35471; -13.11440
51.51819; -13.51756
50.66524; -13.89870
49.78653; -14.22023
48.88354; -14.47131
47.95961; -14.64590
47.01908; -14.74250
46.07047; -14.79162
45.11817; -14.81597
44.16371; -14.82920
43.20802; -14.84854
42.25042; -14.87560
41.28962; -14.90157
40.32504; -14.92764
39.35621; -14.95274
38.38285; -14.97516
37.40492; -14.99345
36.42252; -15.00653
35.43583; -15.01662
34.44503; -15.02608
33.45037; -15.03528
32.45214; -15.04432
31.45071; -15.05330
30.44639; -15.06237
29.43970; -15.07181
28.43229; -15.08188
27.42532; -15.09224
26.41869; -15.10268
25.41242; -15.11314
24.40648; -15.12361
23.40087; -15.13409
22.39557; -15.14458
21.39057; -15.15507
20.38586; -15.16557
19.38142; -15.17607
18.37725; -15.18658
17.37334; -15.19710
16.36968; -15.20762
15.36625; -15.21814
14.36305; -15.22867
13.36008; -15.23920
12.35732; -15.24973
11.35476; -15.26026
10.35240; -15.27080
9.35024; -15.28134
8.34825; -15.29188
7.34645; -15.30242
6.34482; -15.31296
5.34335; -15.32350
4.34204; -15.33404
3.34089; -15.34458
2.33989; -15.35512
1.33902; -15.36566
0.33830; -15.37620
-0.66229; -15.38674
-1.66276; -15.39728
-2.66310; -15.40782
-3.66332; -15.41836
-4.66343; -15.42890
-5.66344; -15.43944
-6.66334; -15.44997
-7.66315; -15.46051
-8.66287; -15.47105
-9.66249; -15.48159
-10.66204; -15.49212
-11.66151; -15.50266
-12.66092; -15.51319
-13.66026; -15.52373
-14.65954; -15.53427
-15.65877; -15.54480
-16.65795; -15.55534
-17.65710; -15.56587
-18.65621; -15.57641
-19.65531; -15.58695
-20.65438; -15.59749
-21.65345; -15.60802
-22.65251; -15.61856
-23.65159; -15.62910
-24.65068; -15.63964
-25.64980; -15.65018
-26.64896; -15.66072
-27.64817; -15.67126
-28.64743; -15.68179
-29.64677; -15.69231
-30.64622; -15.70278
-31.64581; -15.71325
-32.64553; -15.72371
-33.64539; -15.73418
-34.64538; -15.74464
-35.64550; -15.75510
-36.64575; -15.76557
-37.64612; -15.77603
-38.64662; -15.78649
-39.64722; -15.79695
-40.64794; -15.80741
-41.64877; -15.81787
-42.64970; -15.82833
-43.65072; -15.83879
-44.65184; -15.84924
-45.65305; -15.85970
-46.65433; -15.87016
-47.65569; -15.88061
-48.65711; -15.89106
-49.65860; -15.90151
-50.66014; -15.91197
-51.66172; -15.92242
-52.66335; -15.93286
-53.66501; -15.94331
-54.66670; -15.95376
-55.66840; -15.96421
-56.67012; -15.97465
-57.67184; -15.98510
-58.67356; -15.99554
-59.67527; -16.00599
-60.67696; -16.01643
-61.67863; -16.02688
-62.68026; -16.03732
-63.68185; -16.04776
-64.68340; -16.05821
-65.68489; -16.06865
-66.68632; -16.07909
-67.68769; -16.08953
-68.68897; -16.09998
