# traj_x; traj_y
493.31303; -0.02871
493.23307; 0.61707
493.11092; 1.68580
492.98159; 2.62718
492.80517; 3.57993
492.58654; 4.50660
492.32628; 5.41645
492.02735; 6.30719
491.69162; 7.17962
491.32106; 8.03384
490.91743; 8.87023
490.48237; 9.68916
490.01747; 10.49107
489.52425; 11.27648
489.00420; 12.04593
488.45884; 12.80009
487.88970; 13.53972
487.29839; 14.26570
486.68659; 14.97910
486.05607; 15.68119
485.40876; 16.37348
484.74620; 17.05731
484.06445; 17.72839
483.36219; 18.38445
482.64588; 19.03143
481.91961; 19.67344
481.18342; 20.31027
480.43158; 20.93441
479.66457; 21.54518
478.89025; 22.15142
478.10728; 22.75072
477.31183; 23.33679
476.50961; 23.91621
475.70115; 24.48864
474.88228; 25.04590
474.05647; 25.59141
473.22688; 26.12981
472.39554; 26.66438
471.56221; 27.19497
470.72370; 27.71667
469.88022; 28.22976
469.03420; 28.73824
468.18429; 29.23996
467.32820; 29.73091
466.46868; 30.21577
465.60810; 30.69887
464.74282; 31.17373
463.86960; 31.63410
462.99197; 32.08631
462.11376; 32.53768
461.23526; 32.98902
460.35594; 33.43951
459.47234; 33.88224
458.58160; 34.31115
457.68685; 34.73237
456.79139; 35.15275
455.89558; 35.57325
454.99936; 35.99386
454.10240; 36.41395
453.20244; 36.82851
452.29745; 37.23278
451.38799; 37.62777
450.47495; 38.01523
449.55979; 38.39845
448.64359; 38.77987
447.72619; 39.15910
446.80797; 39.53665
445.88916; 39.91270
444.96933; 40.28622
444.04848; 40.65720
443.12717; 41.02711
442.20574; 41.39684
441.28400; 41.76598
440.36032; 42.13036
439.43327; 42.48616
438.50384; 42.83580
437.57214; 43.17949
436.63764; 43.51570
435.70171; 43.84807
434.76560; 44.17996
433.82945; 44.51182
432.89324; 44.84368
431.95686; 45.17528
431.01975; 45.50512
430.08093; 45.83031
429.14025; 46.15041
428.19872; 46.46828
427.25700; 46.78588
426.31517; 47.10350
425.37322; 47.42118
424.43112; 47.73882
423.48863; 48.05583
422.54415; 48.36718
421.59626; 48.66839
420.64642; 48.96380
419.69601; 49.25772
418.74507; 49.55028
417.79377; 49.84205
416.84231; 50.13368
415.89067; 50.42518
414.93865; 50.71587
413.98549; 51.00325
413.03079; 51.28590
412.07519; 51.56595
411.11926; 51.84526
410.16297; 52.12380
409.20600; 52.40042
408.24814; 52.67439
407.28975; 52.94692
406.33118; 53.21927
405.37248; 53.49162
404.41363; 53.76394
403.45451; 54.03576
402.49413; 54.30345
401.53163; 54.56379
400.56791; 54.81996
399.60396; 55.07557
398.63990; 55.33110
397.67567; 55.58636
396.71076; 55.83937
395.74473; 56.08835
394.77794; 56.33468
393.81083; 56.57999
392.84351; 56.82471
391.87597; 57.06881
390.90801; 57.31147
389.93950; 57.55211
388.97065; 57.79157
388.00171; 58.03078
387.03272; 58.26997
386.06368; 58.50913
385.09459; 58.74807
384.12503; 58.98501
383.15465; 59.21843
382.18381; 59.44985
381.21292; 59.68096
380.24204; 59.91203
379.27116; 60.14305
378.30021; 60.37372
377.32862; 60.60163
376.35592; 60.82462
375.38256; 61.04472
374.40904; 61.26397
373.43531; 61.48224
372.46134; 61.69933
371.48714; 61.91534
370.51263; 62.12990
369.53773; 62.34265
368.56261; 62.55434
367.58746; 62.76582
366.61231; 62.97725
365.63715; 63.18864
364.66195; 63.39983
363.68641; 63.60941
362.71026; 63.81613
361.73371; 64.02100
360.75684; 64.22424
359.77935; 64.42455
358.80132; 64.62222
357.82309; 64.81888
356.84484; 65.01539
355.86659; 65.21189
354.88834; 65.40837
353.91005; 65.60470
352.93147; 65.79956
351.95236; 65.99181
350.97296; 66.18263
349.99352; 66.37322
349.01407; 66.56378
348.03461; 66.75434
347.05514; 66.94490
346.07565; 67.13545
345.09613; 67.32591
344.11652; 67.51598
343.13675; 67.70535
342.15670; 67.89334
341.17624; 68.07923
340.19549; 68.26366
339.21458; 68.44732
338.23316; 68.62836
337.25093; 68.80498
336.26823; 68.97913
335.28545; 69.15289
334.30266; 69.32661
333.31986; 69.50033
332.33704; 69.67402
331.35417; 69.84753
330.37099; 70.01941
329.38730; 70.18840
328.40331; 70.35578
327.41926; 70.52288
326.43519; 70.68992
325.45109; 70.85695
324.46698; 71.02397
323.48286; 71.19100
322.49870; 71.35803
321.51453; 71.52507
320.53033; 71.69211
319.54607; 71.85889
318.56145; 72.02373
317.57626; 72.18518
316.59073; 72.34467
315.60513; 72.50391
314.61952; 72.66311
313.63387; 72.82231
312.64820; 72.98149
311.66246; 73.14039
310.67635; 73.29705
309.68958; 73.44971
308.70245; 73.60010
307.71525; 73.75017
306.72803; 73.90020
305.74080; 74.05024
304.75354; 74.20028
303.76627; 74.35033
302.77897; 74.50038
301.79165; 74.65041
300.80428; 74.80029
299.81684; 74.94987
298.82924; 75.09851
297.84138; 75.24552
296.85331; 75.39124
295.86512; 75.53630
294.87665; 75.67952
293.88767; 75.81936
292.89834; 75.95680
291.90891; 76.09356
290.91944; 76.23023
289.92996; 76.36689
288.94047; 76.50355
287.95097; 76.64022
286.96145; 76.77689
285.97191; 76.91351
284.98231; 77.04984
283.99261; 77.18556
283.00282; 77.32064
282.01288; 77.45481
281.02275; 77.58760
280.03244; 77.71917
279.04201; 77.84997
278.05151; 77.98024
277.06095; 78.11016
276.07034; 78.23978
275.07968; 78.36912
274.08898; 78.49823
273.09825; 78.62724
272.10751; 78.75619
271.11675; 78.88507
270.12595; 79.01378
269.13507; 79.14187
268.14402; 79.26873
267.15282; 79.39441
266.16152; 79.51937
265.17013; 79.64369
264.17856; 79.76651
263.18674; 79.88738
262.19480; 80.00727
261.20285; 80.12701
260.21089; 80.24673
259.21893; 80.36645
258.22697; 80.48618
257.23501; 80.60591
256.24306; 80.72562
255.25104; 80.84471
254.25889; 80.96262
253.26666; 81.07975
252.27439; 81.19651
251.28201; 81.31220
250.28943; 81.42614
249.29673; 81.53890
248.30398; 81.65113
247.31114; 81.76254
246.31811; 81.87209
245.32485; 81.97955
244.33150; 82.08604
243.33814; 82.19238
242.34479; 82.29869
241.35145; 82.40500
240.35812; 82.51132
239.36480; 82.61763
238.37148; 82.72392
237.37815; 82.83002
236.38479; 82.93575
235.39142; 83.04128
234.39804; 83.14677
233.40468; 83.25226
232.41131; 83.35775
231.41795; 83.46325
230.42460; 83.56873
229.43123; 83.67405
228.43772; 83.77801
227.44397; 83.87959
226.45009; 83.97981
225.45620; 84.07986
224.46231; 84.17987
223.46843; 84.27989
222.47455; 84.37992
221.48067; 84.47995
220.48677; 84.57971
219.49266; 84.67740
218.49820; 84.77136
217.50354; 84.86318
216.50886; 84.95468
215.51418; 85.04613
214.51950; 85.13758
213.52484; 85.22904
212.53018; 85.32050
211.53552; 85.41196
210.54087; 85.50341
209.54619; 85.59452
208.55144; 85.68488
207.55664; 85.77460
206.56180; 85.86388
205.56690; 85.95243
204.57192; 86.04003
203.57690; 86.12712
202.58187; 86.21411
201.58684; 86.30109
200.59181; 86.38807
199.59679; 86.47506
198.60177; 86.56205
197.60675; 86.64904
196.61171; 86.73585
195.61655; 86.82121
194.62117; 86.90401
193.62567; 86.98534
192.63016; 87.06645
191.63465; 87.14754
190.63914; 87.22862
189.64363; 87.30970
188.64812; 87.39079
187.65261; 87.47187
186.65709; 87.55284
185.66149; 87.63283
184.66575; 87.71103
183.66992; 87.78815
182.67407; 87.86490
181.67816; 87.94095
180.68218; 88.01600
179.68615; 88.09041
178.69010; 88.16465
177.69406; 88.23885
176.69801; 88.31303
175.70196; 88.38721
174.70592; 88.46139
173.70987; 88.53557
172.71382; 88.60973
171.71776; 88.68387
170.72170; 88.75798
169.72563; 88.83204
168.72955; 88.90601
167.73345; 88.97971
166.73723; 89.05184
165.74082; 89.12121
164.74429; 89.18895
163.74773; 89.25632
162.75116; 89.32340
161.75449; 89.38922
160.75769; 89.45296
159.76081; 89.51557
158.76392; 89.57800
157.76703; 89.64040
156.77014; 89.70280
155.77325; 89.76520
154.77636; 89.82761
153.77947; 89.89002
152.78258; 89.95243
151.78568; 90.01482
150.78878; 90.07718
149.79188; 90.13949
148.79497; 90.20178
147.79806; 90.26405
146.80114; 90.32631
145.80421; 90.38856
144.80728; 90.45080
143.81034; 90.51301
142.81340; 90.57516
141.81642; 90.63688
140.81938; 90.69781
139.82231; 90.75809
138.82520; 90.81797
137.82806; 90.87732
136.83082; 90.93507
135.83344; 90.99043
134.83599; 91.04454
133.83853; 91.09846
132.84106; 91.15235
131.84359; 91.20624
130.84611; 91.26014
129.84863; 91.31405
128.85114; 91.36795
127.85364; 91.42173
126.85608; 91.47429
125.85839; 91.52466
124.86064; 91.57376
123.86287; 91.62267
122.86510; 91.67152
121.86732; 91.72035
120.86954; 91.76917
119.87175; 91.81798
118.87396; 91.86676
117.87615; 91.91534
116.87827; 91.96258
115.88028; 92.00742
114.88222; 92.05087
113.88413; 92.09397
112.88604; 92.13684
111.88794; 92.17951
110.88982; 92.22204
109.89170; 92.26448
108.89357; 92.30686
107.89544; 92.34921
106.89730; 92.39155
105.89916; 92.43387
104.90101; 92.47618
103.90285; 92.51848
102.90469; 92.56076
101.90652; 92.60304
100.90835; 92.64530
99.91016; 92.68754
98.91197; 92.72976
97.91377; 92.77187
96.91553; 92.81332
95.91723; 92.85344
94.91889; 92.89255
93.92053; 92.93119
92.92214; 92.96954
91.92375; 93.00772
90.92534; 93.04578
89.92692; 93.08373
88.92849; 93.12150
87.93004; 93.15902
86.93156; 93.19574
85.93301; 93.23075
84.93441; 93.26420
83.93577; 93.29692
82.93712; 93.32926
81.93844; 93.36104
80.93974; 93.39217
79.94102; 93.42294
78.94229; 93.45365
77.94356; 93.48435
76.94483; 93.51505
75.94608; 93.54576
74.94733; 93.57648
73.94858; 93.60721
72.94982; 93.63793
71.95104; 93.66849
70.95223; 93.69769
69.95333; 93.72449
68.95440; 93.74991
67.95546; 93.77516
66.95652; 93.80038
65.95757; 93.82560
64.95861; 93.85082
63.95965; 93.87606
62.96068; 93.90130
61.96171; 93.92654
60.96273; 93.95179
59.96375; 93.97705
58.96476; 94.00230
57.96576; 94.02755
56.96675; 94.05255
55.96769; 94.07582
54.96856; 94.09601
53.96939; 94.11439
52.97022; 94.13251
51.97104; 94.15057
50.97185; 94.16862
49.97266; 94.18667
48.97347; 94.20472
47.97427; 94.22278
46.97507; 94.24084
45.97586; 94.25891
44.97665; 94.27698
43.97743; 94.29505
42.97821; 94.31313
41.97898; 94.33120
40.97974; 94.34908
39.98047; 94.36547
38.98116; 94.37923
37.98183; 94.39148
36.98248; 94.40351
35.98314; 94.41550
34.98379; 94.42748
33.98444; 94.43946
32.98508; 94.45143
31.98572; 94.46339
30.98636; 94.47535
29.98699; 94.48729
28.98762; 94.49921
27.98824; 94.51110
26.98885; 94.52294
25.98946; 94.53471
24.99007; 94.54639
23.99066; 94.55796
22.99125; 94.56940
21.99184; 94.58062
20.99241; 94.59154
19.99298; 94.60193
18.99353; 94.61129
17.99407; 94.61956
16.99460; 94.62722
15.99512; 94.63452
14.99564; 94.64140
13.99615; 94.64712
12.99665; 94.65118
11.99714; 94.65433
10.99762; 94.65725
9.99811; 94.66008
8.99859; 94.66284
7.99907; 94.66556
6.99955; 94.66825
6.00002; 94.67089
5.00049; 94.67351
