# inner_x; inner_y
-3.99371; 0.28681
-3.99837; 0.91335
-4.00046; 2.01452
-4.00057; 2.99918
-4.00024; 3.99691
-3.99954; 4.98812
-4.00026; 5.98302
-4.00192; 6.97827
-4.00241; 7.97456
-4.00160; 8.97155
-4.00164; 9.96926
-4.00073; 10.96764
-4.00046; 11.96673
-4.00017; 12.96657
-4.00004; 13.96714
-4.00137; 14.96837
-3.99782; 15.97021
-3.99775; 16.97258
-3.99906; 17.97542
-4.00017; 18.97868
-4.00035; 19.98229
-4.00080; 20.98618
-4.00012; 21.99031
-3.99968; 22.99461
-3.99990; 23.99902
-4.00040; 25.00349
-4.00037; 26.00796
-3.99985; 27.01237
-3.99947; 28.01666
-3.99983; 29.02078
-4.00133; 30.02467
-4.00119; 31.02827
-3.99948; 32.03152
-3.99625; 33.03437
-3.99527; 34.03676
-4.00078; 35.03862
-4.00074; 36.03991
-4.00501; 37.04056
-4.00294; 38.04050
-3.99843; 39.03961
-3.99950; 40.03794
-4.00126; 41.03561
-4.00088; 42.03264
-4.00034; 43.02907
-3.99955; 44.02496
-3.99806; 45.02037
-4.00000; 46.01536
-3.99989; 47.01001
-3.99982; 48.00438
-4.00015; 48.99853
-4.00041; 49.99253
-4.00049; 50.98644
-3.99956; 51.98034
-3.99976; 52.97427
-4.00054; 53.96831
-3.99945; 54.96253
-3.99782; 55.95699
-4.00074; 56.95175
-4.00136; 57.94689
-4.00401; 58.94246
-4.02298; 59.93852
-4.00698; 60.93519
-4.00044; 61.93249
-3.99897; 62.93048
-3.99917; 63.92923
-3.99855; 64.92882
-4.00211; 65.92931
-4.00098; 66.93076
-4.00022; 67.93324
-4.00115; 68.93681
-4.00110; 69.94155
-3.99994; 70.94753
-4.00205; 71.95484
-4.00133; 72.96356
-3.99887; 73.97379
-4.00042; 74.98562
-4.00077; 75.99928
-4.00115; 77.01577
-4.00046; 78.03661
-3.99846; 79.05559
-3.99809; 80.06679
-4.00811; 81.07578
-4.00837; 82.08375
-4.01243; 83.06716
-4.03174; 84.01522
-4.07030; 84.95111
-4.11798; 85.87812
-4.18666; 86.79478
-4.27234; 87.68848
-4.37855; 88.54339
-4.51166; 89.38779
-4.66990; 90.21898
-4.85173; 91.01323
-5.06238; 91.78065
-5.30537; 92.53083
-5.58092; 93.26146
-5.88628; 93.96144
-6.23009; 94.64329
-6.61312; 95.30921
-7.03040; 95.94437
-7.49565; 96.55958
-7.98504; 97.14326
-8.51332; 97.68736
-9.07407; 98.20171
-9.60865; 98.62590
-10.12874; 98.96831
-10.71096; 99.27695
