# outer_x; outer_y
3.99211; -0.18922
3.99801; 1.15387
3.99953; 2.03070
3.99938; 3.02560
3.99975; 4.01001
4.00044; 5.00336
3.99973; 5.99534
3.99807; 6.98916
3.99758; 7.98404
3.99840; 8.98018
3.99835; 9.97747
3.99926; 10.97583
3.99953; 11.97510
3.99983; 12.97513
3.99996; 13.97583
3.99863; 14.97714
4.00217; 15.97901
4.00225; 16.98139
4.00094; 17.98422
3.99982; 18.98746
3.99964; 19.99105
3.99920; 20.99492
3.99988; 21.99904
4.00032; 23.00333
4.00010; 24.00775
3.99960; 25.01222
3.99963; 26.01670
4.00014; 27.02113
4.00053; 28.02544
4.00017; 29.02958
3.99866; 30.03349
3.99881; 31.03712
4.00051; 32.04040
4.00375; 33.04328
4.00472; 34.04570
3.99922; 35.04759
3.99925; 36.04891
3.99498; 37.04958
3.99705; 38.04960
4.00156; 39.04894
4.00050; 40.04748
3.99874; 41.04520
3.99911; 42.04223
3.99965; 43.03864
4.00044; 44.03452
4.00194; 45.02992
4.00000; 46.02490
4.00011; 47.01955
4.00017; 48.01392
3.99985; 49.00807
3.99959; 50.00208
3.99951; 50.99601
4.00044; 51.98992
4.00023; 52.98388
3.99946; 53.97795
4.00054; 54.97221
4.00217; 55.96671
3.99926; 56.96152
3.99864; 57.95670
3.99598; 58.95232
3.97701; 59.94842
3.99301; 60.94513
3.99955; 61.94246
4.00103; 62.94049
4.00083; 63.93928
4.00144; 64.93889
3.99788; 65.93939
3.99901; 66.94086
3.99977; 67.94335
3.99884; 68.94693
3.99889; 69.95166
4.00006; 70.95759
3.99794; 71.96477
3.99866; 72.97324
4.00112; 73.98304
3.99957; 74.99421
3.99922; 76.00665
3.99885; 77.01952
3.99953; 78.03148
4.00154; 79.04826
4.00191; 80.07387
3.99185; 81.10083
3.99151; 82.12621
3.98690; 83.17085
3.96500; 84.24331
3.92124; 85.31894
3.86539; 86.39373
3.78509; 87.46654
3.68128; 88.54869
3.54406; 89.65350
3.37133; 90.75099
3.16349; 91.84317
2.90993; 92.95143
2.60521; 94.06277
2.24830; 95.16561
1.83562; 96.26063
1.35759; 97.35649
0.81360; 98.43625
0.20317; 99.49706
-0.48571; 100.54514
-1.24141; 101.54802
-2.05974; 102.51827
-2.94269; 103.42915
-3.86932; 104.27712
-4.90547; 105.09737
-6.04686; 105.84859
-7.20688; 106.46871
-8.43567; 107.00486
-9.74604; 107.42622
-11.04161; 107.70987
-12.41497; 107.89255
-13.85707; 107.92995
-15.27429; 107.83361
-16.67297; 107.59963
-18.01033; 107.25010
-19.30618; 106.79228
-20.53939; 106.23488
-21.64570; 105.63237
-22.66876; 104.99271
-23.64301; 104.30051
-24.51552; 103.60944
-25.27703; 102.96020
-25.96775; 102.31926
-26.63945; 101.64807
-27.30376; 100.94246
-27.94861; 100.21724
-28.58263; 99.47343
-29.20742; 98.71117
-29.82584; 97.93390
-30.44078; 97.14553
-31.05544; 96.35053
-31.67140; 95.55109
-32.28842; 94.74712
-32.90645; 93.93874
-33.52417; 93.12395
-34.14006; 92.30058
-34.75663; 91.47393
-35.37156; 90.64056
-35.99745; 89.80655
-36.63923; 88.97947
-37.29821; 88.16982
-37.97867; 87.38426
-38.68150; 86.63625
-39.42461; 85.92389
-40.15514; 85.29617
-40.79791; 84.81114
-41.41469; 84.40805
-42.05289; 84.04876
-42.70939; 83.73520
-43.40492; 83.45375
-44.11920; 83.20969
-44.80949; 83.01333
-45.52330; 82.85922
-46.27218; 82.73331
-46.99947; 82.65075
-47.74516; 82.60845
-48.47661; 82.60497
-49.17968; 82.64687
-49.89953; 82.73453
-50.61258; 82.86645
-51.31460; 83.04337
-51.98963; 83.26225
-52.67322; 83.54021
-53.40132; 83.88371
-54.10883; 84.26429
-54.75715; 84.66443
-55.39151; 85.12103
-56.04283; 85.63267
-56.67647; 86.18799
-57.29216; 86.77897
-57.86492; 87.37984
-58.36619; 87.96642
-58.80319; 88.55051
-59.20083; 89.16578
-59.55376; 89.79715
-59.86297; 90.45142
-60.15355; 91.21369
-60.43024; 92.09541
-60.67921; 93.05060
-60.88533; 94.02150
-61.04910; 94.98668
-61.19118; 95.95982
-61.30642; 96.94297
-61.39957; 97.93293
-61.47965; 98.92807
-61.55139; 99.92807
-61.60645; 100.93744
-61.66744; 101.94902
-61.73339; 102.96383
-61.81038; 103.98019
-61.90275; 104.99667
-62.01336; 106.01223
-62.15310; 107.02316
-62.32053; 108.03146
-62.52974; 109.03650
-62.78755; 110.03704
-63.10124; 111.03933
-63.49875; 112.08338
-64.00134; 113.21109
-64.60914; 114.36293
-65.31285; 115.48219
-66.10853; 116.54455
-66.95396; 117.50391
-67.85945; 118.39280
-68.87691; 119.24004
-70.02447; 120.02390
-71.22439; 120.67565
-72.42531; 121.19734
-73.74919; 121.63795
-75.11722; 121.93900
-76.45597; 122.10154
-77.89631; 122.15161
-79.35071; 122.02541
-80.71630; 121.76447
-82.05431; 121.36416
-83.33039; 120.83391
-84.50800; 120.20126
-85.66126; 119.44886
-86.74161; 118.57176
-87.70257; 117.63493
-88.58976; 116.60792
-89.39102; 115.49262
-90.07420; 114.34614
-90.65907; 113.16717
-91.14415; 111.97059
-91.53249; 110.78434
-91.85884; 109.51761
-92.07569; 108.20588
-92.20447; 106.97469
-92.25798; 105.73978
-92.23632; 104.48162
-92.14364; 103.25138
-91.98451; 102.01988
-91.75557; 100.82124
-91.49032; 99.66886
-91.17095; 98.53641
-90.80516; 97.45287
-90.42224; 96.37949
-89.98979; 95.33083
-89.54052; 94.32853
-89.06381; 93.34000
-88.56522; 92.37392
-88.05485; 91.43613
-87.52111; 90.49930
-86.96908; 89.58741
-86.42454; 88.72532
-85.88182; 87.88409
-85.31959; 87.05241
-84.75590; 86.22203
-84.18001; 85.39827
-83.59723; 84.57775
-83.01510; 83.75618
-82.42917; 82.93686
-81.84218; 82.12012
-81.25870; 81.30422
-80.67643; 80.48678
-80.09380; 79.66754
-79.51447; 78.84642
-78.93864; 78.02374
-78.36192; 77.20221
-77.78638; 76.38054
-77.21384; 75.55759
-76.64429; 74.73335
-76.07207; 73.91127
-75.50453; 73.08681
-74.93635; 72.26323
-74.36550; 71.44176
-73.79729; 70.61911
-73.23179; 69.79524
-72.66518; 68.97246
-72.09789; 68.15050
-71.53064; 67.32888
-70.96419; 66.50692
-70.39683; 65.68563
-69.81100; 64.87617
-69.24086; 64.05761
-68.69206; 63.22624
-68.12286; 62.40762
-67.55637; 61.58750
-66.98518; 60.77042
-66.41442; 59.95319
-65.84695; 59.13401
-65.27916; 58.31508
-64.70825; 57.49808
-64.13694; 56.68130
-63.56623; 55.86410
-62.99586; 55.04660
-62.42258; 54.23076
-61.85381; 53.41201
-61.28109; 52.59549
-60.70830; 51.77879
-60.13815; 50.96021
-59.56619; 50.14246
-58.99376; 49.32468
-58.42112; 48.50667
-57.84833; 47.68836
-57.27563; 46.86958
-56.70403; 46.04967
-56.13756; 45.22613
-55.56298; 44.40705
-54.98688; 43.58834
-54.41456; 42.76674
-53.83880; 41.94662
-53.26603; 41.12403
-52.69439; 40.30006
-52.12200; 39.47585
-51.54821; 38.65177
-50.97537; 37.82633
-50.40243; 37.00016
-49.82982; 36.17291
-49.25699; 35.34466
-48.68123; 34.51598
-48.09761; 33.69021
-47.53515; 32.85179
-46.96856; 32.01653
-46.40448; 31.17978
-45.84578; 30.34015
-45.29054; 29.49970
-44.74893; 28.65267
-44.21565; 27.80874
-43.70024; 26.97365
-43.20880; 26.15332
-42.73888; 25.34346
-42.28333; 24.52795
-41.84121; 23.70722
-41.42022; 22.89204
-41.02518; 22.08576
-40.64958; 21.26580
-40.28373; 20.43320
-39.94334; 19.60553
-39.62671; 18.77822
-39.33271; 17.94636
-39.05977; 17.10125
-38.80612; 16.25024
-38.57730; 15.39639
-38.36589; 14.51922
-38.17261; 13.62813
-38.00086; 12.75285
-37.85474; 11.86187
-37.71981; 10.95096
-37.61331; 10.07296
-37.53563; 9.19563
-37.47795; 8.27781
-37.43746; 7.34512
-37.41573; 6.42938
-37.41843; 5.54172
-37.44857; 4.65036
-37.50737; 3.73273
-37.57669; 2.81860
-37.67133; 1.93209
-37.79225; 1.04591
-37.93863; 0.14877
-38.10231; -0.73237
-38.28980; -1.60100
-38.50104; -2.47071
-38.73319; -3.33017
-38.98632; -4.17780
-39.26496; -5.02324
-39.55963; -5.85917
-39.87635; -6.68187
-40.21716; -7.50474
-40.57762; -8.31941
-40.96250; -9.13436
-41.36466; -9.94529
-41.77991; -10.73370
-42.21931; -11.51932
-42.68761; -12.31131
-43.16769; -13.09460
-43.66741; -13.86577
-44.18970; -14.63406
-44.73019; -15.39191
-45.28572; -16.13162
-45.85490; -16.84556
-46.43527; -17.52480
-47.02713; -18.16303
-47.63477; -18.76063
-48.25821; -19.31515
-48.89629; -19.82380
-49.53144; -20.27301
-50.16884; -20.66301
-50.83063; -21.01044
-51.49875; -21.30919
-52.14016; -21.54624
-52.77814; -21.72954
-53.44383; -21.87141
-54.08607; -21.96371
-54.67324; -22.00139
-55.25905; -21.98496
-55.85986; -21.92305
-56.41737; -21.81314
-56.92195; -21.65994
-57.45098; -21.43729
-58.04203; -21.12390
-58.63170; -20.75265
-59.20503; -20.32407
-59.79703; -19.81063
-60.39764; -19.22480
-60.94207; -18.64682
-61.40246; -18.07407
-61.85703; -17.42045
-62.30635; -16.65448
-62.74424; -15.78826
-63.15827; -14.86797
-63.52043; -13.93904
-63.85400; -13.00075
-64.16085; -12.04779
-64.44439; -11.08733
-64.71206; -10.12188
-64.96046; -9.14802
-65.20736; -8.17301
-65.45196; -7.19532
-65.69714; -6.21809
-65.94810; -5.24317
-66.20994; -4.27193
-66.48998; -3.30829
-66.78695; -2.35114
-67.10832; -1.40405
-67.46189; -0.47025
-67.85288; 0.45171
-68.29711; 1.35598
-68.79223; 2.26807
-69.39394; 3.24986
-70.12732; 4.29330
-70.92655; 5.28149
-71.78253; 6.21301
-72.70722; 7.08974
-73.67689; 7.89110
-74.75658; 8.65668
-75.91618; 9.33119
-77.11628; 9.89607
-78.38571; 10.35919
-79.69527; 10.70488
-81.07261; 10.93161
-82.47004; 11.01709
-83.83723; 10.96937
-85.19066; 10.79466
-86.51453; 10.49809
-87.78533; 10.09113
-88.99254; 9.59015
-90.15601; 8.99374
-91.27441; 8.30285
-92.34236; 7.52195
-93.35759; 6.65042
-94.31335; 5.68884
-95.18755; 4.65619
-95.97176; 3.57282
-96.66797; 2.44468
-97.27254; 1.28954
-97.78473; 0.12770
-98.21080; -1.02558
-98.56341; -2.18074
-98.84655; -3.33802
-99.06360; -4.49272
-99.22156; -5.66348
-99.31484; -6.83555
-99.34937; -8.00123
-99.32508; -9.18001
-99.24248; -10.34942
-99.10832; -11.50235
-98.92738; -12.63916
-98.70062; -13.77683
-98.41172; -14.95048
-98.07620; -16.07361
-97.73053; -17.11356
-97.34833; -18.19576
-96.91769; -19.27274
-96.48413; -20.27754
-96.02817; -21.28622
-95.53998; -22.28592
-95.04922; -23.25666
-94.53965; -24.21137
-94.01975; -25.14650
-93.48717; -26.07182
-92.94489; -26.98139
-92.39928; -27.87265
-91.83291; -28.77480
-91.25186; -29.66394
-90.68129; -30.51239
-90.11623; -31.35236
-89.54549; -32.20745
-88.95709; -33.04790
-88.37582; -33.87147
-87.79784; -34.68720
-87.21284; -35.49653
-86.63029; -36.30526
-86.04537; -37.11071
-85.45557; -37.91112
-84.86630; -38.70936
-84.28676; -39.51225
-83.70249; -40.31122
-83.11647; -41.10836
-82.53452; -41.90759
-81.95378; -42.70721
-81.36215; -43.49919
-80.80325; -44.31415
-80.22832; -45.11863
-79.65536; -45.92545
-79.09232; -46.74050
-78.52370; -47.55336
-77.95390; -48.36741
-77.38784; -49.18643
-76.82392; -50.00961
-76.26047; -50.83614
-75.69788; -51.66660
-75.14133; -52.50478
-74.58350; -53.34501
-74.02883; -54.18777
-73.47791; -55.03730
-72.92528; -55.89404
-72.37150; -56.75501
-71.81241; -57.61478
-71.25596; -58.47764
-70.69548; -59.33805
-70.12215; -60.18954
-69.55809; -61.04893
-68.97033; -61.91229
-68.34709; -62.78777
-67.71756; -63.64182
-67.06660; -64.49662
-66.32854; -65.41406
-65.53311; -66.29884
-64.76176; -67.10086
-63.96575; -67.87568
-63.10735; -68.64963
-62.22430; -69.37318
-61.34496; -70.05169
-60.39259; -70.72531
-59.36144; -71.37624
-58.28729; -71.96762
-57.13615; -72.52292
-55.91459; -72.99250
-54.62941; -73.38485
-53.23870; -73.66891
-51.81927; -73.79499
-50.44673; -73.78492
-49.13166; -73.64401
-47.86815; -73.39209
-46.68163; -73.04827
-45.56532; -72.63948
-44.44985; -72.15004
-43.33901; -71.57200
-42.26915; -70.92741
-41.21897; -70.20611
-40.20623; -69.41401
-39.25681; -68.57960
-38.37193; -67.71750
-37.54974; -66.84231
-36.78269; -65.95982
-36.06376; -65.07566
-35.39729; -64.21042
-34.78049; -63.38157
-34.18720; -62.56417
-33.59954; -61.74651
-33.01336; -60.93284
-32.42505; -60.12291
-31.83288; -59.31733
-31.23985; -58.51338
-30.64463; -57.71173
-30.04651; -56.91280
-29.44739; -56.11498
-28.84632; -55.31887
-28.24559; -54.52278
-27.64485; -53.72688
-27.04360; -52.93142
-26.44336; -52.13552
-25.84644; -51.33905
-25.25073; -50.54166
-24.65294; -49.73974
-24.05191; -48.93189
-23.45367; -48.12098
-22.85794; -47.31264
-22.26405; -46.50425
-21.67182; -45.69563
-21.08115; -44.88769
-20.49112; -44.07992
-19.90234; -43.27136
-19.31434; -42.46223
-18.72724; -41.65236
-18.14093; -40.84187
-17.55368; -40.03206
-16.96698; -39.22190
-16.38014; -38.41192
-15.79329; -37.60208
-15.20649; -36.79224
-14.61897; -35.98271
-14.03160; -35.17330
-13.44368; -34.36501
-12.85496; -33.55761
-12.26570; -32.75072
-11.67668; -31.94369
-11.08650; -31.13748
-10.49641; -30.33109
-9.90561; -29.52505
-9.31344; -28.71976
-8.72121; -27.91421
-8.12806; -27.10897
-7.53425; -26.30383
-6.93952; -25.49899
-6.34389; -24.69449
-5.74833; -23.88968
-5.15135; -23.08572
-4.55436; -22.28160
-3.95679; -21.47771
-3.35867; -20.67502
-2.76166; -19.87464
-2.16369; -19.07256
-1.55446; -18.24688
-0.93345; -17.38385
-0.31035; -16.48158
0.31392; -15.52147
0.90300; -14.53443
1.46299; -13.51211
1.99857; -12.40552
2.46651; -11.26737
2.87255; -10.09389
3.19458; -8.91624
3.44712; -7.77508
3.64320; -6.61560
3.77139; -5.51221
3.87110; -4.45212
3.93430; -3.44968
3.98822; -2.04507
3.98731; -1.11010
