# delta; F_drive; F_brake; gamma_y
0.00663; 92.76051; -0.00001; -52.50264
-0.01510; 91.84741; -0.00001; -42.56938
-0.01902; 86.73875; -0.00001; -26.14256
-0.01663; 83.47897; -0.00001; -12.86730
-0.01245; 82.06137; -0.00001; -4.23490
-0.00771; 81.55409; -0.00001; 0.75448
-0.00396; 81.44122; -0.00001; 2.83418
-0.00139; 81.42376; -0.00001; 3.19323
0.00008; 81.41396; -0.00001; 2.68295
0.00075; 81.40122; -0.00001; 1.88394
0.00093; 81.39063; -0.00001; 1.12139
0.00083; 81.38407; -0.00001; 0.52072
0.00059; 81.38094; -0.00001; 0.11426
0.00035; 81.37998; -0.00001; -0.10066
0.00016; 81.37981; -0.00001; -0.17684
0.00004; 81.37978; -0.00001; -0.17324
-0.00003; 81.37974; -0.00001; -0.13363
-0.00005; 81.37970; -0.00001; -0.08604
-0.00005; 81.37967; -0.00001; -0.04529
-0.00004; 81.37965; -0.00001; -0.01674
-0.00002; 81.37965; -0.00001; -0.00018
-0.00001; 81.37964; -0.00001; 0.00716
-0.00000; 81.37964; -0.00001; 0.00860
0.00000; 81.37964; -0.00001; 0.00698
0.00000; 81.37964; -0.00001; 0.00429
0.00000; 81.37964; -0.00001; 0.00170
0.00000; 81.37964; -0.00001; -0.00027
0.00000; 81.37964; -0.00001; -0.00153
0.00000; 81.37964; -0.00001; -0.00220
0.00000; 81.37964; -0.00001; -0.00245
0.00000; 81.37964; -0.00001; -0.00245
0.00000; 81.37964; -0.00001; -0.00233
0.00000; 81.37964; -0.00001; -0.00220
0.00000; 81.37964; -0.00001; -0.00214
0.00000; 81.37964; -0.00001; -0.00218
0.00000; 81.37964; -0.00001; -0.00223
0.00000; 81.37964; -0.00001; -0.00223
0.00000; 81.37964; -0.00001; -0.00220
0.00000; 81.37964; -0.00001; -0.00214
0.00000; 81.37964; -0.00001; -0.00217
0.00000; 81.37964; -0.00001; -0.00229
0.00000; 81.37964; -0.00001; -0.00238
0.00000; 81.37964; -0.00001; -0.00244
0.00000; 81.37964; -0.00001; -0.00251
0.00000; 81.37964; -0.00001; -0.00259
0.00000; 81.37964; -0.00001; -0.00271
0.00000; 81.37964; -0.00001; -0.00284
0.00000; 81.37964; -0.00001; -0.00292
0.00000; 81.37964; -0.00001; -0.00300
0.00000; 81.37964; -0.00001; -0.00308
0.00000; 81.37964; -0.00001; -0.00316
0.00000; 81.37964; -0.00001; -0.00324
0.00000; 81.37964; -0.00001; -0.00335
0.00000; 81.37964; -0.00001; -0.00352
0.00000; 81.37964; -0.00001; -0.00367
0.00000; 81.37964; -0.00001; -0.00381
0.00000; 81.37964; -0.00001; -0.00408
0.00000; 81.37964; -0.00001; -0.00436
0.00000; 81.37964; -0.00001; -0.00448
0.00000; 81.37964; -0.00001; -0.00455
0.00000; 81.37964; -0.00001; -0.00407
0.00000; 81.37964; -0.00001; -0.00325
0.00001; 81.37964; -0.00001; -0.00316
0.00001; 81.37964; -0.00001; -0.00375
0.00001; 81.37964; -0.00001; -0.00464
0.00001; 81.37964; -0.00001; -0.00587
0.00001; 81.37964; -0.00001; -0.00723
0.00002; 81.37965; -0.00001; -0.00877
0.00002; 81.37965; -0.00001; -0.01158
0.00003; 81.37965; -0.00001; -0.01551
0.00002; 81.37965; -0.00001; -0.01982
0.00001; 81.37965; -0.00001; -0.02418
-0.00002; 81.37965; -0.00001; -0.02558
-0.00005; 81.37966; -0.00001; -0.01875
-0.00011; 81.37968; -0.00001; -0.00590
-0.00017; 81.37971; -0.00001; 0.01810
-0.00020; 81.37972; -0.00001; 0.06360
-0.00009; 81.37970; -0.00001; 0.13225
0.00071; 81.38220; -0.00001; 0.27778
0.00447; 81.44925; -0.00001; 0.70459
0.00572; 81.45372; -0.00001; -0.83381
0.00389; 81.41773; -0.00001; -2.83044
0.01254; 81.74538; -0.00001; -1.24512
0.03781; 85.24627; -0.00001; 0.41577
0.04156; 84.79682; -0.00001; -11.81207
0.04155; 84.70601; -0.00001; -21.42171
0.04571; 85.39644; -0.00001; -26.93123
0.04337; 85.71357; -0.00001; -33.94390
0.07087; 89.97280; -0.00001; -30.84275
0.06849; 90.78248; -0.00001; -45.76314
0.06656; 91.81829; -0.00001; -54.31121
0.08502; 94.74378; -0.00001; -54.49402
0.09345; 98.40994; -0.00001; -63.70722
0.09746; 101.61835; -0.00001; -73.60431
0.09979; 104.44926; -0.00001; -82.07104
0.10809; 107.48535; -0.00001; -87.14618
0.11757; 111.60982; -0.00001; -93.17297
0.10360; 115.86495; -0.00001; -107.14786
0.12954; 116.56424; -0.00001; -101.07050
0.11459; 122.74625; -0.00001; -117.34850
0.11955; 122.91304; -0.00001; -118.02214
0.13336; 124.84736; -0.00001; -117.75766
0.10263; 134.64463; -0.00001; -135.61903
0.16492; 129.64570; -0.00001; -110.34308
0.21675; 157.59893; -0.00001; -111.52998
0.19253; 167.22444; -0.00000; -151.59766
0.18505; 175.39533; -0.00000; -165.41233
0.25070; 189.38499; -0.00000; -146.64362
0.10054; 264.51793; -0.00000; -224.37636
0.21201; 183.42115; -0.00000; -170.96904
0.23272; 198.28429; -0.00000; -177.17452
0.17184; 234.12473; -0.00000; -213.34775
0.19724; 214.31689; -0.00000; -200.86892
0.08689; 287.21957; -0.00000; -233.94456
0.13386; 216.68325; -0.00000; -206.68174
0.11894; 213.25381; -0.00000; -203.97112
-0.00250; 293.52575; -0.00000; -220.81768
-0.09245; 329.84013; -0.00000; -210.37776
0.06947; 145.25087; -0.00001; -153.31073
-0.03441; 212.50027; -0.00000; -170.25431
-0.19870; 327.21821; -0.00000; -164.87197
-0.24848; 325.45087; -0.00000; -134.76263
-0.07747; 120.78873; -0.00001; -57.79653
-0.04841; 92.30379; -0.00001; -20.33029
-0.03239; 84.75819; -0.00001; -1.63114
-0.01825; 82.40907; -0.00001; 8.17672
-0.00785; 81.96421; -0.00001; 11.14045
-0.00131; 81.84666; -0.00001; 10.17926
0.00196; 81.69505; -0.00001; 7.53153
0.00300; 81.54379; -0.00001; 4.67773
0.00282; 81.44648; -0.00001; 2.37236
0.00219; 81.40192; -0.00001; 0.82587
0.00134; 81.38501; -0.00001; -0.09446
0.00067; 81.38142; -0.00001; -0.47207
