# traj_x; traj_y
-1.94017; 0.16705
-1.94720; 0.98386
-1.95772; 2.01993
-1.96126; 2.99887
-1.96325; 3.99470
-1.96515; 4.98747
-1.96683; 5.98245
-1.96828; 6.97816
-1.96954; 7.97492
-1.97066; 8.97258
-1.97171; 9.97109
-1.97273; 10.97041
-1.97376; 11.97048
-1.97482; 12.97123
-1.97590; 13.97261
-1.97700; 14.97457
-1.97810; 15.97704
-1.97920; 16.97997
-1.98031; 17.98329
-1.98141; 18.98697
-1.98251; 19.99092
-1.98361; 20.99510
-1.98471; 21.99945
-1.98580; 23.00391
-1.98690; 24.00841
-1.98800; 25.01291
-1.98909; 26.01735
-1.99019; 27.02166
-1.99129; 28.02579
-1.99240; 29.02967
-1.99350; 30.03326
-1.99461; 31.03649
-1.99572; 32.03930
-1.99684; 33.04164
-1.99795; 34.04345
-1.99908; 35.04466
-2.00020; 36.04523
-2.00132; 37.04508
-2.00246; 38.04418
-2.00360; 39.04245
-2.00478; 40.03995
-2.00598; 41.03679
-2.00717; 42.03306
-2.00836; 43.02880
-2.00955; 44.02408
-2.01074; 45.01898
-2.01193; 46.01356
-2.01311; 47.00787
-2.01430; 48.00199
-2.01548; 48.99599
-2.01667; 49.98992
-2.01785; 50.98386
-2.01904; 51.97786
-2.02024; 52.97199
-2.02143; 53.96633
-2.02263; 54.96092
-2.02384; 55.95584
-2.02505; 56.95115
-2.02627; 57.94692
-2.02750; 58.94321
-2.02873; 59.94008
-2.02997; 60.93761
-2.03121; 61.93586
-2.03246; 62.93489
-2.03371; 63.93477
-2.03497; 64.93557
-2.03623; 65.93735
-2.03749; 66.94017
-2.03876; 67.94412
-2.04003; 68.94924
-2.04131; 69.95561
-2.04258; 70.96330
-2.04384; 71.97238
-2.04508; 72.98291
-2.04628; 73.99496
-2.04741; 75.00860
-2.04843; 76.02388
-2.04918; 77.04094
-2.04916; 78.05961
-2.04816; 79.07660
-2.04800; 80.08837
-2.05009; 81.09400
-2.05425; 82.09241
-2.06244; 83.08266
-2.08232; 84.06373
-2.11862; 85.03449
-2.17137; 85.99393
-2.24196; 86.94116
-2.33106; 87.87548
-2.44476; 88.79567
-2.58672; 89.70060
-2.75523; 90.59017
-2.95417; 91.46353
-3.18814; 92.31952
-3.45876; 93.15776
-3.76731; 93.97827
-4.11670; 94.78075
-4.51124; 95.56421
-4.95153; 96.32980
-5.44088; 97.07404
-5.97645; 97.78826
-6.55122; 98.46505
-7.16149; 99.09518
-7.79773; 99.67605
-8.45744; 100.19984
-9.14299; 100.65087
-9.84619; 101.02870
-10.55934; 101.34001
-11.28821; 101.57649
-12.04892; 101.74866
-12.85219; 101.85967
-13.68995; 101.88630
-14.54882; 101.82731
-15.41383; 101.68221
-16.27043; 101.45621
-17.10543; 101.15818
-17.90401; 100.79181
-18.65750; 100.37453
-19.37018; 99.92299
-20.04918; 99.43518
-20.70246; 98.91381
-21.34822; 98.37296
-22.00412; 97.82207
-22.67976; 97.26123
-23.37561; 96.68437
-24.09312; 96.08989
-24.83251; 95.47765
-25.59224; 94.84816
-26.36968; 94.20285
-27.16152; 93.54389
-27.96409; 92.87411
-28.77358; 92.19673
-29.58626; 91.51517
-30.39865; 90.83287
-31.20763; 90.15308
-32.01064; 89.47866
-32.80582; 88.81210
-33.59282; 88.15525
-34.37310; 87.50746
-35.14683; 86.86756
-35.91319; 86.23606
-36.67189; 85.61321
-37.42288; 84.99916
-38.16644; 84.39387
-38.90348; 83.79732
-39.65173; 83.23313
-40.42528; 82.72735
-41.21964; 82.28319
-42.02916; 81.90189
-42.84572; 81.57834
-43.66245; 81.30564
-44.47703; 81.08386
-45.28832; 80.91524
-46.09291; 80.78839
-46.89247; 80.70250
-47.68951; 80.65917
-48.48873; 80.65447
-49.29915; 80.69936
-50.12345; 80.79555
-50.95762; 80.94528
-51.79663; 81.15257
-52.63369; 81.42143
-53.46087; 81.75492
-54.27642; 82.14109
-55.07852; 82.57247
-55.85824; 83.05469
-56.60727; 83.58915
-57.32656; 84.16385
-58.01636; 84.77077
-58.67579; 85.40489
-59.30316; 86.06297
-59.88905; 86.74847
-60.42263; 87.46358
-60.89858; 88.20453
-61.31837; 88.96356
