# delta; F_drive; F_brake; gamma_y
-0.11123; 97.47091; -0.00001; 37.35339
0.07308; 146.74189; -0.00001; 78.59640
0.26119; 208.56099; -0.00000; 78.85759
0.09881; 125.72824; -0.00001; 58.06439
0.04338; 96.03594; -0.00001; 36.65106
0.03340; 89.24588; -0.00001; 26.58212
0.02433; 85.19327; -0.00001; 18.30876
0.01765; 83.16124; -0.00001; 12.28434
0.01262; 82.17375; -0.00001; 7.99137
0.00884; 81.71352; -0.00001; 5.00196
0.00606; 81.51106; -0.00001; 2.98184
0.00411; 81.42843; -0.00001; 1.66920
0.00276; 81.39640; -0.00001; 0.83147
0.00169; 81.38412; -0.00001; 0.27767
0.00093; 81.38069; -0.00001; -0.04236
0.00048; 81.38015; -0.00001; -0.18619
0.00021; 81.38013; -0.00001; -0.23852
0.00005; 81.38012; -0.00001; -0.24149
-0.00004; 81.38005; -0.00001; -0.21876
-0.00008; 81.37994; -0.00001; -0.18502
-0.00009; 81.37985; -0.00001; -0.14908
-0.00009; 81.37977; -0.00001; -0.11570
-0.00008; 81.37972; -0.00001; -0.08707
-0.00006; 81.37969; -0.00001; -0.06383
-0.00005; 81.37967; -0.00001; -0.04573
-0.00004; 81.37966; -0.00001; -0.03214
-0.00004; 81.37965; -0.00001; -0.02226
-0.00004; 81.37965; -0.00001; -0.01528
-0.00004; 81.37965; -0.00001; -0.01043
-0.00005; 81.37965; -0.00001; -0.00701
-0.00007; 81.37965; -0.00001; -0.00435
-0.00010; 81.37965; -0.00001; -0.00179
-0.00013; 81.37966; -0.00001; 0.00143
-0.00019; 81.37968; -0.00001; 0.00622
-0.00025; 81.37970; -0.00001; 0.01372
-0.00033; 81.37975; -0.00001; 0.02545
-0.00042; 81.37980; -0.00001; 0.04339
-0.00051; 81.37988; -0.00001; 0.07008
-0.00058; 81.37996; -0.00001; 0.10871
-0.00061; 81.38004; -0.00001; 0.16310
-0.00054; 81.38012; -0.00001; 0.23748
-0.00029; 81.38039; -0.00001; 0.33606
0.00025; 81.38151; -0.00001; 0.46202
0.00126; 81.38556; -0.00001; 0.61589
0.00298; 81.39793; -0.00001; 0.79463
0.00577; 81.43204; -0.00001; 0.99716
0.01035; 81.52644; -0.00001; 1.27118
0.01937; 81.86916; -0.00001; 2.04050
0.05167; 85.15591; -0.00001; 7.29926
0.05802; 85.02110; -0.00001; 1.82551
0.04253; 83.17676; -0.00001; -9.09457
0.05339; 84.10256; -0.00001; -10.21606
0.06786; 85.65888; -0.00001; -11.56137
0.08180; 87.60345; -0.00001; -14.48121
0.09394; 89.78970; -0.00001; -18.97049
0.10432; 92.27188; -0.00001; -24.57871
0.11376; 95.21091; -0.00001; -30.72833
0.12352; 98.76244; -0.00001; -36.87535
0.13505; 103.04768; -0.00001; -42.60894
0.15100; 108.29982; -0.00001; -47.36117
0.26177; 136.62869; -0.00001; -26.32934
0.26179; 139.47537; -0.00001; -46.32709
0.26179; 147.38233; -0.00001; -64.12071
0.25198; 159.58456; -0.00001; -81.23698
0.08828; 224.50095; -0.00000; -117.04701
-0.07190; 293.26141; -0.00000; -124.09063
-0.07932; 296.45605; -0.00000; -124.19871
-0.08153; 296.88357; -0.00000; -124.15681
-0.08303; 296.40286; -0.00000; -124.02388
-0.08442; 295.31116; -0.00000; -123.81249
-0.08582; 293.71278; -0.00000; -123.52750
-0.08877; 292.23742; -0.00000; -123.18197
-0.09308; 290.80423; -0.00000; -122.76751
-0.09752; 288.90913; -0.00000; -122.26233
-0.10228; 286.58834; -0.00000; -121.65472
