# track_x; track_y
0.52600; -0.48902
1.34034; -1.03366
2.19502; -1.49208
3.08544; -1.87199
4.00697; -2.18109
4.95501; -2.42711
5.92496; -2.61773
6.91218; -2.76069
7.91209; -2.86367
8.92006; -2.93440
9.93148; -2.98057
10.94175; -3.00990
11.94761; -3.02850
12.94940; -3.03828
13.94801; -3.04049
14.94435; -3.03636
15.93932; -3.02715
16.93383; -3.01408
17.92878; -2.99841
18.92507; -2.98137
19.92361; -2.96421
20.92529; -2.94816
21.93056; -2.93418
22.93862; -2.92244
23.94851; -2.91299
24.95924; -2.90591
25.96984; -2.90123
26.97933; -2.89903
27.98674; -2.89937
28.99110; -2.90228
29.99141; -2.90785
30.98672; -2.91612
31.97662; -2.92721
32.96224; -2.94138
33.94492; -2.95892
34.92601; -2.98013
35.90685; -3.00528
36.88879; -3.03467
37.87318; -3.06857
38.86137; -3.10729
39.85469; -3.15111
40.85450; -3.20031
41.86142; -3.25431
42.87433; -3.31036
43.89178; -3.36538
44.91236; -3.41626
45.93464; -3.45992
46.95721; -3.49327
47.97864; -3.51323
48.99751; -3.51669
50.01240; -3.50058
51.02187; -3.46180
52.02452; -3.39726
53.01891; -3.30388
54.00363; -3.17856
54.97726; -3.01821
55.93836; -2.81975
56.88552; -2.58008
57.81732; -2.29611
58.73233; -1.96477
59.62913; -1.58294
60.50629; -1.14755
61.36240; -0.65552
62.19488; -0.10552
62.99844; 0.49955
63.76742; 1.15622
64.49614; 1.86099
65.17892; 2.61036
65.81009; 3.40086
66.38397; 4.22899
66.89489; 5.09126
67.33717; 5.98417
67.70514; 6.90425
67.99593; 7.84793
68.21305; 8.81149
68.36089; 9.79120
68.44387; 10.78330
68.46639; 11.78405
68.43286; 12.78973
68.34767; 13.79657
68.21524; 14.80085
68.03997; 15.79882
67.82627; 16.78675
67.57862; 17.76241
67.30172; 18.72701
67.00028; 19.68220
66.67900; 20.62964
66.34262; 21.57099
65.99583; 22.50791
65.64335; 23.44206
65.28989; 24.37510
64.94017; 25.30868
64.59890; 26.24446
64.27078; 27.18411
63.95858; 28.12868
63.66078; 29.07788
63.37530; 30.03128
63.10003; 30.98841
62.83289; 31.94882
62.57178; 32.91206
62.31461; 33.87768
62.05928; 34.84523
61.80372; 35.81424
61.54582; 36.78427
61.28552; 37.75518
61.02709; 38.72747
60.77538; 39.70174
60.53525; 40.67860
60.31155; 41.65865
60.10912; 42.64249
59.93282; 43.63072
59.78749; 44.62394
59.67800; 45.62275
59.60919; 46.62774
59.58550; 47.63763
59.61051; 48.64714
59.68768; 49.65046
59.82048; 50.64181
60.01237; 51.61537
60.26682; 52.56534
60.58729; 53.48594
60.97724; 54.37135
61.44014; 55.21577
61.97943; 56.01343
