# inner_x; inner_y
-3.50712; -1.76251
2.76220; 2.67295
1.89472; 2.42861
3.01093; 2.12044
3.86269; 1.80951
4.83541; 1.58761
5.79714; 1.51172
6.78133; 1.36430
7.77187; 1.28476
8.77108; 1.20138
9.77810; 1.13906
10.79595; 1.01850
11.81250; 0.98872
12.82522; 0.97822
13.83803; 0.97406
14.85065; 1.00627
15.86392; 1.01870
16.87752; 0.99715
17.88873; 1.03241
18.89760; 1.09425
19.90518; 1.12716
20.91190; 1.11047
21.91279; 1.17503
22.91003; 1.19013
23.90541; 1.13761
24.89681; 1.14756
25.88549; 1.18465
26.87472; 1.11978
27.86088; 1.13846
28.84636; 1.15312
29.83150; 1.16833
30.81755; 1.14904
31.80524; 1.08359
32.79298; 1.06336
33.78137; 1.08155
34.77345; 1.02466
35.76669; 1.02586
36.76326; 1.01026
37.76168; 1.06764
38.76774; 0.96870
39.77824; 0.95039
40.79706; 0.91386
41.81882; 0.89311
42.84269; 0.74352
43.86655; 0.65730
44.88999; 0.58559
45.91255; 0.48541
46.92811; 0.51187
47.94196; 0.45953
48.91866; 0.47675
49.79230; 0.50568
50.61195; 0.57482
51.48970; 0.77549
52.44785; 0.88593
53.42105; 0.94720
54.32309; 1.13489
55.12416; 1.22764
55.88332; 1.40305
56.72049; 1.62984
57.57469; 1.88334
58.27432; 2.17700
58.83361; 2.35061
59.31136; 2.67594
59.93053; 3.02398
60.53141; 3.51446
61.09222; 3.96704
61.55157; 4.46771
62.02288; 4.99770
62.47455; 5.62836
62.90317; 6.37072
63.36265; 7.09144
63.69903; 7.69883
63.89602; 8.17431
63.99009; 8.70874
64.10747; 9.40327
64.15602; 10.20437
64.31847; 11.04409
64.38551; 11.92543
64.39579; 12.75583
64.36398; 13.49474
64.22738; 14.27610
64.07295; 15.21561
63.87207; 16.21230
63.57010; 17.17418
63.32680; 18.14134
62.98506; 19.09513
62.63995; 20.04470
62.30011; 20.99161
61.96651; 21.93605
61.68311; 22.88494
61.30637; 23.81848
60.90678; 24.74776
60.60317; 25.69365
60.29834; 26.64635
59.96485; 27.59332
59.66859; 28.53935
59.37855; 29.48639
59.09548; 30.43600
58.77568; 31.38276
58.47538; 32.33462
58.26984; 33.30215
57.94631; 34.25568
57.72821; 35.22227
57.49424; 36.18383
57.29504; 37.15813
57.03835; 38.13378
56.90028; 39.12968
56.65092; 40.11140
56.35643; 41.08734
56.19454; 42.08529
55.98534; 43.07509
55.79777; 44.10177
55.69736; 45.23540
55.55538; 46.38911
55.51039; 47.52355
55.50521; 48.72384
55.51014; 49.95272
55.68293; 51.15077
55.92360; 52.43434
56.22632; 53.83312
56.70249; 55.15103
57.25305; 56.27043
57.85600; 57.38027
58.72655; 58.52620
59.65288; 59.61314
60.55626; 60.52648
61.55213; 61.29328
62.60339; 62.07051
63.68401; 62.77061
64.79319; 63.26485
65.81661; 63.80804
66.78457; 64.32415
67.72009; 64.73212
68.69821; 65.10475
69.74766; 65.54823
70.87427; 65.96184
72.10562; 66.34314
73.36150; 66.64569
74.54011; 66.80232
75.71928; 66.98384
76.93746; 67.08240
78.14907; 67.06992
79.31418; 67.04375
80.36290; 66.90496
81.43867; 66.82512
82.67640; 66.74831
83.88636; 66.49621
85.07262; 66.28533
86.39760; 65.91110
87.65367; 65.38114
88.77124; 64.85288
89.91639; 64.14000
91.05413; 63.38623
91.99857; 62.56618
92.90240; 61.71588
93.71653; 60.70600
94.52919; 59.61464
95.21359; 58.48478
95.80738; 57.39859
96.32555; 56.23030
96.76394; 54.96827
97.12671; 53.71254
97.35164; 52.51122
97.52556; 51.36720
97.73938; 50.18203
97.82285; 48.99491
97.81145; 47.94259
97.86437; 46.94699
97.80965; 45.93434
97.78657; 44.92661
97.80216; 43.92356
97.78732; 42.92121
97.66040; 41.91711
97.62088; 40.91978
97.45898; 39.92693
97.35204; 38.93574
97.28231; 37.94009
97.15382; 36.94126
97.08635; 35.94516
97.00775; 34.94918
97.04246; 33.95755
96.99447; 32.96295
96.98470; 31.96944
96.94307; 30.97386
96.90877; 29.97708
96.84950; 28.97876
96.79861; 27.98059
96.77647; 26.98278
96.82816; 25.98686
96.74783; 24.98564
96.77097; 23.98744
96.74559; 22.98699
96.75558; 21.98729
96.72874; 20.98588
96.70501; 19.98420
96.72021; 18.98358
96.70157; 17.98152
96.65828; 16.97840
96.66854; 15.97702
96.60129; 14.97284
96.63241; 13.97210
96.63115; 12.97026
96.58546; 11.96699
96.63302; 10.96750
96.55350; 9.96427
96.56639; 8.96429
96.51953; 7.96187
96.53699; 6.96191
96.53399; 5.96147
96.53934; 4.96158
