# outer_x; outer_y
4.13622; 1.64257
-0.02061; -5.11317
2.41366; -5.83051
3.25771; -6.20477
4.19534; -6.48095
5.11432; -6.69136
6.07040; -6.81139
7.04934; -6.92793
8.04652; -7.02048
9.05447; -7.09386
10.06548; -7.18768
11.06874; -7.26060
12.06820; -7.30308
13.06939; -7.32804
14.06770; -7.31917
15.06413; -7.31798
16.05874; -7.30060
17.05326; -7.29316
18.04800; -7.27483
19.04331; -7.22955
20.04043; -7.19072
21.04012; -7.18082
22.04351; -7.16705
23.05048; -7.13672
24.06042; -7.14015
25.07166; -7.16027
26.08195; -7.14848
27.09187; -7.16248
28.09926; -7.15577
29.10390; -7.15477
30.10499; -7.16035
31.10211; -7.18815
32.09326; -7.19547
33.08016; -7.21679
34.06357; -7.22624
35.04549; -7.24923
36.02666; -7.26694
37.00808; -7.27231
37.99127; -7.27694
38.97723; -7.28234
39.96709; -7.34764
40.95848; -7.38504
41.95887; -7.45045
42.97014; -7.56815
43.98632; -7.64196
45.00739; -7.73072
46.03267; -7.79633
47.05904; -7.82402
48.10690; -7.84580
49.19990; -7.83564
50.30571; -7.77090
51.40548; -7.68832
52.46516; -7.47476
53.52586; -7.35824
54.67259; -7.30254
55.78175; -7.05134
56.80517; -6.85446
57.80624; -6.66519
58.86152; -6.40624
60.02604; -6.06959
61.21740; -5.58558
62.48157; -5.06894
63.68886; -4.38657
64.71104; -3.70397
65.71544; -2.96305
66.81552; -2.01544
67.79252; -0.96540
68.60513; 0.00945
69.30356; 0.95829
69.91442; 1.92416
70.53339; 2.97572
71.23152; 4.18605
71.77921; 5.57777
72.11937; 6.95454
72.31978; 8.19136
72.45800; 9.35390
72.58890; 10.48997
72.67171; 11.62248
72.70419; 12.88578
72.61581; 14.21029
72.46886; 15.35280
72.29614; 16.35428
72.05563; 17.33494
71.78565; 18.31400
71.52135; 19.28288
71.20300; 20.23347
70.87160; 21.17684
70.54593; 22.11698
70.21373; 23.05379
69.87056; 23.98767
69.52383; 24.92053
69.16533; 25.85214
68.82225; 26.78326
68.49478; 27.71094
68.20384; 28.64907
67.89389; 29.59596
67.58910; 30.54768
67.29709; 31.50363
67.02049; 32.46366
66.72364; 33.42323
66.44766; 34.38724
66.20183; 35.35737
65.96487; 36.33516
65.73762; 37.32241
65.51462; 38.30692
65.29288; 39.28565
65.08273; 40.26659
64.85422; 41.24593
64.62543; 42.22628
64.40659; 43.20737
64.22262; 44.19294
64.05469; 45.15851
63.93264; 46.05638
63.86192; 46.91314
63.82172; 47.82813
63.79279; 48.70885
63.81136; 49.38707
63.91694; 50.04284
64.01769; 50.76438
64.16469; 51.33391
64.36059; 51.86266
64.65967; 52.45494
64.93308; 52.98330
65.22226; 53.39580
65.61889; 53.80553
66.10809; 54.28716
66.65624; 54.74430
67.19262; 55.17218
67.81891; 55.53544
68.55110; 55.89617
69.33637; 56.31863
70.20804; 56.73382
71.09037; 57.14241
71.95142; 57.47895
