# traj_x; traj_y
-0.37708; -2.26841
0.48985; -2.46603
1.72720; -2.58685
2.85599; -2.54895
3.93119; -2.50594
4.95800; -2.46757
5.95889; -2.43363
6.94758; -2.40298
7.93319; -2.37445
8.92124; -2.34712
9.91454; -2.32058
10.91374; -2.29542
11.91659; -2.27232
12.92135; -2.24994
13.92797; -2.22754
14.93606; -2.20496
15.94518; -2.18222
16.95478; -2.15934
17.96429; -2.13638
18.97306; -2.11339
19.98045; -2.09046
20.98575; -2.06788
21.98798; -2.04587
22.98699; -2.02411
23.98327; -2.00241
24.97727; -1.98070
25.96944; -1.95896
26.96025; -1.93716
27.95018; -1.91528
28.93970; -1.89332
29.92928; -1.87125
30.91941; -1.84909
31.91058; -1.82683
32.90327; -1.80449
33.89797; -1.78207
34.89519; -1.75961
35.89543; -1.73713
36.89919; -1.71468
37.90698; -1.69233
38.91929; -1.67016
39.93669; -1.64846
40.95937; -1.62801
41.98453; -1.60931
43.00843; -1.59155
44.02928; -1.57424
45.04506; -1.55711
46.05394; -1.53984
47.05420; -1.52196
48.04440; -1.50264
49.02334; -1.47960
49.98971; -1.43700
50.94083; -1.35419
51.87429; -1.23843
52.79020; -1.11231
53.68996; -0.98422
54.57514; -0.85197
55.44455; -0.69795
56.29504; -0.50500
57.13002; -0.28334
57.95768; -0.04717
58.77889; 0.21625
59.57991; 0.54379
60.34594; 0.95913
61.08049; 1.44899
61.79005; 1.99071
62.46561; 2.58132
63.08957; 3.22601
63.65463; 3.91604
64.16443; 4.63477
64.63087; 5.36457
65.06430; 6.09586
65.45172; 6.83497
65.75876; 7.59480
65.97151; 8.38384
66.11592; 9.19789
66.21757; 10.03063
66.28757; 10.88276
66.33265; 11.75545
66.34960; 12.64889
66.31585; 13.55891
66.22073; 14.47788
66.09201; 15.40343
65.95888; 16.33769
65.82362; 17.28176
65.68462; 18.23779
65.54336; 19.20697
65.40054; 20.18918
65.25654; 21.18306
65.11175; 22.18639
64.96654; 23.19625
64.82133; 24.20935
64.67659; 25.22222
64.53303; 26.23168
64.39235; 27.23517
64.25548; 28.23206
64.12028; 29.22379
63.98555; 30.21207
63.85082; 31.19870
63.71583; 32.18532
63.58037; 33.17340
63.44422; 34.16429
63.30715; 35.15918
63.16843; 36.15930
63.02646; 37.16459
62.88146; 38.16920
62.73628; 39.16709
62.59189; 40.15618
62.44879; 41.13408
62.30731; 42.09907
62.16775; 43.05022
62.03060; 43.98765
61.89777; 44.91291
61.78455; 45.82972
61.70820; 46.74133
61.66244; 47.64923
61.65077; 48.55150
61.68823; 49.44235
61.77015; 50.31707
61.90297; 51.17009
62.11053; 51.98959
62.39886; 52.76377
62.74366; 53.49332
63.12533; 54.18510
63.56519; 54.83060
64.08630; 55.42640
64.67727; 55.98753
65.32328; 56.52294
66.02667; 57.02494
66.78621; 57.48444
67.58920; 57.90792
68.42352; 58.30476
69.27884; 58.68452
70.14436; 59.06207
71.01302; 59.44345
71.88446; 59.80651
72.76120; 60.13155
73.64701; 60.40394
74.54315; 60.60708
75.44312; 60.75709
76.34366; 60.86662
77.24548; 60.92687
78.14765; 60.93874
79.04972; 60.90595
79.95302; 60.84833
80.85874; 60.78275
81.76046; 60.68385
82.64834; 60.53019
83.51868; 60.33786
84.36137; 60.09221
85.15893; 59.77010
85.91405; 59.40255
86.62319; 58.99271
87.27050; 58.52545
87.86604; 58.01845
88.42896; 57.47097
88.96282; 56.87141
89.45352; 56.21292
89.89133; 55.49667
90.28674; 54.73710
90.64153; 53.94118
90.93852; 53.10918
91.17159; 52.24874
91.34981; 51.37203
91.48964; 50.48903
91.59344; 49.59781
91.64994; 48.69276
91.67983; 47.77498
91.70825; 46.84309
91.73629; 45.89506
91.76343; 44.93040
91.79074; 43.94985
91.81867; 42.95508
91.84734; 41.94859
91.87704; 40.93287
91.90893; 39.91178
91.94386; 38.89241
91.98008; 37.87789
92.01651; 36.86724
92.05291; 35.85994
92.08923; 34.85537
92.12549; 33.85296
92.16167; 32.85218
92.19777; 31.85249
92.23377; 30.85341
92.26951; 29.85441
92.30493; 28.85495
92.34021; 27.85489
92.37544; 26.85430
92.41063; 25.85325
92.44580; 24.85180
92.48095; 23.85001
92.51608; 22.84793
92.55120; 21.84564
92.58631; 20.84318
92.62140; 19.84061
92.65650; 18.83801
92.69159; 17.83541
92.72668; 16.83289
92.76177; 15.83049
92.79686; 14.82827
92.83196; 13.82629
92.86706; 12.82461
92.90216; 11.82327
92.93731; 10.82234
92.97262; 9.82184
93.00816; 8.82163
93.04378; 7.82155
93.07943; 6.82155
93.11509; 5.82155
93.15075; 4.82150
93.18643; 3.82132
93.22213; 2.82096
93.25784; 1.82033
93.29357; 0.81935
93.32933; -0.18207
93.36513; -1.18405
93.40096; -2.18671
93.43683; -3.19020
93.47276; -4.19470
93.50876; -5.20041
93.54483; -6.20756
93.58100; -7.21642
93.61722; -8.22723
93.65310; -9.24051
93.68742; -10.25568
93.71968; -11.26835
93.75108; -12.27476
93.78190; -13.27386
93.81204; -14.26421
93.84134; -15.24480
93.86972; -16.21509
93.89739; -17.17525
93.92518; -18.12633
93.95682; -19.07014
93.99601; -20.00950
94.05208; -20.94594
94.15682; -21.87251
94.34054; -22.77627
94.57778; -23.65280
94.83051; -24.50657
95.11377; -25.33153
95.45314; -26.11407
95.84613; -26.84886
96.28600; -27.53344
96.75846; -28.17914
97.27795; -28.79403
97.85915; -29.37417
98.48597; -29.93101
99.14884; -30.47593
99.85903; -30.99089
100.62463; -31.45137
101.42885; -31.87051
102.25400; -32.27316
103.09206; -32.67344
103.93821; -33.08154
104.79354; -33.49583
105.66331; -33.91495
106.55075; -34.34247
107.45521; -34.77904
108.37474; -35.22378
109.30581; -35.67479
110.24381; -36.12961
111.18348; -36.58551
112.11935; -37.03971
113.04616; -37.48997
113.95976; -37.93527
114.85954; -38.37520
115.74618; -38.80869
116.61941; -39.23524
117.47979; -39.65498
118.32840; -40.06832
119.16694; -40.47613
119.99775; -40.87983
120.82368; -41.28144
121.64750; -41.68483
122.45848; -42.11777
123.24312; -42.59958
124.00784; -43.10869
124.74236; -43.65087
125.42545; -44.24176
126.06025; -44.86546
126.65246; -45.50867
127.18401; -46.18149
127.64371; -46.88427
128.05042; -47.59800
128.42030; -48.31869
128.73379; -49.06859
128.97454; -49.85334
129.16157; -50.65918
129.31532; -51.47956
129.42094; -52.31463
129.44477; -53.15919
129.39841; -54.00363
129.28882; -54.84117
129.08946; -55.65690
128.80157; -56.44113
128.44395; -57.20633
128.02966; -57.96694
127.56418; -58.72585
127.05363; -59.48664
126.50943; -60.25531
125.94840; -61.04200
125.38603; -61.85606
124.81798; -62.69067
124.23960; -63.53840
123.65840; -64.39687
123.08206; -65.25671
122.51068; -66.11271
121.94165; -66.96614
121.37392; -67.81875
120.80891; -68.67119
120.25091; -69.51796
119.70118; -70.35433
119.15930; -71.18010
118.62551; -71.99427
118.09789; -72.79754
117.57171; -73.59303
117.04350; -74.38093
116.49891; -75.14902
115.92595; -75.88552
115.33641; -76.59718
114.73872; -77.29080
114.12149; -77.95563
113.46041; -78.56322
