# inner_x; inner_y
-1.48437; 3.32052
2.88371; 2.87192
2.09237; 2.66271
3.02656; 2.29139
3.93498; 2.01431
4.91092; 1.80544
5.88977; 1.68594
6.88396; 1.56972
7.88533; 1.47727
8.89297; 1.40388
9.90656; 1.31011
10.92572; 1.23748
11.93924; 1.19521
12.94254; 1.17027
13.94145; 1.17915
14.93801; 1.18034
15.93320; 1.19773
16.92787; 1.20517
17.92285; 1.22350
18.91908; 1.26881
19.91807; 1.30766
20.92152; 1.31762
21.92835; 1.33144
22.93677; 1.36180
23.94682; 1.35837
24.95773; 1.33825
25.96852; 1.35004
26.97820; 1.33603
27.98573; 1.34274
28.99009; 1.34373
29.99014; 1.33813
30.98478; 1.31029
31.97390; 1.30294
32.95885; 1.28159
33.94082; 1.27211
34.92120; 1.24910
35.90143; 1.23138
36.88297; 1.22600
37.86736; 1.22140
38.85634; 1.21605
39.85311; 1.15086
40.86053; 1.11367
41.87415; 1.04840
42.88976; 0.93074
43.90845; 0.85696
44.92879; 0.76820
45.94696; 0.70255
46.96501; 0.67477
47.94605; 0.65217
48.84286; 0.65675
49.71868; 0.70881
50.62935; 0.77617
51.55478; 0.97635
52.47602; 1.07667
53.31397; 1.08818
54.11944; 1.28453
55.01868; 1.45568
55.93114; 1.62540
56.75769; 1.82928
57.45732; 2.03297
58.07314; 2.31148
58.65735; 2.52220
59.18652; 2.82306
59.83189; 3.25618
60.47304; 3.72778
60.93575; 4.12280
61.34575; 4.57437
61.84173; 5.15787
62.33620; 5.82716
62.78975; 6.55977
63.18747; 7.25209
63.51846; 7.75797
63.69461; 8.20247
63.80852; 8.73765
63.91313; 9.44757
64.00564; 10.25252
64.11106; 11.10319
64.17910; 11.97567
64.20621; 12.70030
64.15897; 13.35557
64.05257; 14.16656
63.89119; 15.09691
63.65147; 16.07364
63.38300; 17.04235
63.12118; 17.99634
62.80215; 18.95131
62.47015; 19.89872
62.14361; 20.84457
61.81070; 21.78609
61.46700; 22.72342
61.11990; 23.65873
60.76118; 24.59181
60.41679; 25.53166
60.08587; 26.48272
59.79229; 27.43916
59.48218; 28.38715
59.17768; 29.33680
58.88600; 30.29047
58.60965; 31.24875
58.31319; 32.20559
58.03750; 33.16759
57.79197; 34.13556
57.55666; 35.10199
57.33305; 36.06463
57.11252; 37.03284
56.89113; 38.00931
56.68108; 38.98957
56.45272; 39.96791
56.22413; 40.94687
56.00469; 41.93147
55.81982; 42.92255
55.63833; 43.97605
55.47992; 45.16169
55.37976; 46.36302
55.33012; 47.45038
55.29366; 48.58673
55.32915; 49.93673
55.50679; 51.27546
55.70447; 52.53646
56.05799; 53.88956
56.55297; 55.22287
57.11687; 56.37362
57.75995; 57.54354
58.61073; 58.73786
59.54756; 59.75438
60.44537; 60.62621
61.40341; 61.42690
62.46095; 62.23342
63.60350; 62.91650
64.69456; 63.47092
65.69940; 64.00123
66.67803; 64.46611
67.67992; 64.92821
68.73330; 65.34621
69.75237; 65.77175
70.81219; 66.13233
72.00029; 66.53752
73.36187; 66.85790
74.64716; 67.03165
75.73070; 67.15313
76.81743; 67.23616
78.04966; 67.28036
79.27254; 67.23091
