# traj_x; traj_y
-0.01507; -0.50344
0.93713; -0.53533
2.00131; -0.53155
3.02251; -0.49877
4.04003; -0.46041
5.04691; -0.42164
6.04733; -0.38273
7.04234; -0.34380
8.03337; -0.30487
9.02146; -0.26590
10.00759; -0.22681
10.99271; -0.18753
11.97785; -0.14802
12.96421; -0.10838
13.95327; -0.06919
14.94685; -0.03236
15.94754; 0.00077
16.95593; 0.03452
17.97077; 0.07443
18.99052; 0.12493
20.01325; 0.18984
21.03671; 0.27286
22.05824; 0.37776
23.07482; 0.50804
24.08305; 0.66524
25.07930; 0.84701
26.06019; 1.04874
27.02295; 1.26613
27.96562; 1.49568
28.88722; 1.73480
29.78795; 1.98237
30.67529; 2.23922
31.55910; 2.50457
32.44349; 2.77744
33.33168; 3.05754
34.22605; 3.34462
35.12824; 3.63836
36.03924; 3.93824
36.95932; 4.24407
37.88829; 4.55536
38.82594; 4.87069
39.77188; 5.18833
40.72560; 5.50630
41.68649; 5.82234
42.65392; 6.13400
43.62722; 6.43874
44.60600; 6.73394
45.58931; 7.01588
46.57555; 7.28042
47.56322; 7.52340
48.55092; 7.74049
49.53739; 7.92714
50.52153; 8.07854
51.50234; 8.18956
52.47885; 8.25475
53.44999; 8.26847
54.41454; 8.22516
55.37108; 8.11972
56.31822; 7.94927
57.25534; 7.71173
58.17913; 7.40535
59.07466; 7.03283
59.92397; 6.60095
60.71106; 6.12063
61.42321; 5.60613
62.05263; 5.07260
62.59871; 4.53470
63.06943; 3.99854
63.49166; 3.43934
63.88646; 2.82894
64.24973; 2.15991
64.56961; 1.43053
64.82937; 0.64624
65.01091; -0.18087
65.09615; -1.03286
65.06657; -1.89221
64.90244; -2.74249
64.57923; -3.55633
64.12869; -4.32232
63.61770; -5.05903
63.08706; -5.79052
62.57640; -6.55309
62.03846; -7.32227
61.43198; -8.05963
60.75667; -8.75149
60.02482; -9.39601
59.24965; -9.99482
58.44318; -10.55081
57.61603; -11.06729
56.77738; -11.54746
55.93328; -11.99483
55.08494; -12.41443
54.23220; -12.81083
53.37434; -13.18775
52.51032; -13.54822
51.63898; -13.89459
50.75920; -14.22869
49.86995; -14.55182
48.97045; -14.86489
48.06014; -15.16843
47.13873; -15.46272
46.20622; -15.74774
45.26289; -16.02333
44.30927; -16.28916
43.34614; -16.54481
42.37441; -16.78981
41.39476; -17.02345
40.40788; -17.24500
39.41457; -17.45373
38.41576; -17.64885
37.41243; -17.82953
36.40563; -17.99495
35.39639; -18.14430
34.38577; -18.27684
33.37478; -18.39190
32.36436; -18.48901
31.35534; -18.56797
30.34849; -18.62905
29.34426; -18.67337
28.34165; -18.70293
27.33957; -18.71939
26.33798; -18.72393
25.33680; -18.71738
24.33595; -18.70082
23.33536; -18.67562
22.33496; -18.64310
21.33471; -18.60462
20.33455; -18.56152
19.33444; -18.51516
18.33437; -18.46695
17.33429; -18.41831
16.33420; -18.37074
15.33407; -18.32578
14.33390; -18.28505
13.33368; -18.25019
12.33341; -18.22243
11.33312; -18.20147
10.33282; -18.18420
9.33255; -18.16713
8.33230; -18.14954
7.33207; -18.13178
6.33187; -18.11397
5.33167; -18.09614
