# x_m,y_m,w_tr_right_m,w_tr_left_m
1.507850614,0.110913197,4.075272382,4.015312551
1.695509504,0.109158698,4.013272928,4.00514059
1.89414556,0.114034793,4.055401929,4.005388703
2.104753042,0.118395875,4.012500572,4.071296245
2.33012428,0.110347654,4.018969974,4.086302481
2.563136944,0.108907646,4.017953193,4.037774232
2.805929828,0.119815888,4.079254282,4.005681413
3.059099875,0.116193931,4.069453175,4.055223912
3.320686038,0.110640074,4.078759125,4.032337593
3.586340218,0.122775019,4.009922315,4.035529402
3.858582397,0.130752263,4.003104736,4.001423466
4.135291193,0.13986494,4.067651984,4.053361342
4.423433451,0.151884729,4.079558141,4.094008665
4.739157845,0.169853279,4.031921973,4.025750138
5.050215646,0.189380137,4.046076414,4.011195616
5.34566223,0.201332579,4.075344582,4.081639128
5.645456396,0.217113562,4.001470983,4.045414011
5.94664876,0.233172338,4.00167859,4.04204171
6.250764592,0.236304807,4.054038156,4.072448759
6.555801169,0.237510745,4.001438758,4.065477704
6.863986989,0.238792321,4.09713151,4.055434717
7.176382557,0.242703226,4.066140174,4.064196259
7.489584442,0.259236223,4.097959245,4.036356554
7.811760722,0.272531814,4.076515482,4.080554847
8.131597342,0.28299043,4.020444112,4.050427719
8.454831545,0.296659208,4.080589916,4.010910384
8.95678584,0.299503389,4.011197509,4.04264467
9.469706785,0.310576113,4.089539405,4.018724408
9.999605319,0.333599056,4.050549081,4.058145831
10.52463671,0.350546329,4.071944143,4.024774105
11.08925155,0.382406622,4.080175528,4.081880587
11.67267809,0.415327389,4.072412689,4.034328118
12.27742121,0.446091785,4.00429996,4.097983362
12.89662505,0.489992348,4.067552685,4.044868291
13.52265898,0.519952211,4.037220475,4.081970837
14.16319041,0.568690249,4.036605239,4.043695777
14.84618723,0.637845873,4.093456674,4.018093091
15.53255129,0.721070899,4.018381246,4.023323937
16.21012758,0.804181981,4.01343116,4.037893972
16.89850126,0.872122165,4.042978396,4.051988876
17.59135874,0.968670444,4.041226419,4.042040923
18.30751814,1.076615524,4.032342618,4.034467361
19.04768081,1.174877576,4.035989149,4.016416298
19.7715391,1.267437339,4.058585801,4.01823506
20.5000847,1.348456086,4.082385815,4.076339993
21.2334141,1.409973423,4.03906407,4.079144118
21.97177851,1.500276437,4.009412229,4.052206255
22.72190109,1.604828657,4.077139568,4.084508779
23.47839338,1.697156246,4.010511299,4.080568025
24.23527806,1.793005038,4.076501225,4.085463772
24.98699607,1.910394618,4.011035512,4.061561583
25.74230344,2.028047104,4.091539969,4.097755564
26.49827524,2.145080502,4.028011094,4.007446964
27.25517748,2.268013293,4.012227021,4.013182775
28.01095548,2.397590273,4.072334626,4.013226127
28.76689159,2.525882904,4.05196537,4.001894612
29.52462398,2.646728022,4.048361488,4.072080224
30.28679557,2.792015219,4.015142787,4.06630214
31.04296148,2.945889109,4.054945855,4.058644109
31.81328459,3.095986088,4.044628754,4.032346912
32.56651368,3.239490262,4.024171812,4.095858678
33.3171962,3.401721431,4.074552229,4.099282697
34.06323249,3.561668984,4.039541177,4.045507508
34.79334541,3.713171549,4.082610326,4.043890633
35.52814505,3.870696914,4.002567191,4.072385622
36.28117177,4.039030581,4.065419699,4.066712757
37.03400277,4.197028112,4.087400521,4.063865316
37.78799379,4.354439655,4.012574373,4.023531518
38.54241975,4.52251029,4.059379317,4.081484816
39.29922101,4.696530411,4.026234052,4.043663747
40.05618336,4.881833732,4.024180844,4.03719498
40.81120119,5.069978957,4.011466642,4.066217572
41.56653594,5.255398809,4.009741827,4.067101765
42.31330589,5.450958924,4.023705984,4.03626804
43.06830357,5.63674614,4.08924275,4.01248026
43.82044333,5.822994066,4.009965075,4.028544632
44.61769213,6.029532625,4.06397002,4.091215918
45.39810872,6.217597531,4.059660347,4.015861122
46.18164823,6.40017217,4.028302214,4.037559887
46.94764919,6.592750996,4.088492062,4.085802276
47.70006843,6.744619371,4.009958287,4.005160528
48.44249137,6.911712451,4.053314858,4.043094858
49.17827233,7.078775837,4.036377395,4.083134455
49.91005649,7.261879668,4.097226446,4.085704326
50.64237733,7.453102514,4.090761911,4.042980738
51.37784541,7.62942604,4.029166743,4.057023346
52.08593189,7.794411485,4.066886574,4.007905955
52.80208849,7.964797544,4.084008116,4.022245937
53.53949584,8.139599204,4.090893783,4.087731933
54.27512058,8.341035013,4.000852663,4.046585089
55.02132238,8.529114602,4.09632725,4.066779283
55.74662657,8.701606109,4.037042374,4.070234591
56.44627409,8.902364789,4.072024644,4.008847828
57.16169379,9.147262919,4.026989357,4.089817309
57.8607029,9.38711166,4.012323825,4.089318623
58.54826911,9.662259943,4.043327241,4.030607488
59.22592062,9.915581238,4.017348126,4.074728472
59.88446249,10.17377776,4.047818042,4.088876207
