# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,3.285302304,3.296474224
0.485479,0,3.251591642,3.270475747
0.969632,0.00049,3.263846149,3.250017073
1.454693,0.001399,3.25230857,3.277043916
1.939336,0.003215,3.254856589,3.260386531
2.424469,0.006359,3.291172891,3.260964179
2.909184,0.01041,3.284741431,3.266290313
3.393899,0.014462,3.265854974,3.254797471
3.878195,0.019422,3.297511102,3.287376683
4.363401,0.0248,3.251722304,3.287425448
4.848606,0.030178,3.271937218,3.277164972
5.332975,0.037373,3.269077923,3.266906616
5.817762,0.04366,3.288275839,3.291616683
6.302131,0.050855,3.289759995,3.277628609
6.787408,0.058468,3.25934363,3.297877156
7.271777,0.065663,3.27448822,3.294641666
7.756636,0.074184,3.27227931,3.267825181
8.241913,0.081798,3.282315651,3.277320095
8.725864,0.089901,3.285468242,3.267334088
9.210723,0.098422,3.287734334,3.28114014
9.695582,0.106944,3.263801254,3.289831234
10.180441,0.115465,3.283985134,3.287293745
10.66481,0.12266,3.2827549,3.256276812
11.149669,0.131182,3.258130587,3.2911197
11.634947,0.138795,3.255949884,3.251257525
12.119316,0.14599,3.274918203,3.270721444
12.603685,0.153185,3.297987198,3.286570373
13.088472,0.159471,3.267019286,3.2890687
13.572841,0.166666,3.279263388,3.268364296
14.058046,0.172044,3.261190597,3.287243393
14.543251,0.177423,3.287563353,3.294613359
15.027548,0.182383,3.262754756,3.262130169
15.512263,0.186434,3.275297853,3.256479849
15.996978,0.190486,3.284953836,3.261253394
16.482111,0.193629,3.294545163,3.267500696
16.966754,0.195446,3.297964571,3.264354231
17.451815,0.196354,3.277360776,3.2963744
17.936876,0.197263,3.256931222,3.252565688
18.421446,0.196845,3.2574647,3.279633338
18.906435,0.195518,3.262875413,3.258144945
19.390934,0.192865,3.292035863,3.291920288
19.875851,0.189304,3.262714109,3.258378047
20.360277,0.184416,3.290714241,3.275110031
20.845122,0.178619,3.262176248,3.299966474
21.329476,0.171497,3.296463181,3.267770358
21.815157,0.163883,3.267499188,3.252353885
22.299512,0.156761,3.259829763,3.260683029
22.783866,0.149638,3.262554193,3.269891956
23.269201,0.145168,3.280802234,3.266683409
23.75321,0.141188,3.273664442,3.261480127
24.238199,0.139862,3.267582975,3.296806009
24.722842,0.141679,3.291541431,3.284159439
25.208047,0.147057,3.279263205,3.29810569
25.692488,0.156487,3.27748618,3.271898659
26.177563,0.171713,3.295859683,3.297016833
26.661874,0.190991,3.264291951,3.250291716
27.145984,0.217882,3.287860011,3.280515352
27.629819,0.250151,3.287686455,3.290053788
28.112544,0.289615,3.269022292,3.261649077
28.595068,0.336692,3.278391082,3.296623434
29.076899,0.390056,3.253792714,3.288163139
29.558038,0.449706,3.252697506,3.291322477
30.038485,0.515643,3.276539878,3.278673179
30.517822,0.588775,3.288958362,3.289629083
30.995976,0.666867,3.296700534,3.26645206
31.47302,0.752154,3.25649531,3.261173099
31.949791,0.842819,3.278441183,3.265619317
32.42496,0.939352,3.273469532,3.279226174
32.898111,1.042663,3.250595103,3.291495707
33.370152,1.153168,3.266856132,3.264523125
33.841083,1.270868,3.258109115,3.27012772
34.308668,1.395835,3.289714227,3.293102865
34.775634,1.529324,3.265560752,3.280736978
35.239254,1.67008,3.276426657,3.299559389
35.700438,1.818521,3.258282436,3.260184944
36.158766,1.975556,3.280099097,3.291360454
36.615076,2.139367,3.263148564,3.283793081
37.068532,2.311772,3.282703955,3.262447474
37.518642,2.491444,3.284460725,3.273789281
37.966733,2.677893,3.28740758,3.269953761
38.410571,2.87119,3.27252708,3.279971912
38.851972,3.072173,3.254191069,3.290026138
39.290446,3.279515,3.261448848,3.255253439
39.725993,3.493215,3.295666868,3.29107211
40.157704,3.712856,3.257618901,3.292054317
40.586489,3.938855,3.291290849,3.267725312
41.012765,4.170305,3.276917122,3.271503473
41.435205,4.407695,3.299806736,3.278611961
41.855137,4.650536,3.253908776,3.285041237
42.272487,4.896591,3.272133913,3.287123488
42.689838,5.142647,3.255332639,3.287894208
43.108515,5.388213,3.298094904,3.269456438
43.529283,5.629237,3.250231711,3.271465124
43.952141,5.865719,3.288745523,3.297817233
44.380508,6.092626,3.290865161,3.278648568
44.813056,6.31045,3.293434735,3.292486103
45.251112,6.5187,3.254221792,3.263817266
45.693767,6.716958,3.269989132,3.281116181
46.14144,6.904315,3.26299352,3.279418084
46.592387,7.08217,3.290003424,3.298173423
47.047442,7.248707,3.271570691,3.254295135
47.505771,7.405741,3.29553238,3.275024945
47.967791,7.552366,3.259092351,3.276079484
