# x_m,y_m,w_tr_right_m,w_tr_left_m
495,0,3.120259876,3.140161882
494.9727681,1.012214129,3.135095054,3.117513602
494.8910756,2.024316886,3.128273047,3.122934126
494.7549312,3.036196913,3.129236818,3.147554833
494.5643502,4.047742874,3.11724573,3.106649169
494.3193533,5.05884347,3.135211662,3.103515362
494.0199676,6.069387454,3.108043184,3.135304072
493.666226,7.079263637,3.100075697,3.146585139
493.2581675,8.088360905,3.128100043,3.105445046
492.7958368,9.096568228,3.127324206,3.132584842
492.279285,10.10377468,3.127541388,3.107303107
491.7085688,11.10986943,3.134726838,3.134698146
491.083751,12.11474179,3.146374705,3.131280681
490.4049004,13.11828119,3.147210515,3.10218617
489.6720917,14.12037722,3.145163166,3.139896191
488.8854055,15.12091962,3.130205314,3.149310535
488.0449283,16.11979829,3.146310488,3.121837241
487.1507527,17.11690334,3.105847313,3.117237443
486.2029769,18.11212506,3.117040075,3.102440306
485.2017054,19.10535394,3.101836522,3.111260145
484.1470482,20.0964807,3.126918493,3.129050646
483.0391215,21.0853963,3.13686144,3.130068767
481.878047,22.07199191,3.109061125,3.11262592
480.6639526,23.05615899,3.121312333,3.132717083
479.3969718,24.03778926,3.104908398,3.10300478
478.0772441,25.0167747,3.115161078,3.147025305
476.7049147,25.99300761,3.139006131,3.104626529
475.2801344,26.96638056,3.126848021,3.116698897
473.8030602,27.93678647,3.138453572,3.132552482
472.2738546,28.90411855,3.131947182,3.125195539
470.6926857,29.86827038,3.144657412,3.126546257
469.0597275,30.82913587,3.103034519,3.118956187
467.3751598,31.7866093,3.108788577,3.138445371
465.6391679,32.74058533,3.120816593,3.114125563
463.8519427,33.69095898,3.136989592,3.132463637
462.013681,34.63762569,3.14464774,3.146109191
460.124585,35.5804813,3.101292665,3.116533594
458.1848625,36.51942208,3.106878151,3.140671956
456.194727,37.4543447,3.121204372,3.13938178
454.1543974,38.38514631,3.138228339,3.106216124
452.0640982,39.31172449,3.126221859,3.107869377
449.9240595,40.23397729,3.137724068,3.120749914
447.7345166,41.15180324,3.108489922,3.13436664
445.4957106,42.06510135,3.13363635,3.132885195
443.2078876,42.97377113,3.130932637,3.133998875
440.8712995,43.87771261,3.100342304,3.100469334
438.4862034,44.77682632,3.137011276,3.106430479
436.0528616,45.67101333,3.149586774,3.138195319
433.5715419,46.56017528,3.106409068,3.142095775
431.0425173,47.44421431,3.118029138,3.13734743
428.4660661,48.32303316,3.109553663,3.147226173
425.8424717,49.19653514,3.135719883,3.145985711
423.1720229,50.06462414,3.108893351,3.111153715
420.4550134,50.92720464,3.149342437,3.125488359
417.6917422,51.78418173,3.100849956,3.13938701
414.8825133,52.63546113,3.101989823,3.126122596
412.0276359,53.48094917,3.140216527,3.130869597
409.127424,54.32055283,3.142989614,3.127912035
406.1821967,55.15417972,3.128312626,3.136549601
403.1922782,55.98173812,3.137705634,3.103170106
400.1579973,56.80313697,3.125975738,3.124639326
397.0796879,57.61828591,3.129295224,3.111496202
393.9576888,58.42709524,3.109536651,3.116869554
390.7923434,59.22947596,3.125172073,3.127581905
387.584,60.02533981,3.102545732,3.137184284
384.3330117,60.8145992,3.102804787,3.120615277
381.039736,61.5971673,3.11675987,3.125380917
377.7045354,62.37295801,3.131545238,3.106448619
374.3277769,63.14188596,3.144598891,3.110741783
370.9098319,63.90386655,3.133669831,3.114641482
367.4510766,64.65881595,3.134263352,3.122498292
363.9518914,65.40665108,3.13478724,3.112014106
360.4126615,66.14728967,3.139991572,3.113163174
