# x_m,y_m,w_tr_right_m,w_tr_left_m,grad_tan
0,0,4,4,0
0,-1.87335,4,4,0
0,-3.7467,4,4,0
0,-5.62005,4,4,0
0,-7.4934,4,4,0
0,-9.36675,4,4,0
0,-11.2401,4,4,0
0,-13.11345,4,4,0
0,-14.9868,4,4,0
0,-16.86,4,4,0
0,-18.7335,4,4,0
0,-20.607,4,4,0
0,-22.4805,4,4,0
0,-24.354,4,4,0
0,-26.2275,4,4,0
0,-28.0995,4,4,0
0,-29.973,4,4,0
0,-31.8465,4,4,0
0,-33.72,4,4,0
0,-35.5935,4,4,0
0,-37.467,4,4,0
0,-39.3405,4,4,0
0,-41.214,4,4,0
0,-43.0875,4,4,0
0,-44.961,4,4,0
0,-46.833,4,4,0
0,-48.7065,4,4,0
0,-50.58,4,4,0
0,-52.4535,4,4,0
0,-54.327,4,4,0
0,-56.2005,4,4,0
0,-58.074,4,4,0
0,-59.9475,4,4,0
0,-61.821,4,4,0
0,-63.6945,4,4,0
0,-65.5665,4,4,0
0,-67.44,4,4,0
0,-69.3135,4,4,0
0,-71.187,4,4,0
0,-73.0605,4,4,0
0,-74.934,4,4,0
0,-76.8075,4,4,0
0,-78.681,4,4,0
0,-80.5545,4,4,0
0,-82.428,4,4,0
0,-84.3,4,4,0
0,-86.1735,4,4,0
0,-88.047,4,4,0
0,-89.9205,4,4,0
0,-91.794,4,4,0
0,-93.6675,4,4,0
0,-95.541,4,4,0
0,-97.4145,4,4,0
0,-99.288,4,4,0
0,-101.16,4,4,0
0,-103.0335,4,4,0
0,-104.907,4,4,0
0,-106.7805,4,4,0
0,-108.654,4,4,0
0,-110.5275,4,4,0
0,-112.401,4,4,0
0,-114.2745,4,4,0
0,-116.148,4,4,0
0,-118.0215,4,4,0
0,-119.8935,4,4,0
0.00216765,-121.767,4,4,0
0.01353255,-123.6405,4,4,0
0.0438255,-125.514,4,4,0
0.102777,-127.386,4,4,0
0.2001,-129.2565,4,4,0
0.345465,-131.124,4,4,0
0.548445,-132.987,4,4,0
0.81849,-134.8395,4,4,0
1.16481,-136.68,4,4,0
1.5963,-138.5025,4,4,0
2.1213,-140.301,4,4,0
2.7477,-142.065,4,4,0
3.48225,-143.787,4,4,0
4.33095,-145.4565,4,4,0
5.29815,-147.0585,4,4,0
6.38685,-148.581,4,4,0
7.59765,-150.015,4,4,0
8.92905,-151.32,4,4,0
10.37715,-152.505,4,4,0
11.9346,-153.54,4,4,0
13.5906,-154.41,4,4,0
15.3315,-155.1,4,4,0
17.1375,-155.58,4,4,0
18.99,-155.85,4,4,0
20.859,-155.88,4,4,0
22.7205,-155.7,4,4,0
24.5505,-155.31,4,4,0
26.3325,-154.74,4,4,0
28.053,-154.005,4,4,0
29.7045,-153.12,4,4,0
31.281,-152.115,4,4,0
32.7825,-150.99,4,4,0
34.2105,-149.7855,4,4,0
35.5695,-148.497,4,4,0
36.8655,-147.1455,4,4,0
38.1075,-145.743,4,4,0
39.303,-144.3015,4,4,0
40.4655,-142.8315,4,4,0
41.6025,-141.3435,4,4,0
42.7275,-139.845,4,4,0
43.848,-138.345,4,4,0
44.97,-136.8435,4,4,0
46.0905,-135.3435,4,4,0
47.211,-133.842,4,4,0
48.336,-132.3435,4,4,0
49.473,-130.854,4,4,0
50.6355,-129.3855,4,4,0
51.837,-127.95,4,4,0
53.091,-126.558,4,4,0
54.408,-125.226,4,4,0
55.7955,-123.969,4,4,0
57.261,-122.805,4,4,0
58.8075,-121.749,4,4,0
60.4275,-120.8115,4,4,0
62.1135,-119.997,4,4,0
63.8565,-119.313,4,4,0
65.6445,-118.7595,4,4,0
67.47,-118.3425,4,4,0
69.321,-118.0635,4,4,0
71.187,-117.9225,4,4,0
73.059,-117.9225,4,4,0
74.9265,-118.0635,4,4,0
76.776,-118.3425,4,4,0
78.6015,-118.761,4,4,0
80.391,-119.313,4,4,0
82.1325,-119.9985,4,4,0
83.8185,-120.813,4,4,0
85.4385,-121.7505,4,4,0
86.985,-122.8065,4,4,0
88.446,-123.975,4,4,0
89.817,-125.25,4,4,0
91.0875,-126.6255,4,4,0
92.2545,-128.091,4,4,0
93.3045,-129.639,4,4,0
94.2375,-131.262,4,4,0
95.046,-132.951,4,4,0
95.73,-134.694,4,4,0
96.2925,-136.479,4,4,0
96.7515,-138.2955,4,4,0
97.113,-140.133,4,4,0
97.398,-141.984,4,4,0
97.6215,-143.844,4,4,0
97.7925,-145.7085,4,4,0
97.932,-147.5775,4,4,0
98.0535,-149.4465,4,4,0
98.1735,-151.32,4,4,0
98.307,-153.18,4,4,0
98.4705,-155.055,4,4,0
98.6775,-156.915,4,4,0
98.943,-158.76,4,4,0
99.285,-160.605,4,4,0
99.717,-162.435,4,4,0
100.251,-164.22,4,4,0
100.902,-165.975,4,4,0
101.6775,-167.685,4,4,0
102.5955,-169.32,4,4,0
103.653,-170.865,4,4,0
104.8575,-172.29,4,4,0
106.2075,-173.58,4,4,0
107.6985,-174.72,4,4,0
109.3155,-175.65,4,4,0
111.036,-176.385,4,4,0
112.8345,-176.895,4,4,0
114.6825,-177.18,4,4,0
116.5515,-177.225,4,4,0
118.413,-177.045,4,4,0
