# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,4,4
1.22E-16,2,4,4
2.45E-16,4,4,4
3.67E-16,6,4,4
4.90E-16,8,4,4
6.12E-16,10,4,4
7.35E-16,12,4,4
8.57E-16,14,4,4
9.80E-16,16,4,4
1.10E-15,18,4,4
1.22E-15,20,4,4
1.35E-15,22,4,4
1.47E-15,24,4,4
1.59E-15,26,4,4
1.71E-15,28,4,4
1.84E-15,30,4,4
1.96E-15,32,4,4
2.08E-15,34,4,4
2.20E-15,36,4,4
2.33E-15,38,4,4
2.45E-15,40,4,4
2.57E-15,42,4,4
2.69E-15,44,4,4
2.82E-15,46,4,4
2.94E-15,48,4,4
3.06E-15,50,4,4
3.18E-15,52,4,4
3.31E-15,54,4,4
3.43E-15,56,4,4
3.55E-15,58,4,4
3.67E-15,60,4,4
3.80E-15,62,4,4
3.92E-15,64,4,4
4.04E-15,66,4,4
4.16E-15,68,4,4
4.29E-15,70,4,4
4.41E-15,72,4,4
4.53E-15,74,4,4
4.65E-15,76,4,4
4.78E-15,78,4,4
4.90E-15,80,4,4
5.02E-15,82,4,4
5.14E-15,84,4,4
5.27E-15,86,4,4
5.39E-15,88,4,4
5.51E-15,90,4,4
5.63E-15,92,4,4
5.76E-15,94,4,4
5.88E-15,96,4,4
6.00E-15,98,4,4
6.12E-15,100,4,4
-0.062448,101.25,4,4
-0.24917,102.48,4,4
-0.55829,103.69,4,4
-0.98674,104.87,4,4
-1.5302,105.99,4,4
-2.1833,107.06,4,4
-2.9395,108.05,4,4
-3.7912,108.97,4,4
-4.7299,109.79,4,4
-5.7462,110.52,4,4
-6.83,111.14,4,4
-7.9705,111.65,4,4
-9.1563,112.04,4,4
-10.375,112.32,4,4
-11.616,112.47,4,4
-13.616,112.47,4,4
-15.616,112.47,4,4
-17.616,112.47,4,4
-19.616,112.47,4,4
-21.616,112.47,4,4
-23.616,112.47,4,4
-25.616,112.47,4,4
-27.616,112.47,4,4
-29.616,112.47,4,4
-31.616,112.47,4,4
-32.864,112.41,4,4
-34.099,112.22,4,4
-35.31,111.91,4,4
-36.484,111.48,4,4
-37.609,110.94,4,4
-38.674,110.29,4,4
-39.669,109.53,4,4
-40.583,108.68,4,4
-41.407,107.74,4,4
-42.134,106.72,4,4
-42.756,105.64,4,4
-43.266,104.5,4,4
-43.66,103.31,4,4
-43.934,102.09,4,4
-44.084,100.85,4,4
-44.084,98.853,4,4
-44.084,96.853,4,4
-44.084,94.853,4,4
-44.084,92.853,4,4
-44.084,90.853,4,4
-44.084,88.853,4,4
-44.084,86.853,4,4
-44.084,84.853,4,4
-44.084,82.853,4,4
-44.084,80.853,4,4
-44.084,78.853,4,4
-44.084,76.853,4,4
-44.084,74.853,4,4
-44.084,72.853,4,4
-44.084,70.853,4,4
-44.084,68.853,4,4
-44.084,66.853,4,4
-44.084,64.853,4,4
-44.084,62.853,4,4
-44.084,60.853,4,4
-44.084,58.853,4,4
-44.084,56.853,4,4
-44.084,54.853,4,4
-44.084,52.853,4,4
-44.084,50.853,4,4
-44.084,48.853,4,4
-44.084,46.853,4,4
-44.084,44.853,4,4
-44.084,42.853,4,4
-44.084,40.853,4,4
-44.084,38.853,4,4
-44.084,36.853,4,4
-44.084,34.853,4,4
-44.084,32.853,4,4
-44.084,30.853,4,4
-44.084,28.853,4,4
-44.084,26.853,4,4
-44.084,24.853,4,4
-44.084,22.853,4,4
-44.084,20.853,4,4
-44.084,18.853,4,4
-44.084,16.853,4,4
-44.084,14.853,4,4
-44.084,12.853,4,4
-44.084,10.853,4,4
-44.084,8.8529,4,4
-44.084,6.8529,4,4
-44.084,4.8529,4,4
-44.084,2.8529,4,4
-44.084,0.8529,4,4
-44.022,-0.39502,4,4
-43.835,-1.6305,4,4
-43.526,-2.8411,4,4
-43.098,-4.0148,4,4
-42.554,-5.1399,4,4
-41.901,-6.2051,4,4
-41.145,-7.1998,4,4
-40.293,-8.114,4,4
-39.355,-8.9387,4,4
-38.338,-9.6655,4,4
-37.254,-10.287,4,4
-36.114,-10.798,4,4
-34.928,-11.192,4,4
-33.709,-11.465,4,4
-32.469,-11.616,4,4
-30.469,-11.616,4,4
-28.469,-11.616,4,4
-26.469,-11.616,4,4
-24.469,-11.616,4,4
-22.469,-11.616,4,4
-20.469,-11.616,4,4
-18.469,-11.616,4,4
-16.469,-11.616,4,4
-14.469,-11.616,4,4
-12.469,-11.616,4,4
-11.221,-11.553,4,4
-9.9853,-11.367,4,4
-8.7747,-11.057,4,4
-7.601,-10.629,4,4
-6.4759,-10.086,4,4
-5.4107,-9.4325,4,4
-4.416,-8.6763,4,4
-3.5017,-7.8246,4,4
-2.6771,-6.8859,4,4
-1.9503,-5.8696,4,4
-1.3286,-4.7857,4,4
-0.8182,-3.6453,4,4
-0.42421,-2.4595,4,4
-0.15057,-1.2404,4,4
