# outer_x; outer_y
-0.24016; -5.03323
2.30232; -5.83469
3.14675; -6.20776
4.08082; -6.48444
4.99947; -6.69410
5.95926; -6.81377
6.93936; -6.93010
7.93772; -7.02257
8.94604; -7.09595
9.95593; -7.18974
10.95779; -7.26246
11.95609; -7.30477
12.95639; -7.32972
13.95466; -7.32084
14.95079; -7.31965
15.94552; -7.30226
16.93988; -7.29482
17.93479; -7.27649
18.93106; -7.23119
19.92909; -7.19233
20.92903; -7.18238
21.93274; -7.16856
22.94043; -7.13820
23.95018; -7.14163
24.96075; -7.16175
25.97115; -7.14996
26.98047; -7.16397
27.98776; -7.15726
28.99211; -7.15627
29.99268; -7.16187
30.98867; -7.18971
31.97937; -7.19706
32.96568; -7.21841
33.94907; -7.22788
34.93087; -7.25090
35.91231; -7.26862
36.89459; -7.27399
37.87890; -7.27859
38.86622; -7.28395
39.85623; -7.34914
40.84864; -7.38633
41.84901; -7.45157
42.85883; -7.56920
43.87489; -7.64297
44.89541; -7.73173
45.92181; -7.79741
46.94911; -7.82521
48.01256; -7.84757
49.15762; -7.83742
50.31034; -7.77058
51.41326; -7.68761
52.46249; -7.47504
53.52145; -7.35879
54.67028; -7.30291
55.78134; -7.05142
56.80622; -6.85424
57.81228; -6.66383
58.87232; -6.40348
60.04007; -6.06514
61.22685; -5.58182
62.48192; -5.06876
63.69414; -4.38327
64.71991; -3.69776
65.71033; -2.96705
66.80473; -2.02579
67.78623; -0.97272
68.59813; 0.00024
69.30478; 0.96004
69.92146; 1.93499
70.53116; 2.97189
71.22740; 4.17715
71.78148; 5.58474
72.12292; 6.97106
72.32163; 8.20372
72.45835; 9.35717
72.58799; 10.47733
72.67062; 11.59615
72.70431; 12.88010
72.61224; 14.24556
72.45558; 15.44698
72.27209; 16.51483
72.03012; 17.50482
71.76052; 18.48012
71.49426; 19.45978
71.17619; 20.40923
70.84480; 21.35309
70.51920; 22.29354
70.18703; 23.23078
69.84389; 24.16487
69.49719; 25.09787
69.13881; 26.02891
68.79595; 26.95982
68.46895; 27.88773
68.17822; 28.82702
67.86837; 29.77341
67.56369; 30.72422
67.27177; 31.67934
66.99522; 32.63880
66.69859; 33.59667
66.42272; 34.55972
66.17682; 35.52998
65.93959; 36.50784
65.71168; 37.49590
65.48797; 38.48261
65.26583; 39.46347
65.05534; 40.44620
64.82678; 41.42568
64.59811; 42.40512
64.37994; 43.38234
64.19656; 44.36485
64.03656; 45.28743
63.92912; 46.08963
63.86316; 46.89399
63.82191; 47.82404
63.79283; 48.70566
63.81088; 49.37965
63.91654; 50.04012
64.01659; 50.75921
64.16614; 51.33851
64.36013; 51.86158
64.66230; 52.46001
64.94358; 52.99981
65.21981; 53.39277
65.61144; 53.79792
66.11428; 54.29269
66.67607; 54.75989
67.20402; 55.17982
67.80386; 55.52684
