# x_m,y_m,w_tr_right_m,w_tr_left_m
0.711666125,-0.259899201,4.25,4.25
0.68971289,-0.297302537,4.25,4.25
0.673375969,-0.330710635,4.25,4.25
0.663010102,-0.37077341,4.25,4.25
0.661787582,-0.391438996,4.25,4.25
0.665908956,-0.42397447,4.25,4.25
0.67076394,-0.4993237,4.25,4.25
0.681165364,-0.566028073,4.25,4.25
0.700080529,-0.611940037,4.25,4.25
0.777986182,-0.640788549,4.25,4.25
0.849967871,-0.691267247,4.25,4.25
0.886679653,-0.733133238,4.25,4.25
0.959141352,-0.785975019,4.25,4.25
1.038666087,-0.853028706,4.25,4.25
1.08942125,-0.905772387,4.25,4.25
1.139725024,-0.976407873,4.25,4.25
1.218360623,-1.097584205,4.25,4.25
1.280902479,-1.192518127,4.25,4.25
1.414965875,-1.29995941,4.25,4.25
1.533840064,-1.400325836,4.25,4.25
1.708708379,-1.492470271,4.25,4.25
1.922267414,-1.595036963,4.25,4.25
2.187805577,-1.70013093,4.25,4.25
2.40609524,-1.808925332,4.25,4.25
2.65360946,-1.894085362,4.25,4.25
2.971199599,-1.993432337,4.25,4.25
3.312913569,-2.090809324,4.25,4.25
3.690952238,-2.182386259,4.25,4.25
4.051904248,-2.269512825,4.25,4.25
4.461836589,-2.373058043,4.25,4.25
4.894444271,-2.441739338,4.25,4.25
5.345615721,-2.493662177,4.25,4.25
5.817059939,-2.53958359,4.25,4.25
6.316313181,-2.597421718,4.25,4.25
6.830691259,-2.660010525,4.25,4.25
7.362604022,-2.715508852,4.25,4.25
7.917530705,-2.762597768,4.25,4.25
8.488415079,-2.806879897,4.25,4.25
9.090637185,-2.851704684,4.25,4.25
9.658118754,-2.916182432,4.25,4.25
10.26013475,-2.959427977,4.25,4.25
10.92457293,-3.010317839,4.25,4.25
11.56825376,-3.04808002,4.25,4.25
12.21255581,-3.059884065,4.25,4.25
12.90034338,-3.080367005,4.25,4.25
13.60647957,-3.07756244,4.25,4.25
14.32350057,-3.066419827,4.25,4.25
15.04021975,-3.064079467,4.25,4.25
15.76069816,-3.052525233,4.25,4.25
16.47459358,-3.044994964,4.25,4.25
17.17814937,-3.041899588,4.25,4.25
17.8669592,-3.029178078,4.25,4.25
18.532327,-3.001985902,4.25,4.25
19.21906938,-2.964432615,4.25,4.25
19.9018386,-2.943613177,4.25,4.25
20.58518442,-2.941042844,4.25,4.25
21.26304274,-2.92370853,4.25,4.25
21.91784339,-2.918738635,4.25,4.25
22.57971747,-2.900392098,4.25,4.25
23.24669181,-2.877467511,4.25,4.25
23.91256316,-2.892037909,4.25,4.25
24.57899436,-2.907332056,4.25,4.25
25.2418553,-2.915262001,4.25,4.25
25.89788004,-2.899043989,4.25,4.25
26.5552498,-2.906119184,4.25,4.25
27.21472201,-2.919270284,4.25,4.25
27.87328423,-2.907806643,4.25,4.25
28.53271452,-2.902206875,4.25,4.25
29.17674142,-2.908213228,4.25,4.25
29.82841886,-2.910875735,4.25,4.25
30.46681526,-2.914538181,4.25,4.25
31.08981748,-2.919452941,4.25,4.25
31.71805609,-2.937310688,4.25,4.25
32.35537523,-2.958546065,4.25,4.25
32.99273361,-2.97253746,4.25,4.25
33.6351501,-2.973385796,4.25,4.25
34.27516092,-2.981857141,4.25,4.25
34.92203489,-3.000629177,4.25,4.25
35.57020618,-3.02170519,4.25,4.25
36.23064037,-3.016908448,4.25,4.25
36.86327272,-3.023255413,4.25,4.25
37.53544686,-3.024849669,4.25,4.25
38.19210761,-3.020841498,4.25,4.25
38.8488566,-3.046343587,4.25,4.25
39.50850842,-3.085916344,4.25,4.25
40.16294208,-3.104163547,4.25,4.25
40.82311309,-3.123004449,4.25,4.25
41.48707488,-3.157771245,4.25,4.25
42.14799009,-3.231091911,4.25,4.25
42.80955257,-3.314567048,4.25,4.25
43.47209787,-3.371265879,4.25,4.25
44.14119031,-3.406338581,4.25,4.25
44.81486688,-3.475836236,4.25,4.25
45.48948484,-3.522410364,4.25,4.25
46.16483136,-3.562358908,4.25,4.25
46.87304289,-3.572426255,4.25,4.25
47.5494906,-3.599768641,4.25,4.25
48.25375118,-3.595703187,4.25,4.25
48.92961494,-3.595537659,4.25,4.25
49.6235651,-3.545062471,4.25,4.25
50.29530565,-3.518727357,4.25,4.25
50.96089517,-3.467577146,4.25,4.25
51.62494259,-3.336675682,4.25,4.25
52.26991192,-3.209112494,4.25,4.25
52.95760651,-3.155050315,4.25,4.25
53.66008072,-3.152880397,4.25,4.25
54.33078693,-3.071076646,4.25,4.25
55.03828856,-2.884916543,4.25,4.25
55.72834801,-2.752062978,4.25,4.25
56.3732111,-2.638790016,4.25,4.25
57.0141625,-2.500464202,4.25,4.25
57.60590773,-2.341986383,4.25,4.25
58.21672213,-2.180114999,4.25,4.25
58.81104936,-1.980836534,4.25,4.25
59.37887816,-1.729824908,4.25,4.25
59.95826584,-1.489553116,4.25,4.25
60.53093337,-1.252352617,4.25,4.25
61.08091663,-0.9588522,4.25,4.25
61.62197177,-0.615902448,4.25,4.25
62.16396994,-0.250780751,4.25,4.25
62.68291269,0.123862572,4.25,4.25
63.17715919,0.50328473,4.25,4.25
63.66037429,0.921696819,4.25,4.25
64.11390258,1.331711036,4.25,4.25
64.53857001,1.810512908,4.25,4.25
64.91893018,2.250224646,4.25,4.25
65.32063445,2.725664922,4.25,4.25
65.67034892,3.191032668,4.25,4.25
66.0187844,3.687816332,4.25,4.25
66.31332223,4.160488506,4.25,4.25
66.61614229,4.680076053,4.25,4.25
66.92500851,5.207937786,4.25,4.25
67.19948385,5.687573017,4.25,4.25
67.48513682,6.191128353,4.25,4.25
67.70020714,6.780028395,4.25,4.25
67.85665337,7.425789519,4.25,4.25
68.01209702,8.020576425,4.25,4.25
68.10007177,8.553255382,4.25,4.25
68.15775828,9.156252155,4.25,4.25
68.24399246,9.789226906,4.25,4.25
68.31551763,10.42020818,4.25,4.25
68.37555573,11.04430039,4.25,4.25
68.41969467,11.66717753,4.25,4.25
68.45178467,12.29585786,4.25,4.25
68.45169164,12.93104466,4.25,4.25
68.4192539,13.56682463,4.25,4.25
68.33870885,14.20056741,4.25,4.25
68.26003733,14.82636522,4.25,4.25
68.1573496,15.45288933,4.25,4.25
68.02852453,16.08594448,4.25,4.25
67.86445602,16.71116841,4.25,4.25
67.68700653,17.33476019,4.25,4.25
67.50931966,17.97063807,4.25,4.25
67.33674398,18.61254745,4.25,4.25
67.13885455,19.20971091,4.25,4.25
66.92471697,19.8453336,4.25,4.25
66.69108047,20.48693115,4.25,4.25
66.46556465,21.14319467,4.25,4.25
66.24841619,21.79298976,4.25,4.25
66.02757772,22.44101077,4.25,4.25
65.79264778,23.08808739,4.25,4.25
65.55397769,23.73615915,4.25,4.25
65.32395332,24.38359545,4.25,4.25
65.07146812,25.02438677,4.25,4.25
64.81836543,25.66458822,4.25,4.25
64.58819974,26.31128082,4.25,4.25
64.35697751,26.95902368,4.25,4.25
64.14382014,27.61319205,4.25,4.25
63.9631516,28.27786922,4.25,4.25
63.72138835,28.96681087,4.25,4.25
63.48313156,29.65120375,4.25,4.25
63.27406265,30.34782042,4.25,4.25
63.05297422,31.03515264,4.25,4.25
62.84399577,31.7583898,4.25,4.25
62.63600349,32.44607573,4.25,4.25
62.4067293,33.11281459,4.25,4.25
62.20465185,33.80934135,4.25,4.25
62.0242247,34.53470537,4.25,4.25
61.84491915,35.26655687,4.25,4.25
61.68426028,35.97041191,4.25,4.25
61.53140661,36.69725197,4.25,4.25
61.37945353,37.43492596,4.25,4.25
61.21883509,38.18154434,4.25,4.25
61.06511009,38.8658191,4.25,4.25
60.93751933,39.57536621,4.25,4.25
60.78410421,40.28718831,4.25,4.25
60.60395899,40.97503901,4.25,4.25
60.4450163,41.65465621,4.25,4.25
60.27829928,42.33825779,4.25,4.25
60.1306559,43.05914955,4.25,4.25
60.00301979,43.75397758,4.25,4.25
59.87060089,44.4387545,4.25,4.25
59.78097936,45.11079768,4.25,4.25
59.68379262,45.79085002,4.25,4.25
59.63402362,46.45968989,4.25,4.25
59.59852084,47.11005511,4.25,4.25
59.57290146,47.76860179,4.25,4.25
59.55458644,48.40670975,4.25,4.25
59.53863444,49.03706947,4.25,4.25
59.57895976,49.63709849,4.25,4.25
59.66023005,50.20849429,4.25,4.25
59.74182154,50.76626587,4.25,4.25
59.83241145,51.35562935,4.25,4.25
59.93573914,51.9036662,4.25,4.25
60.09666979,52.45846247,4.25,4.25
60.29424049,53.04524796,4.25,4.25
60.51744344,53.60372327,4.25,4.25
60.74832647,54.09916318,4.25,4.25
61.01431526,54.58330246,4.25,4.25
61.28125867,55.09863294,4.25,4.25
61.58979894,55.59000676,4.25,4.25
61.93820536,56.05679586,4.25,4.25
62.30754878,56.46730924,4.25,4.25
62.70299049,56.89583125,4.25,4.25
63.15683718,57.35064018,4.25,4.25
63.6664842,57.78273623,4.25,4.25
64.1833403,58.21758642,4.25,4.25
64.69869273,58.61562276,4.25,4.25
65.24289263,58.986057,4.25,4.25
65.80682198,59.29438568,4.25,4.25
66.44741196,59.62770866,4.25,4.25
67.05054654,59.93963023,4.25,4.25
67.63389977,60.25917445,4.25,4.25
68.27071663,60.54739047,4.25,4.25
68.89062121,60.84357323,4.25,4.25
69.50047521,61.10215388,4.25,4.25
70.13742907,61.34215342,4.25,4.25
70.78134374,61.60722308,4.25,4.25
71.44272395,61.86904589,4.25,4.25
72.13206029,62.08716517,4.25,4.25
72.79436798,62.30225044,4.25,4.25
73.47344981,62.53377385,4.25,4.25
74.19881457,62.67108571,4.25,4.25
74.89040156,62.76486328,4.25,4.25
75.58420303,62.86494957,4.25,4.25
76.26232045,62.92900777,4.25,4.25
76.97048818,62.98621653,4.25,4.25
77.65071859,63.0272375,4.25,4.25
78.34947566,63.02652089,4.25,4.25
79.03474762,62.98866063,4.25,4.25
79.73832219,62.92996165,4.25,4.25
80.43683553,62.84979965,4.25,4.25
81.11006495,62.80354052,4.25,4.25
81.78942627,62.79263611,4.25,4.25
82.43752172,62.69906957,4.25,4.25
83.06038508,62.56737343,4.25,4.25
83.71711894,62.41200656,4.25,4.25
84.3898586,62.26512863,4.25,4.25
85.02502838,62.08330035,4.25,4.25
85.62367142,61.87029566,4.25,4.25
86.15475291,61.62329898,4.25,4.25
86.70153275,61.34802673,4.25,4.25
87.27079702,61.04026807,4.25,4.25
87.8311498,60.71888331,4.25,4.25
88.36663076,60.35544815,4.25,4.25
88.89343236,59.98516001,4.25,4.25
89.40872416,59.57407974,4.25,4.25
89.8823524,59.10250292,4.25,4.25
90.33639801,58.59386411,4.25,4.25
90.74771729,58.07810432,4.25,4.25
91.14449224,57.5555688,4.25,4.25
91.49820429,56.97796023,4.25,4.25
91.784888,56.39312281,4.25,4.25
92.08863027,55.84774976,4.25,4.25
92.34809082,55.27072978,4.25,4.25
92.60730097,54.68760414,4.25,4.25
92.80557159,54.04246463,4.25,4.25
92.99342138,53.41919212,4.25,4.25
93.15617742,52.8057207,4.25,4.25
93.30861216,52.18149213,4.25,4.25
93.44012088,51.52445588,4.25,4.25
93.5512618,50.81095365,4.25,4.25
93.65546951,50.11926872,4.25,4.25
93.72654984,49.38788617,4.25,4.25
93.75401418,48.65233734,4.25,4.25
93.78038269,47.92451502,4.25,4.25
93.79381037,47.19103149,4.25,4.25
93.77704676,46.43228422,4.25,4.25
93.79238256,45.68922676,4.25,4.25
93.78476257,44.95649017,4.25,4.25
93.76894725,44.21437719,4.25,4.25
93.75850021,43.46652171,4.25,4.25
93.7168191,42.71908226,4.25,4.25
93.64429698,41.96234556,4.25,4.25
93.58075251,41.20803691,4.25,4.25
93.52223765,40.4628616,4.25,4.25
93.43699127,39.72399671,4.25,4.25
93.36435872,38.98953926,4.25,4.25
93.27991969,38.25133933,4.25,4.25
93.2069666,37.5146461,4.25,4.25
93.1432958,36.77416617,4.25,4.25
93.07278844,36.03386326,4.25,4.25
93.02747437,35.30884677,4.25,4.25
92.98723338,34.56212688,4.25,4.25
92.96458344,33.80956643,4.25,4.25
92.93472763,33.06025612,4.25,4.25
92.92172623,32.33575193,4.25,4.25
92.91923335,31.59248319,4.25,4.25
92.89292084,30.83554207,4.25,4.25
92.87494258,30.07536308,4.25,4.25
92.85515002,29.3308866,4.25,4.25
92.81318293,28.63256649,4.25,4.25
92.78704651,27.86666578,4.25,4.25
92.75279551,27.10084476,4.25,4.25
92.73562826,26.33197545,4.25,4.25
92.73377813,25.56821722,4.25,4.25
92.73366038,24.80129347,4.25,4.25
92.72443207,24.03687431,4.25,4.25
92.69872604,23.2675662,4.25,4.25
92.70379115,22.50192843,4.25,4.25
92.68495458,21.73163935,4.25,4.25
92.67674576,20.97445408,4.25,4.25
92.67259771,20.2099633,4.25,4.25
92.67405029,19.44441299,4.25,4.25
92.64851751,18.67911228,4.25,4.25
92.61774465,17.91182899,4.25,4.25
92.60461619,17.1453772,4.25,4.25
92.59885778,16.37004254,4.25,4.25
92.58971771,15.59623976,4.25,4.25
92.57517278,14.81408296,4.25,4.25
92.56737869,14.02190435,4.25,4.25
92.57043157,13.23461593,4.25,4.25
92.57031331,12.45773788,4.25,4.25
92.56169429,11.66578913,4.25,4.25
92.54909017,10.8716648,4.25,4.25
92.54592931,10.0541539,4.25,4.25
92.5326447,9.260699346,4.25,4.25
92.51727498,8.466869768,4.25,4.25
92.48854701,7.674496734,4.25,4.25
92.47656301,6.88084033,4.25,4.25
92.46844935,6.086552213,4.25,4.25
92.48120351,5.292589331,4.25,4.25
92.48046733,4.50136166,4.25,4.25
92.48646495,3.705571496,4.25,4.25
92.48731756,2.910027221,4.25,4.25
92.48714157,2.116078253,4.25,4.25
92.48156687,1.309209948,4.25,4.25
92.47177495,0.516495994,4.25,4.25
92.45536947,-0.279054193,4.25,4.25
92.45108973,-1.078277489,4.25,4.25
