# x_m,y_m,w_tr_right_m,w_tr_left_m
0.711666125,-0.259899201,4.081472369,4.092748801
0.68971289,-0.297302537,4.090579194,4.005131376
0.673375969,-0.330710635,4.012698682,4.059266676
0.663010102,-0.37077341,4.091337586,4.01628989
0.661787582,-0.391438996,4.063235925,4.083840577
0.665908956,-0.42397447,4.00975404,4.016756093
0.67076394,-0.4993237,4.027849822,4.050220062
0.681165364,-0.566028073,4.054688152,4.099932948
0.700080529,-0.611940037,4.095750684,4.035540715
0.777986182,-0.640788549,4.096488854,4.004707771
0.849967871,-0.691267247,4.015761308,4.021366059
0.886679653,-0.733133238,4.097059278,4.039783912
0.959141352,-0.785975019,4.095716695,4.033366818
1.038666087,-0.853028706,4.048537565,4.022960253
1.08942125,-0.905772387,4.080028047,4.093612018
1.139725024,-0.976407873,4.014188634,4.068318878
1.218360623,-1.097584205,4.042176128,4.09621138
1.280902479,-1.192518127,4.091573553,4.043797318
1.414965875,-1.29995941,4.079220733,4.094033665
1.533840064,-1.400325836,4.095949243,4.000583432
1.708708379,-1.492470271,4.06557407,4.061030703
1.922267414,-1.595036963,4.003571168,4.080107576
2.187805577,-1.70013093,4.084912931,4.023298153
2.40609524,-1.808925332,4.093399325,4.093246868
2.65360946,-1.894085362,4.067873515,4.076326278
2.971199599,-1.993432337,4.075774013,4.082644954
3.312913569,-2.090809324,4.074313247,4.057346359
3.690952238,-2.182386259,4.039222702,4.079258166
4.051904248,-2.269512825,4.065547789,4.03290412
4.461836589,-2.373058043,4.017118669,4.022346198
4.894444271,-2.441739338,4.070604609,4.031238634
5.345615721,-2.493662177,4.003183285,4.058452348
5.817059939,-2.53958359,4.027692298,4.082991414
6.316313181,-2.597421718,4.004617139,4.029046249
6.830691259,-2.660010525,4.009713178,4.040255439
7.362604022,-2.715508852,4.082345783,4.08620573
7.917530705,-2.762597768,4.069482862,4.061473955
8.488415079,-2.806879897,4.031709948,4.099118779
9.090637185,-2.851704684,4.095022205,4.020369888
9.658118754,-2.916182432,4.003444608,4.082720908
10.26013475,-2.959427977,4.043874436,4.067586162
10.92457293,-3.010317839,4.038155846,4.024894947
11.56825376,-3.04808002,4.076551679,4.047578563
12.21255581,-3.059884065,4.07951999,4.039907523
12.90034338,-3.080367005,4.01868726,4.059943825
13.60647957,-3.07756244,4.04897644,4.080052277
14.32350057,-3.066419827,4.04455862,4.010506877
15.04021975,-3.064079467,4.064631301,4.082144219
15.76069816,-3.052525233,4.070936483,4.084108633
16.47459358,-3.044994964,4.075468668,4.035450624
17.17814937,-3.041899588,4.027602508,4.043006946
17.8669592,-3.029178078,4.067970268,4.057223922
18.532327,-3.001985902,4.0655098,4.070082473
19.21906938,-2.964432615,4.016261174,4.074246976
19.9018386,-2.943613177,4.011899768,4.075788415
20.58518442,-2.941042844,4.049836405,4.038912876
21.26304274,-2.92370853,4.095974396,4.042930248
21.91784339,-2.918738635,4.034038573,4.095634466
22.57971747,-2.900392098,4.058526775,4.057297137
23.24669181,-2.877467511,4.022381194,4.084972205
23.91256316,-2.892037909,4.075126706,4.027634532
24.57899436,-2.907332056,4.025509512,4.062232362
25.2418553,-2.915262001,4.050595705,4.058836168
25.89788004,-2.899043989,4.069907672,4.096346847
26.5552498,-2.906119184,4.089090325,4.008590269
27.21472201,-2.919270284,4.095929143,4.050049889
27.87328423,-2.907806643,4.054721553,4.052158968
28.53271452,-2.902206875,4.013862444,4.0090166
29.17674142,-2.908213228,4.014929401,4.090466648
29.82841886,-2.910875735,4.025750825,4.088438894
30.46681526,-2.914538181,4.084071726,4.043898967
31.08981748,-2.919452941,4.025428218,4.078172261
31.71805609,-2.937310688,4.081428483,4.014846502
32.35537523,-2.958546065,4.024352497,4.061981593
32.99273361,-2.97253746,4.092926362,4.026062368
33.6351501,-2.973385796,4.034998377,4.044565621
34.27516092,-2.981857141,4.019659525,4.084399951
34.92203489,-3.000629177,4.025108386,4.019620492
35.57020618,-3.02170519,4.061604468,4.030385162
36.23064037,-3.016908448,4.047328885,4.048329457
36.86327272,-3.023255413,4.035165951,4.033781204
37.53544686,-3.024849669,4.083082863,4.079848583
38.19210761,-3.020841498,4.058526409,4.098748758
38.8488566,-3.046343587,4.054972361,4.015904755
39.50850842,-3.085916344,4.091719366,4.023687978
40.16294208,-3.104163547,4.028583902,4.070223663
40.82311309,-3.123004449,4.075720023,4.037547166
41.48707488,-3.157771245,4.075372909,4.09737049
42.14799009,-3.231091911,4.038044585,4.097230556
42.80955257,-3.314567048,4.056782164,4.064369805
43.47209787,-3.371265879,4.007585429,4.086009888
44.14119031,-3.406338581,4.005395012,4.04018834
44.81486688,-3.475836236,4.053079755,4.06319308
45.48948484,-3.522410364,4.077916723,4.098523664
46.16483136,-3.562358908,4.093401068,4.055947741
46.87304289,-3.572426255,4.012990621,4.093359192
47.5494906,-3.599768641,4.056882366,4.072034321
48.25375118,-3.595703187,4.046939064,4.048403852
48.92961494,-3.595537659,4.001190207,4.063903109
49.6235651,-3.545062471,4.033712264,4.088763687
50.29530565,-3.518727357,4.016218231,4.019873675
50.96089517,-3.467577146,4.079428454,4.039536627
51.62494259,-3.336675682,4.031121504,4.09921753
52.26991192,-3.209112494,4.052853314,4.040235162
52.95760651,-3.155050315,4.016564873,4.065885648
53.66008072,-3.152880397,4.060198194,4.090134812
54.33078693,-3.071076646,4.026297128,4.099538178
55.03828856,-2.884916543,4.06540791,4.065316328
55.72834801,-2.752062978,4.06892145,4.010843643
56.3732111,-2.638790016,4.074815159,4.003611403
57.0141625,-2.500464202,4.04505416,4.061809124
57.60590773,-2.341986383,4.008382138,4.056714436
58.21672213,-2.180114999,4.022897697,4.096196466
58.81104936,-1.980836534,4.091333736,4.074610547
59.37887816,-1.729824908,4.015237802,4.06625161
59.95826584,-1.489553116,4.082581698,4.052331332
60.53093337,-1.252352617,4.053834244,4.025989428
61.08091663,-0.9588522,4.099613472,4.096199377
61.62197177,-0.615902448,4.007817553,4.054020404
62.16396994,-0.250780751,4.044267827,4.003027016
62.68291269,0.123862572,4.010665277,4.069631446
63.17715919,0.50328473,4.096189808,4.051971616
63.66037429,0.921696819,4.000463422,4.005903056
64.11390258,1.331711036,4.077491046,4.089003623
64.53857001,1.810512908,4.081730322,4.033020224
64.91893018,2.250224646,4.086869471,4.02297012
65.32063445,2.725664922,4.008443585,4.011394864
65.67034892,3.191032668,4.039978265,4.031092271
66.0187844,3.687816332,4.02598704,4.022843232
66.31332223,4.160488506,4.080006848,4.065199717
66.61614229,4.680076053,4.043141383,4.006616012
66.92500851,5.207937786,4.091064759,4.027543138
67.19948385,5.687573017,4.018184703,4.028182024
67.48513682,6.191128353,4.026380292,4.088006626
67.70020714,6.780028395,4.014553898,4.044433036
67.85665337,7.425789519,4.013606856,4.075591412
68.01209702,8.020576425,4.086929221,4.060329638
68.10007177,8.553255382,4.057970459,4.078326594
68.15775828,9.156252155,4.05498602,4.011393064
68.24399246,9.789226906,4.01449548,4.097856389
68.31551763,10.42020818,4.085303112,4.084859668
68.37555573,11.04430039,4.062205513,4.00506465
68.41969467,11.66717753,4.035095238,4.046620183
68.45178467,12.29585786,4.051324954,4.032565327
68.45169164,12.93104466,4.040180803,4.063020512
68.4192539,13.56682463,4.007596669,4.023029916
68.33870885,14.20056741,4.023991615,4.057988497
68.26003733,14.82636522,4.012331893,4.060315632
68.1573496,15.45288933,4.018390779,4.05998791
68.02852453,16.08594448,4.023995253,4.044842788
67.86445602,16.71116841,4.041726707,4.003542346
67.68700653,17.33476019,4.004965443,4.051381484
67.50931966,17.97063807,4.090271611,4.040773016
67.33674398,18.61254745,4.094478719,4.010804604
67.13885455,19.20971091,4.049086409,4.045987563
66.92471697,19.8453336,4.048925264,4.045088275
66.69108047,20.48693115,4.033771941,4.055114034
66.46556465,21.14319467,4.090005385,4.080540432
66.24841619,21.79298976,4.036924678,4.070085007
66.02757772,22.44101077,4.011120276,4.08722355
65.79264778,23.08808739,4.078025207,4.005219215
65.55397769,23.73615915,4.038973884,4.021968131
65.32395332,24.38359545,4.024169129,4.045964201
65.07146812,25.02438677,4.040391215,4.09585336
64.81836543,25.66458822,4.009645453,4.079004536
64.58819974,26.31128082,4.013197329,4.045187461
64.35697751,26.95902368,4.094205059,4.033342819
64.14382014,27.61319205,4.095613454,4.005909531
63.9631516,28.27786922,4.05752086,4.07409053
63.72138835,28.96681087,4.005977954,4.050679452
63.48313156,29.65120375,4.023477991,4.019992541
63.27406265,30.34782042,4.035315857,4.042719355
63.05297422,31.03515264,4.082119404,4.016869028
62.84399577,31.7583898,4.001540344,4.075169459
62.63600349,32.44607573,4.00430238,4.036835084
62.4067293,33.11281459,4.016899003,4.09418178
62.20465185,33.80934135,4.064911547,4.001717254
62.0242247,34.53470537,4.073172239,4.082905591
61.84491915,35.26655687,4.064774596,4.062659097
61.68426028,35.97041191,4.045092371,4.053874652
61.53140661,36.69725197,4.054700889,4.065050764
61.37945353,37.43492596,4.029632081,4.072662953
61.21883509,38.18154434,4.074469281,4.009448856
61.06511009,38.8658191,4.018895502,4.087757393
60.93751933,39.57536621,4.068677543,4.001436214
60.78410421,40.28718831,4.018351116,4.029430263
60.60395899,40.97503901,4.03684846,4.017991488
60.4450163,41.65465621,4.062561856,4.092629427
60.27829928,42.33825779,4.078022744,4.006818044
60.1306559,43.05914955,4.008112577,4.058109323
60.00301979,43.75397758,4.092938597,4.063715122
59.87060089,44.4387545,4.077571268,4.065126926
59.78097936,45.11079768,4.048679163,4.086462201
59.68379262,45.79085002,4.043585859,4.005595253
59.63402362,46.45968989,4.044678375,4.081685517
59.59852084,47.11005511,4.030634947,4.052892247
59.57290146,47.76860179,4.050850866,4.069435056
59.55458644,48.40670975,4.051077156,4.02124049
59.53863444,49.03706947,4.081762771,4.054327995
59.57895976,49.63709849,4.079483142,4.070252027
59.66023005,50.20849429,4.064431813,4.095643456
59.74182154,50.76626587,4.037860938,4.044454216
59.83241145,51.35562935,4.081158046,4.008539783
59.93573914,51.9036662,4.053282559,4.005734015
60.09666979,52.45846247,4.03507271,4.062945049
60.29424049,53.04524796,4.093900156,4.079617907
60.51744344,53.60372327,4.087594281,4.069119133
60.74832647,54.09916318,4.055015634,4.034530786
61.01431526,54.58330246,4.062247509,4.094681667
61.28125867,55.09863294,4.05870447,4.052019032
61.58979894,55.59000676,4.020774229,4.095381303
61.93820536,56.05679586,4.030124633,4.007359564
62.30754878,56.46730924,4.047092335,4.020703195
62.70299049,56.89583125,4.023048816,4.077502781
63.15683718,57.35064018,4.084430879,4.091418782
63.6664842,57.78273623,4.019476429,4.078255065
64.1833403,58.21758642,4.022592178,4.02955342
64.69869273,58.61562276,4.017070805,4.015184572
65.24289263,58.986057,4.02276643,4.084791052
65.80682198,59.29438568,4.043569868,4.078485459
66.44741196,59.62770866,4.031110229,4.02708315
67.05054654,59.93963023,4.092337964,4.02278107
67.63389977,60.25917445,4.043020739,4.032102322
68.27071663,60.54739047,4.018481632,4.08295618
68.89062121,60.84357323,4.090488097,4.082218219
69.50047521,61.10215388,4.097974838,4.057068285
70.13742907,61.34215342,4.043886997,4.057182964
70.78134374,61.60722308,4.011111922,4.028601827
71.44272395,61.86904589,4.02580647,4.069913356
72.13206029,62.08716517,4.040871985,4.079625794
72.79436798,62.30225044,4.059489607,4.044158906
73.47344981,62.53377385,4.026221175,4.044621561
74.19881457,62.67108571,4.060284309,4.046566241
74.89040156,62.76486328,4.071121578,4.027903919
75.58420303,62.86494957,4.022174673,4.067537532
76.26232045,62.92900777,4.011741765,4.090366453
76.97048818,62.98621653,4.029667587,4.09085259
77.65071859,63.0272375,4.03187783,4.074719694
78.34947566,63.02652089,4.042416676,4.026051151
79.03474762,62.98866063,4.050785828,4.068963784
79.73832219,62.92996165,4.00855158,4.013183067
80.43683553,62.84979965,4.026248223,4.012350083
81.11006495,62.80354052,4.080101462,4.019090285
81.78942627,62.79263611,4.002922028,4.01457321
82.43752172,62.69906957,4.092885414,4.058504362
83.06038508,62.56737343,4.073033086,4.007336169
83.71711894,62.41200656,4.048860897,4.082232622
84.3898586,62.26512863,4.057852506,4.072290297
85.02502838,62.08330035,4.023728358,4.092585804
85.62367142,61.87029566,4.045884883,4.04926386
86.15475291,61.62329898,4.096308854,4.06548829
86.70153275,61.34802673,4.054680572,4.089012348
87.27079702,61.04026807,4.052113583,4.053852557
87.8311498,60.71888331,4.023159439,4.028220516
88.36663076,60.35544815,4.048889774,4.097595752
88.89343236,59.98516001,4.062406009,4.003642552
89.40872416,59.57407974,4.067913554,4.032624457
89.8823524,59.10250292,4.039551522,4.097301362
90.33639801,58.59386411,4.036743665,4.036503263
90.74771729,58.07810432,4.0987982,4.030914962
91.14449224,57.5555688,4.003773887,4.012091238
91.49820429,56.97796023,4.088516801,4.09157657
91.784888,56.39312281,4.091328683,4.013547821
92.08863027,55.84774976,4.079618387,4.033211789
92.34809082,55.27072978,4.009871228,4.089747989
92.60730097,54.68760414,4.026187118,4.049964878
92.80557159,54.04246463,4.033535684,4.061528824
92.99342138,53.41919212,4.067972795,4.058313297
93.15617742,52.8057207,4.013655314,4.069825393
93.30861216,52.18149213,4.07212275,4.002933234
93.44012088,51.52445588,4.010676186,4.052788269
93.5512618,50.81095365,4.065375735,4.003207285
93.65546951,50.11926872,4.049417394,4.082714232
93.72654984,49.38788617,4.077905172,4.033998621
93.75401418,48.65233734,4.071503708,4.084671096
