# x_m,y_m,w_tr_right_m,w_tr_left_m
1.507850614,0.110913197,3.075272382,3.015312551
1.695509504,0.109158698,3.013272928,3.00514059
1.89414556,0.114034793,3.055401929,3.005388703
2.104753042,0.118395875,3.012500572,3.071296245
2.33012428,0.110347654,3.018969974,3.086302481
2.563136944,0.108907646,3.017953193,3.037774232
2.805929828,0.119815888,3.079254282,3.005681413
3.059099875,0.116193931,3.069453175,3.055223912
3.320686038,0.110640074,3.078759125,3.032337593
3.586340218,0.122775019,3.009922315,3.035529402
3.858582397,0.130752263,3.003104736,3.001423466
4.135291193,0.13986494,3.067651984,3.053361342
4.423433451,0.151884729,3.079558141,3.094008665
4.739157845,0.169853279,3.031921973,3.025750138
5.050215646,0.189380137,3.046076414,3.011195616
5.34566223,0.201332579,3.075344582,3.081639128
5.645456396,0.217113562,3.001470983,3.045414011
5.94664876,0.233172338,3.00167859,3.04204171
6.250764592,0.236304807,3.054038156,3.072448759
6.555801169,0.237510745,3.001438758,3.065477704
6.863986989,0.238792321,3.09713151,3.055434717
7.176382557,0.242703226,3.066140174,3.064196259
7.489584442,0.259236223,3.097959245,3.036356554
7.811760722,0.272531814,3.076515482,3.080554847
8.131597342,0.28299043,3.020444112,3.050427719
8.454831545,0.296659208,3.080589916,3.010910384
8.95678584,0.299503389,3.011197509,3.04264467
9.469706785,0.310576113,3.089539405,3.018724408
9.999605319,0.333599056,3.050549081,3.058145831
10.52463671,0.350546329,3.071944143,3.024774105
11.08925155,0.382406622,3.080175528,3.081880587
11.67267809,0.415327389,3.072412689,3.034328118
12.27742121,0.446091785,3.00429996,3.097983362
12.89662505,0.489992348,3.067552685,3.044868291
13.52265898,0.519952211,3.037220475,3.081970837
14.16319041,0.568690249,3.036605239,3.043695777
14.84618723,0.637845873,3.093456674,3.018093091
15.53255129,0.721070899,3.018381246,3.023323937
16.21012758,0.804181981,3.01343116,3.037893972
16.89850126,0.872122165,3.042978396,3.051988876
17.59135874,0.968670444,3.041226419,3.042040923
18.30751814,1.076615524,3.032342618,3.034467361
19.04768081,1.174877576,3.035989149,3.016416298
19.7715391,1.267437339,3.058585801,3.01823506
20.5000847,1.348456086,3.082385815,3.076339993
21.2334141,1.409973423,3.03906407,3.079144118
21.97177851,1.500276437,3.009412229,3.052206255
22.72190109,1.604828657,3.077139568,3.084508779
23.47839338,1.697156246,3.010511299,3.080568025
24.23527806,1.793005038,3.076501225,3.085463772
24.98699607,1.910394618,3.011035512,3.061561583
25.74230344,2.028047104,3.091539969,3.097755564
26.49827524,2.145080502,3.028011094,3.007446964
27.25517748,2.268013293,3.012227021,3.013182775
28.01095548,2.397590273,3.072334626,3.013226127
28.76689159,2.525882904,3.05196537,3.001894612
29.52462398,2.646728022,3.048361488,3.072080224
30.28679557,2.792015219,3.015142787,3.06630214
31.04296148,2.945889109,3.054945855,3.058644109
31.81328459,3.095986088,3.044628754,3.032346912
32.56651368,3.239490262,3.024171812,3.095858678
33.3171962,3.401721431,3.074552229,3.099282697
34.06323249,3.561668984,3.039541177,3.045507508
34.79334541,3.713171549,3.082610326,3.043890633
35.52814505,3.870696914,3.002567191,3.072385622
36.28117177,4.039030581,3.065419699,3.066712757
37.03400277,4.197028112,3.087400521,3.063865316
37.78799379,4.354439655,3.012574373,3.023531518
38.54241975,4.52251029,3.059379317,3.081484816
39.29922101,4.696530411,3.026234052,3.043663747
40.05618336,4.881833732,3.024180844,3.03719498
40.81120119,5.069978957,3.011466642,3.066217572
41.56653594,5.255398809,3.009741827,3.067101765
42.31330589,5.450958924,3.023705984,3.03626804
43.06830357,5.63674614,3.08924275,3.01248026
43.82044333,5.822994066,3.009965075,3.028544632
44.61769213,6.029532625,3.06397002,3.091215918
45.39810872,6.217597531,3.059660347,3.015861122
46.18164823,6.40017217,3.028302214,3.037559887
46.94764919,6.592750996,3.088492062,3.085802276
47.70006843,6.744619371,3.009958287,3.005160528
48.44249137,6.911712451,3.053314858,3.043094858
49.17827233,7.078775837,3.036377395,3.083134455
49.91005649,7.261879668,3.097226446,3.085704326
50.64237733,7.453102514,3.090761911,3.042980738
51.37784541,7.62942604,3.029166743,3.057023346
52.08593189,7.794411485,3.066886574,3.007905955
52.80208849,7.964797544,3.084008116,3.022245937
53.53949584,8.139599204,3.090893783,3.087731933
54.27512058,8.341035013,3.000852663,3.046585089
55.02132238,8.529114602,3.09632725,3.066779283
55.74662657,8.701606109,3.037042374,3.070234591
56.44627409,8.902364789,3.072024644,3.008847828
57.16169379,9.147262919,3.026989357,3.089817309
57.8607029,9.38711166,3.012323825,3.089318623
58.54826911,9.662259943,3.043327241,3.030607488
59.22592062,9.915581238,3.017348126,3.074728472
59.88446249,10.17377776,3.047818042,3.088876207
60.53822193,10.46010252,3.034657207,3.062795843
61.1721412,10.74810873,3.075157865,3.064687242
61.80298626,11.02674071,3.053688135,3.032067593
62.40668481,11.30427537,3.018310194,3.025548661
62.99595618,11.58743034,3.003746787,3.01616751
63.57066553,11.87573048,3.048801854,3.097019828
64.11948075,12.1747773,3.005502548,3.089445728
64.6405875,12.48358054,3.092942437,3.031860818
65.14601339,12.80449487,3.001904437,3.068141
65.63650199,13.12755854,3.058007161,3.097427756
66.12230198,13.45854534,3.081069819,3.033250944
66.56047729,13.78960413,3.043240544,3.010585401
66.98225201,14.13427908,3.07017279,3.011044938
67.38916622,14.47113256,3.082591826,3.048610744
67.77397292,14.81902112,3.02968964,3.039021734
68.14389306,15.18280939,3.036070905,3.01498439
68.49988617,15.55089054,3.099074708,3.054794504
68.83215964,15.92466071,3.002736883,3.022375246
69.15238512,16.32040812,3.023668822,3.060852032
69.44895518,16.72503904,3.052457972,3.00669142
69.72092671,17.14002413,3.077198726,3.065847335
69.97127429,17.56259367,3.022540416,3.074629483
70.19784637,17.98012556,3.061309489,3.032731624
70.41144621,18.40354116,3.086683571,3.055194015
70.5959541,18.82473975,3.013776807,3.053513752
70.77981616,19.24165874,3.04234107,3.059133179
70.94748236,19.68650302,3.083140438,3.057712562
71.102855,20.13120308,3.036256941,3.014818494
71.18236559,20.55461589,3.067544318,3.075627961
71.25931746,21.00646354,3.082972994,3.02048868
71.32531491,21.4625161,3.09190406,3.064464419
71.40089005,21.92055435,3.087097934,3.02831534
71.49280014,22.41035957,3.041755518,3.054779632
71.55999951,22.90326529,3.00198112,3.063152701
71.62106061,23.42323271,3.044566222,3.012305954
71.68670148,23.93441508,3.093935058,3.082138482
71.7562168,24.43700719,3.083605529,3.055861232
71.82115948,24.95357251,3.032949787,3.072733058
71.88771854,25.47878391,3.014224682,3.002963721
71.95523874,25.99936939,3.028191335,3.021088528
72.01628415,26.52099654,3.021246532,3.058738347
72.07501691,27.02457463,3.075834801,3.03721797
72.12730423,27.53279835,3.073976701,3.05868138
72.18845419,28.05089905,3.023512953,3.011142001
72.25193192,28.56254927,3.056225423,3.03232939
72.32918866,29.025207,3.04230758,3.039999461
72.41899442,29.50641525,3.087552932,3.019485789
72.51343167,29.98239292,3.039465073,3.093152805
72.6171142,30.45756425,3.048825783,3.096895236
72.73347659,30.91367171,3.046472759,3.078488124
72.84892273,31.36573672,3.081680505,3.011439854
